Nummer_sch;Naam_schoo;Niveau;Vpl_adres;Vpl_postnu;Vpl_fusieg;Xco;Yco;latWGS84;loWGS84;Aangemaakt op
17541;Vrije Basisschool;2;Koude-Keukenstraat 10;8200;Brugge;67140.09;210510.86;51.1986252995411;3.18327573459254;30/10/2017
17582;Vrije Basisschool - Sint-     Lodewijkscollege;2;Spoorwegstraat 250;8200;Brugge;69865.26;208657.49;51.1823527556341;3.22266794253452;30/10/2017
18036;Gemeentelijke Basisschool -   Brugge-Noord;2;Stationsstraat 25;8380;Brugge;68149.98;221107.24;51.2940010938443;3.19532765329144;30/10/2017
109851;GO! freinetschool De Tandem Sint-Kruis;2;Leopold Debruynestraat 56;8310;Brugge;71885.24;211887.1;51.2116553949888;3.25085749245479;30/10/2017
2162;GO! basisschool Jan Fevijn;2;Gemeneweideweg-Zuid 121;8310;Brugge;72970.83;210730.65;51.2014074991709;3.26663619445336;30/10/2017
17889;Vrije Basisschool - Kantelberg;2;De Linde 94;8310;Brugge;74030.92;211787.5;51.2110460064641;3.28158149722331;30/10/2017
1974;GO! basisschool De Springplank Brugge;2;Hugo Losschaertstraat 5_B;8000;Brugge;69734.25;212221.25;51.2143635083481;3.22000517796727;30/10/2017
17574;Vrije Basisschool - Sint-Lode-wijkscollege Afd. Immaculata;2;Koningin Astridlaan 4;8200;Brugge;68925.96;209421.45;51.1890875069747;3.20906455035639;30/10/2017
105825;Vrije Basisschool - Het Palet;2;Mariastraat 7;8000;Brugge;69985.64;211266.04;51.2058133611994;3.22381479862123;30/10/2017
1974;GO! basisschool De Springplank Brugge;2;Karel Ledeganckstraat 3;8000;Brugge;68904.6;213593.14;51.2265770987632;3.20782797625685;30/10/2017
17905;Vrije Lagere School;2;Fortuinstraat 29;8310;Brugge;72161.03;211485.99;51.208088285732;3.2548909247691;30/10/2017
45898;Vrije Basisschool - De        Zonnetuin;2;Beeweg 32;8310;Brugge;73281.29;210858.51;51.2025981426858;3.27105178641201;30/10/2017
16865;Vrije Basisschool;2;Gerard Davidstraat 57;8000;Brugge;68746.24;212463.62;51.2164034697388;3.20581337724858;30/10/2017
46201;Gemeentelijke Basisschool -   Sint-Michiels;2;Rijselstraat 71;8200;Brugge;69090.45;209271.75;51.1877654474864;3.21145041620106;30/10/2017
16949;Vrije Basisschool;2;Blankenbergse Steenweg 219;8000;Brugge;68761.91;213843.67;51.2288092856482;3.20572924135099;30/10/2017
18051;Vrije Basisschool Roezemoes;2;Zustersstraat 9;8380;Brugge;69129.12;225168.15;51.3306350740731;3.20845268255733;30/10/2017
16949;Vrije Basisschool;2;Oostendse Steenweg 82;8000;Brugge;68718.35;213191.85;51.2229442954606;3.20525169916667;30/10/2017
2154;GO! basisschool De Linde Sint-Kruis;2;Brieversweg 185;8310;Brugge;73578.93;211898.11;51.2119804547192;3.27509117239358;30/10/2017
17541;Vrije Basisschool;2;Gistelse Steenweg 440;8200;Brugge;67330.22;210485.07;51.1984208244882;3.18600155779113;30/10/2017
17566;Vrije Basisschool - Sint-Lode-wijkscollege - afd. Zandstraat;2;Zandstraat 69;8200;Brugge;68435.63;210922.03;51.2025055086886;3.20171593465349;30/10/2017
2071;GO! basisschool Manitoba Sint-Andries;2;Manitobalaan 48;8200;Brugge;68112.53;210275.01;51.1966449067194;3.19723851042929;30/10/2017
110271;Vrije Basisschool - Mozaiek;2;Pastorieweg 4;8310;Brugge;71812.4;212296.65;51.2153263497162;3.24972703624073;30/10/2017
17939;Vrije Basisschool - OLVA De   Meersen;2;Astridlaan 400;8310;Brugge;73071.53;209750.79;51.1926144739196;3.2682859808168;30/10/2017
18036;Gemeentelijke Basisschool -   Brugge-Noord;2;Damse Steenweg 30;8380;Brugge;70696.35;218975.31;51.275196960449;3.23229534119165;30/10/2017
16873;Vrije Basisschool;2;Sint-Lenardsstraat 58;8380;Brugge;70440.26;218845.95;51.2739996651395;3.22865361871206;30/10/2017
1958;GO! basisschool Brugge Centrum;2;Spiegelrei 15;8000;Brugge;70293.94;212004.23;51.2124911433325;3.22806242005235;30/10/2017
16865;Vrije Basisschool;2;Kardinaal Mercierstraat 56;8000;Brugge;69472.74;212581.64;51.2175664818648;3.21618416928686;30/10/2017
1974;GO! basisschool De Springplank Brugge;2;Pannebekestraat 34;8000;Brugge;70476.02;213555.24;51.2264550427548;3.23032876010705;30/10/2017
17921;Vrije Basisschool;2;Collegestraat 24_BI;8310;Brugge;71994.32;211061.98;51.2042540415074;3.25259539640376;30/10/2017
16964;Vrije Lagere School - Sint-Leocollege;2;Potterierei 11;8000;Brugge;70386.87;212202.85;51.2142881683616;3.22934880790736;30/10/2017
110429;Vrije Basisschool;2;Smallestraat 2;8000;Brugge;71858.62;215298.86;51.2423146277254;3.24974217338993;30/10/2017
1958;GO! basisschool Brugge Centrum;2;Vrijdagmarkt 12;8000;Brugge;69458.68;211201.39;51.2051596792261;3.21628950882656;30/10/2017
16899;Vrije Basisschool;2;Sint-Maartensplein 5;8000;Brugge;70367.57;211851.34;51.2111272252178;3.22914924593087;30/10/2017
16931;Vrije Basisschool -           Sint-Jozefsinstituut;2;Groenestraat 27;8000;Brugge;69518.42;211819.31;51.2107210475952;3.21700637370927;30/10/2017
46201;Gemeentelijke Basisschool -   Sint-Michiels;2;Sint-Michielslaan 33;8200;Brugge;69701;208376.5;51.1798042217314;3.22037972166297;30/10/2017
16881;Vrije Basisschool - DE KOMME;2;Ronsaardbekestraat 57;8000;Brugge;70685.39;213470.08;51.2257191808686;3.23334390232261;30/10/2017
16956;Vrije Basisschool;2;Palingstraat 34;8000;Brugge;68860.78;214094.46;51.231076593175;3.20708841623669;30/10/2017
16865;Vrije Basisschool;2;Gerard Davidstraat 6;8000;Brugge;68897.45;212304.86;51.2149985255572;3.20801274688481;30/10/2017
46185;Vrije Basisschool - Guido     Gezelleschool;2;Astridlaan 86;8310;Brugge;71769.65;210432.62;51.1985674601306;3.24951830575643;30/10/2017
2162;GO! basisschool Jan Fevijn;2;Daverlostraat 132;8310;Brugge;71372.75;210070.43;51.1952591111267;3.24391889114418;30/10/2017
17954;Vrije Basisschool;2;Baron Ruzettelaan 439;8310;Brugge;70792.38;208593.02;51.1819012658967;3.23593980991522;30/10/2017
17947;Vrije Basisschool;2;Sint-Katarinastraat 132;8310;Brugge;70882.85;210278.47;51.1970621812059;3.23686480179167;30/10/2017
18044;Vrije Basisschool-De Lisblomme;2;Zeebruggelaan 41;8380;Brugge;67863.86;221095.14;51.2938514956603;3.19122825785697;30/10/2017
16981;Vrije Basisschool -           Sint-Andreas;2;Garenmarkt 8;8000;Brugge;70355.17;211209.67;51.2053581190833;3.22911302881974;30/10/2017
113621;GO! freinetschool De Boomhut Sint-Andries;2;Koning Leopold III-laan 102;8200;Brugge;67353.14;209579.93;51.1902897626603;3.18653583329291;30/10/2017
16956;Vrije Basisschool;2;Potentestraat 28;8000;Brugge;68774.24;213197.9;51.223006602315;3.20604922888934;30/10/2017
16931;Vrije Basisschool -           Sint-Jozefsinstituut;2;Zilverstraat 26;8000;Brugge;69781.92;211411.03;51.2070884936592;3.22086684866505;30/10/2017
17558;Vrije Basisschool -           Sint-Lodewijkscollege;2;Doornstraat 3;8200;Brugge;67953.45;209890.65;51.1931674669352;3.19504993982464;30/10/2017
17591;Gemeentelijke Basisschool - DeTriangel;2;Diksmuidse Heerweg 159;8200;Brugge;67981.25;210172.56;51.1957052252009;3.19538451347974;30/10/2017
