School;Vestiging_aangepast;Vestiging;Aantal;Blokcode;latWGS84;loWGS84;Aangemaakt op
Lyceum Hemelsdaele;Wapenmakersstr 14;Wapenmakersstraat 14;362;31005WH00029;51.2104699984766;3.22727609510869;22/06/2016
Howest;St-Jorisstr 71;Sint-Jorisstraat 71;1120;31005WH00132;51.2150884469745;3.22049661957341;22/06/2016
Bu.S.O. Ravelijn;Barrierestr 4;Barrièrestraat 4_a;142;31005WM00048;51.1945690520933;3.2067815928465;22/06/2016
Vrije Basisschool - Sint-Lodewijkscollege Afd. Immaculata;Koningin Astridl 4;Koningin Astridlaan 4;475;31005WM00064;51.1892285116187;3.20826441883954;22/06/2016
Hogere Beroepsopl. Verpl St.Jan-St.Jozef;Koning Albert I-l 8;Koning Albert I-laan 6;491;31005WM00048;51.196346743889;3.20937852419786;22/06/2016
M.S.G.O. Brugge Centrum;Hugo Losschaertstr 5;Hugo Losschaertstraat 5_A;162;31005WH00132;51.2143793985778;3.21908226222218;22/06/2016
Vrij Handels- en Sportinst. St.-Michiels;Spoorwegstr 14;Spoorwegstraat 14;629;31005WM00009;51.1914742028918;3.21677678680783;22/06/2016
Vrije Basisschool;St-Katarinastr 132;Sint-Katarinastraat 132;372;31005WC00126;51.1969957764013;3.23701584104549;22/06/2016
Europacollege;Dijver 10/11;Dijver 11;315;31005WH00289;51.20584346997;3.22627501779853;22/06/2016
Vrije Basisschool -Sint Lodewijkscollege;Doornstr 3;Doornstraat 3;327;31005WD00181;51.1932402104609;3.194970683028;22/06/2016
"Basisschool van het Gemeenschapsonderwijs - Freinetschool ""De Boomhut""";Koning Leopold III-l 100;Koning Leopold III-laan 102;207;31005WD00192;51.1898711519715;3.18576270071643;22/06/2016
Vrije Basisschool - Sint-Lodewijkscollege;Spoorwegstr 250;Spoorwegstraat 250;185;31005WM00108;51.1829375905053;3.22305189381258;22/06/2016
K.A. I;St-Clarastr 46;Sint-Clarastraat 46;347;31005WH00106;51.2161073654171;3.22387405421352;22/06/2016
Vrije Lagere School voor Buitengewoon Onderwijs - De Spycker;Polderstr 76;Polderstraat 78;200;31005WF00067;51.2193649159249;3.25114334379791;22/06/2016
Vrij Technisch Instituut Brugge;Boeveriestr 73;Boeveriestraat 73;174;31005WH00013;51.2011575429197;3.2165303989481;22/06/2016
Sint-Leocollege;Potterierei 11;Potterierei 11;680;31005WH00135;51.2142191517699;3.23007011436642;22/06/2016
Vrije Basisschool - Het Palet;Mariastr 7;Mariastraat 7;330;31005WH00259;51.2057300030921;3.22388882117412;22/06/2016
Sint-Jozefsinstituut - ASO;Noordzandstr 76;Noordzandstraat 76;639;31005WH00044;51.2069667937522;3.21818750701998;22/06/2016
Vrije Basisschool - De Zonnetuin;Beeweg 32;Beeweg 32;476;31005WF00004;51.2026614679884;3.27107615197508;22/06/2016
Sint-Andreaslyceum;Fortuinstr 29;Fortuinstraat 29;686;31005WF00135;51.2073602195143;3.25504853967158;22/06/2016
BuSO Secundaire School Spermalie;Potterierei 45;Potterierei 46;191;31005WH00108;51.2164849095072;3.2290091874876;22/06/2016
Onze-Lieve-Vrouw-Hemelvaart Instituut;Doornstr 3;Doornstraat 3;576;31005WD00181;51.1932402104609;3.194970683028;22/06/2016
Gemeentelijke Basisschool-Ter Poorten;Stationsstr 25;Stationsstraat 25;137;31005WA00020;51.2943566171681;3.19536863246423;22/06/2016
M.S.G.O. V Assebroek - Sint-Kruis;Daverlostr 132;Daverlostraat 132;146;31005WC00133;51.1959523289952;3.24364400458553;22/06/2016
Vrije Basisschool-De Lisblomme;Zeebruggel 43;Zeebruggelaan 41;236;31005WA00023;51.2937180076241;3.19150336036233;22/06/2016
Instituut Mariawende-Blydhove;Boogschuttersl 25;Boogschutterslaan 25;672;31005WF00067;51.2157078435239;3.2488396243053;22/06/2016
Steinerschool;Astridl 86;Astridlaan 86;276;31005WC00037;51.1985137793371;3.24942371110806;22/06/2016
Medisch Pedagogisch Instituut van het Gemeenschapsonderwijs - De Kaproenen;Kaproenenhof 32;Kaproenenhof 32;173;31005WM00164;51.1752814299369;3.21286413585979;22/06/2016
Sint-Franciscus-Xaveriusinstituut;Mariastr 7;Mariastraat 7;928;31005WH00259;51.2057300030921;3.22388882117412;22/06/2016
K.A. III;Daverlostr 132;Daverlostraat 132;208;31005WC00133;51.1959523289952;3.24364400458553;22/06/2016
Vrije Basisschool - Guido Gezelleschool;Astridl 86;Astridlaan 86;171;31005WC00037;51.1985137793371;3.24942371110806;22/06/2016
Technisch Instituut Heilige Familie;Oude Zak 44;Oude Zak 38;1479;31005WH00030;51.2101097703361;3.21701411343674;22/06/2016
