Nr;Ligging;Huisnr;Eigenaar;Terrein;Deelgemeente;Vereniging;Aantal_geb;latWGS84;loWGS84;Aangemaakt op
94;Venkelstraat;6;parochie St-Anna;0;Brugge-centrum;KSA Frassati;1;51.2129305665352;3.23266061438015;10/10/2016
30;Paul Gilsonstraat;0;vzw Oranje;0;Sint-Andries;vzw Oranje;1;51.2073490267661;3.19978685905682;10/10/2016
27;Vaartbekeweg;0;Stad Brugge;0;Koolkerke;K.S.A. De Blauwvoet;2;51.2317320442126;3.24618082434675;10/10/2016
31;Fazantenlaan;0;Stad Brugge;0;Sint-Andries;K.S.A. Ter Straeten;5;51.202869971647;3.18197994361827;10/10/2016
40;Blauwkasteelweg;0;Scouts Don Bosco;0;Sint-Kruis;Scouts Don Bosco;3;51.217536603659;3.24731582507111;10/10/2016
66;Legeweg;0;Scouts Savio;0;Sint-Andries;Scouts Savio;1;51.2043018019315;3.20548589484521;10/10/2016
;Prinses Maria Christinalaan;11;Scouts Karel de Goede;0;Assebroek;Scouts en Gidsen Karel de Goede;2;51.1955341582273;3.24884407306475;10/10/2016
67;Sint-Jansdreef;0;39e Fos De Menapiers;0;Sint-Andries;39e Fos De Menapiërs;3;51.2093257086257;3.20858003378236;10/10/2016
75;Sint-Trudostraat;1;Stad Brugge;0;Assebroek;Chiro Steenbrugge, Jin Brugse Vrije;1;51.1819042554627;3.23806750751004;10/10/2016
61;Paalbos;0;KSA St Kruis en Male;0;Assebroek;KSA St Kruis en Male;1;51.2020841401685;3.26886325930717;10/10/2016
82;Legeweg;0;parochie St-Baafs;0;Sint-Andries;Chiro W.A.W.W.;1;51.2043018019315;3.20548589484521;10/10/2016
78;Lodewijk Coiseaukaai;11;Sint-Leo Zeescouts;0;Sint-Pieters;Sint-Leo Zeescouts;3;51.2330367043729;3.22318711155183;10/10/2016
111;Verversdijk;17;Privé;0;Brugge-centrum;Speel-o-theek De Piepbal;0;51.2116698210287;3.23001790474355;10/10/2016
12;Peterseliestraat;100;Stad Brugge;0;Brugge-centrum;Oranje vzw, Jeugdbond voor Natuur en Milieu, Vlaams Nationaal Jeugdverbond, Scouts A. De Pauw;3;51.2183104380325;3.23367920721661;10/10/2016
83;Keurvorst Karel Theodoorstraat;2;parochie/kerkfabriek;0;Sint-Andries;KSA Willibrord;0;51.1927648473099;3.19476682478046;10/10/2016
;Sint-Arnolduslaan;26;Chiro Wilgenhart;0;Sint-Michiels;Chiro Wilgenhart;1;51.181600833305;3.22029865797228;10/10/2016
11;Antonis De Rooverestraat;0;Stad Brugge;0;Assebroek;K.S.A. Sint-Trudo;1;51.2027977690233;3.2595347124372;10/10/2016
1;Zandberg;8;Stad Brugge;0;Assebroek;Gewest KSA, KSA Assebroek meisjes, Uitgezonderd, Europascouts, Kwibus;2;51.192572438982;3.24716494341624;10/10/2016
46;Sint-Michielslaan;75;Stad Brugge;0;Sint-Michiels;K.S.A. Ten Briel;2;51.1794372831565;3.20938350620396;10/10/2016
35;Landjuwelenstraat;0;Stad Brugge;0;Sint-Jozef;Chiro Sint-Jozef;1;51.2299967289992;3.23566874909733;10/10/2016
36;Blauwkasteelweg;0;Stad Brugge;0;Sint-Kruis;11e Fos De Boekaniers;3;51.217536603659;3.24731582507111;10/10/2016
28;Stationsstraat;0;Stad Brugge;0;Lissewege;KSA Lissewege;2;51.293899180439;3.19603626119832;10/10/2016
;Paalbos;0;Stad Brugge;0;Assebroek;KSA Rooyghem, KSA St Kruis en Male;1;51.2020818229888;3.26886331391436;10/10/2016
42;Dekenstraat;0;Stad Brugge;0;Sint-Kruis;Chiro Beukenhof;1;51.2166348912174;3.27828863457809;10/10/2016
128;Engelendalelaan;18;KSA Rooyghem;0;Sint-Kruis;KSA Rooyghem;2;51.2054873108963;3.2706960505505;10/10/2016
77;Lodewijk Coiseaukaai;0;11e Fos De Boekaniers;0;Sint-Pieters;11e Fos De Boekaniers;3;51.2330367043729;3.22318711155183;10/10/2016
17;Mortierstraat;31;Stad Brugge;0;Brugge-centrum;39e Fos De Menapiërs, KAJ Brugge, Jeugdwerkgroep Ruimtevaart, KSA Spiko, Brugse Socioculturele Jongeren, Punt Andere Lijn;2;51.2087304177479;3.2163212397809;10/10/2016
39;Blauwkasteelweg;0;Stad Brugge;0;Sint-Kruis;Scouts Don Bosco;2;51.217536603659;3.24731582507111;10/10/2016
24;Binnenweg;4;Stad Brugge;0;Sint-Pieters;Jeugdhuis Comma, vzw Entrepot, Woesh, Bazart, Techniekacademie en diverse anderen;1;51.2274430797987;3.22487481388003;10/10/2016
;Sint-Arnolduslaan;28;Stad Brugge;0;Sint-Michiels;Jeugdhuis Thope;1;51.1815985519519;3.22030240171755;10/10/2016
99;Naaldenstraat;18;kloosterzusters;0;Brugge-centrum;Sint-Michielsbeweging;1;51.21042242976;3.22229216252223;10/10/2016
