Functie;Objectnaam;HMpunt;KadeNR;Naam_locatie;Naam_waterweg;LatWGS84;LoWGS84;latWGS84;loWGS84;Aangemaakt op
Km-punt op as waterweg;Geul West - ZP1 km 0.6;0,6;;Zeebrugge;Geul West - ZP1;51,3387290;3,190490;51.3387289999357;3.19048999984813;06/07/2016
Terminal;Minne Port Services (M.P.S.);-99,9;;Brugge;Kanaal Brugge-Zeebrugge;51,2278820;3,223372;51.2278820005855;3.2233720010366;06/07/2016
Ligplaats zonder overslag;Ligplaats 953;-99,9;953;Brugge;Nijverheidsdok;51,2284860;3,216622;51.2284860006782;3.21662199882421;06/07/2016
Km-punt op as waterweg;Zuidelijk Insteekdok km 0.4;0,4;;Zeebrugge;Zuidelijk Insteekdok;51,2968980;3,237923;51.2968979995129;3.23792300041759;06/07/2016
Brug;Pierre Vandammusluis: Brug NO;-99,9;;Zeebrugge;Pierre Vandammesluis - CDNB;51,3363990;3,215039;51.336399000656;3.21503899962958;06/07/2016
Ligplaats met overslag;Ligplaats 411;-99,9;411;Zeebrugge;Noordelijk Insteekdok;51,3178470;3,212467;51.3178470005156;3.21246699891004;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 34;3,4;;Brugge;Kanaal Brugge-Zeebrugge;51,2524050;3,217060;51.2524050001577;3.21706000081653;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 83;8,3;;Lissewege;Kanaal Brugge-Zeebrugge;51,2958990;3,206313;51.2958990005441;3.20631300091619;06/07/2016
Km-punt op as waterweg;Wielingendok km 0.4;0,4;;Zeebrugge;Wielingendok;51,3556930;3,178514;51.3556930003581;3.17851399956389;06/07/2016
Ligplaats zonder overslag;Ligplaats 959;-99,9;959;Brugge;Kanaal Brugge-Zeebrugge;51,2401080;3,219535;51.2401079997098;3.21953500064056;06/07/2016
Ligplaats zonder overslag;Ligplaats 713;-99,9;713;Zeebrugge;Visartsluis - CDNB;51,3379610;3,207047;51.3379610001508;3.20704700070966;06/07/2016
Km-punt op as waterweg;Albert II dok km 1.1;1,1;;Zeebrugge;Albert II dok;51,3506620;3,189710;51.3506619995885;3.18970999948394;06/07/2016
Ligplaats zonder overslag;Ligplaats 612;-99,9;612;Zeebrugge;Brittaniadok;51,3434270;3,221052;51.3434269993574;3.2210520002669;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 104;10,4;;Zeebrugge;Kanaal Brugge-Zeebrugge;51,3145360;3,201536;51.3145359994061;3.20153600056802;06/07/2016
Km-punt op as waterweg;Noordelijk Insteekdok km 0.5;0,5;;Zeebrugge;Noordelijk Insteekdok;51,3206360;3,213113;51.3206359995553;3.21311299910749;06/07/2016
Km-punt op as waterweg;Prins Filipsdok km 0;0,0;;Zeebrugge;Prins Filipsdok;51,3203890;3,191850;51.3203889997553;3.19184999994984;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 89;8,9;;Lissewege;Kanaal Brugge-Zeebrugge;51,3012240;3,204948;51.301224000615;3.20494800114282;06/07/2016
Km-punt op as waterweg;Visartsluis - CDNB km 12.9;12,9;;Zeebrugge;Visartsluis - CDNB;51,3366930;3,196177;51.3366929999818;3.19617699989568;06/07/2016
Km-punt op as waterweg;Verbindingsdok km 2.7;2,7;;Zeebrugge;Verbindingsdok;51,3274040;3,222292;51.3274040001284;3.22229200063448;06/07/2016
Km-punt op as waterweg;Pierre Vandammesluis - CDNB km 1.2;1,2;;Zeebrugge;Pierre Vandammesluis - CDNB;51,3412010;3,211928;51.3412009997741;3.21192800040824;06/07/2016
Km-punt op as waterweg;Oud Ferrydok km 0.2;0,2;;Zeebrugge;Oud Ferrydok;51,3183300;3,197085;51.3183300005775;3.19708500013088;06/07/2016
Km-punt op as waterweg;Kanaal Brugge-Zeebrugge km 4;0,4;;Brugge;Kanaal Brugge-Zeebrugge;51,2256930;3,222659;51.2256929998167;3.22265900025197;06/07/2016
Ligplaats met overslag;Ligplaats 416;-99,9;416;Zeebrugge;Verbindingsdok;51,3130090;3,207797;51.3130090001472;3.20779699882009;06/07/2016
Ligplaats zonder overslag;Ligplaats 606;-99,9;606;Zeebrugge;Pierre Vandammesluis - CDNB;51,3394880;3,213646;51.339487999597;3.21364599968895;06/07/2016
Seinlichten - Haventoegang en vertrek;Seinlicht Kop Oostelijke strekdam;-99,9;;Zeebrugge;Visartsluis - CDNB;51,3629490;3,198143;51.3629489994099;3.19814300013472;06/07/2016
