MEETPUNT_ID;X;Y;HERKENNINGSPUNT1;HERKENNINGSPUNT2;latWGS84;loWGS84;Aangemaakt op
1072;71050;208600;Meulestee;Sint-Trudostraat;51.1819995932626;3.23962141785807;22/06/2016
1433;69500;219500;Hoeve in vroegere Zwaanhofstr. acchterhaven;;51.2797470184251;3.21503587993141;22/06/2016
1144;69300;210600;Koning Albert I laan;Stationslaan;51.199733293753;3.21415290841103;22/06/2016
1444;68050;220000;Zeebruggelaan 900m van Canadezenstraat richting Z;;51.2840367751111;3.19414471162208;22/06/2016
1319;71950;214500;Fortbekeweg  350m van Noorweegse Kaai;;51.2351478616849;3.25122291948293;22/06/2016
1474;68050;221150;Stationstraat;spoorweg;51.2943720354471;3.19388406531108;22/06/2016
1375;70300;217000;Dudzeelse steenweg  950m noord van Kruisabelestraat;;51.2573903768602;3.22705054855636;22/06/2016
1076;73800;208950;Oude trambedding  aan brug Sint-Trudoledeken;;51.1855142927619;3.27887168371046;22/06/2016
1531;65300;224150;Kustlaan  N 34  gemeentegrens met Blankenberge;;51.3209343759339;3.15376318897601;22/06/2016
1285;73300;213500;Spijkerdreef;Spijkerwegel;51.2263417059369;3.27076069842311;22/06/2016
1490;69200;221500;"""den overzet""  hoeve 400m noord-oost";;51.2976797562775;3.21029038414514;22/06/2016
1359;72150;216000;Brugse steenweg  grens met Damme;;51.2486559577312;3.25376300165674;22/06/2016
1354;69750;216300;Ter Bollestraat einde (pijpekop);;51.2510232085264;3.2193290416449;22/06/2016
1138;66450;210600;Zandstraat;Korte Molenstraat;51.1993281693905;3.17338412914065;22/06/2016
1488;68000;221500;Pol Dhondtstraat  uiterst noorden parking;;51.2975103281508;3.19308771121933;22/06/2016
1544;65600;224250;Kustlaan  N 34;toegang hoeve de sol Blanken.;51.3218773913602;3.1580421288463;22/06/2016
1479;71000;221000;Zuidelijk kanaaldok  kade (513);;51.2934352330759;3.23620298365277;22/06/2016
1401;72500;218000;Ronselarestraat 1800m van Koolkerkse wegel r. N;;51.2666769912845;3.25834693910958;22/06/2016
1605;67650;227000;Albert II laan   Albert II dok midden kade 121;;51.3468884415038;3.18681610530229;22/06/2016
1301;71500;214000;Vaartbekeweg  hoek Vaartbekeweg  zuidelijkste punt;;51.2305927508639;3.24488856824;22/06/2016
1537;68500;223500;Lisseweegse steenw.;Lisseweegs vaartje;51.3155545837208;3.19980481756332;22/06/2016
1006;64100;207100;Oostmoerstraat (Snellegem)  grens met Brugge;;51.1675272847503;3.14059497044807;22/06/2016
1053;69600;208100;Wagenbruggelaan;Sint-Godelievelaan;51.1773055398301;3.21899762701494;22/06/2016
1104;68500;209500;Titecastraat  50m vanaf Koningin Astridlaan;;51.1897348490238;3.20295545304187;22/06/2016
1177;75400;211250;Maalse steenweg  grens met Sijsele;;51.206394782901;3.30128133324618;22/06/2016
1010;66150;206500;Torhoutse steenweg;Rolleweg (Loppem);51.1624362056278;3.17003756796756;22/06/2016
1039;69050;207650;Chartreuzeweg;Rijselstraat;51.1731853110581;3.21123475788983;22/06/2016
1103;68100;209550;Velodroomstraat;Rennersweg;51.1901266630481;3.19722323772356;22/06/2016
1599;69600;226600;Havengeul  Strekdameinde Britaniadok en L.N.G.dok;;51.3435691077724;3.21488908889342;22/06/2016
1551;69000;224000;Jozef Verschaveweg  1000m vanaf Isabellalaan;;51.3201189823662;3.20686367786968;22/06/2016
1162;67550;211100;Refugestraat  zuidoosthoek Refugestraat pijpekop;;51.2039791391025;3.18900595649812;22/06/2016
1270;76000;213400;Sijseelse steenweg Moerkerke grens met Vijvekapelle;;51.2257949563677;3.30942650867803;22/06/2016
1513;68000;222700;Wulfsberge;Lisseweegs vaartje;51.3082938764545;3.19281543163508;22/06/2016
1435;70700;219500;Westkapelse steenweg;Kasteelstraat;51.2799132603753;3.23223206936582;22/06/2016
1091;71600;209050;Sint-Lucaslaan  pijpekop aan Sint-Trudoledeken;;51.1861191008584;3.24738823118106;22/06/2016
1428;67450;219950;Patentestraat;Assestraat;51.283501699192;3.18555824955456;22/06/2016
1273;67450;213500;zijweg west Expresweg  500m zuid van Oostendse steenweg;;51.2255350078274;3.1870286188834;22/06/2016
1476;69000;221150;"Boudewijnkanaal  weg ten oosten café ""den overzet""";;51.2945062875514;3.20750261487227;22/06/2016
1294;68400;214250;Sint-Pietersmolenstraat;Blankenbergse Dijk;51.2324105449299;3.20045637366033;22/06/2016
1018;65300;207000;Diksmuidse Heerweg   400m ZW vanaf De Watermolen;;51.1668064519169;3.15777283082474;22/06/2016
1133;73550;210200;Loreinendreef;Populierendreef;51.1967161883447;3.27503385601534;22/06/2016
1077;73800;208550;Sint-Trudoledeken grens met Oedelem;;51.181919156133;3.27895559915489;22/06/2016
1193;71650;211600;Assebroeklaan;Invaliedenstraat;51.2090438915349;3.24755316027717;22/06/2016
1547;67050;224000;Karveelstraat  500m vanaf Baron de Maerelaan;;51.3198415874415;3.17889616826918;22/06/2016
1276;68650;213550;parking sportkomplex Tempelhof;;51.226153687165;3.20419351885634;22/06/2016
1552;69550;224000;Nieuwzeelandse Kaai  700m vanaf Kiwiweg;;51.3201960178772;3.21475091935911;22/06/2016
1437;71800;219500;Zwiersweg  100m van Damse steenwegrichting noord;;51.2800634502679;3.24799488825763;22/06/2016
1159;66000;211000;Legeweg  350m vanaf Grote Moerstraat richting O;;51.2028579409877;3.16685395416426;22/06/2016
1054;70150;208000;Heidelbergstraat  brug Leiselebeek;;51.1764838648999;3.22688271013997;22/06/2016
