Id;Gebouw;Ligging;Functie;latWGS84;loWGS84;Aangemaakt op
6;Memlingmuseum;Mariastraat 38;M;51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877,51.2040270835877;3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026,3.22359117158026;10/10/2016
19;Brouwerij Halve Maan;Walplein 26;M;51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457,51.2020430531457;3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517,3.22418217268517;10/10/2016
10;Guido Gezellemuseum;Rolweg 64;M;51.2150094003329,51.2150094003329,51.2150094003329,51.2150094003329,51.2150094003329,51.2150094003329;3.2379129341553,3.2379129341553,3.2379129341553,3.2379129341553,3.2379129341553,3.2379129341553;10/10/2016
0;Kerk Engels Klooster;Carmersstraat 85;M;51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841,51.2145681083841;3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872,3.23394371991872;10/10/2016
12;Schuttersgilde Sint-Joris;Stijn Streuvelsstraat 59;M;51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258,51.2139328171258;3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865,3.23682090322865;10/10/2016
16;Belfort;Markt 7;M;51.2081965178061,51.2081965178061,51.2081965178061,51.2081965178061,51.2081965178061,51.2081965178061;3.22465665281389,3.22465665281389,3.22465665281389,3.22465665281389,3.22465665281389,3.22465665281389;10/10/2016
18;Begijnenhuisje;Begijnhof 1;M;51.2017164689464,51.2017164689464,51.2017164689464,51.2017164689464,51.2017164689464,51.2017164689464,51.2017164689464,51.2017164689464,51.2017164689464;3.2237253402453,3.2237253402453,3.2237253402453,3.2237253402453,3.2237253402453,3.2237253402453,3.2237253402453,3.2237253402453,3.2237253402453;10/10/2016
17;Kantcentrum;Peperstraat 3;M;51.2122958825692,51.2122958825692,51.2122958825692,51.2122958825692,51.2122958825692;3.23385137945299,3.23385137945299,3.23385137945299,3.23385137945299,3.23385137945299;10/10/2016
9;De Gouden Boom -Brouwerijmuseum-;Verbrand Nieuwland 10;M;51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164,51.2104475103164;3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577,3.23409189929577;10/10/2016
1;Steenmuseum;Dijver 17;M;51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539,51.2052888277539;3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555,3.22476298757555;10/10/2016
