Naam;Bijnaam;Straat;nr;postcode;plaats;man;afvalemMan;vrouw;afvalemVrouw;invalide;baby;prijs;maO;maD;DiO;DiD;WoeO;WoeD;DoO;DoD;VrO;VrD;ZaO;ZaD;ZoO;ZoD;Opmerking;latWGS84;loWGS84;Aangemaakt op
Gemeenschapshuis;Sint-Michiels;Rijselstraat;98;8200;Brugge;x;;x;;x;;0.0;083000.000;123000.000;083000.000;180000.000;083000.000;160000.000;083000.000;123000.000;083000.000;123000.000;090000.000;114500.000;000000.000;000000.000;1 toilet voor 3 doelgroepen Dinsdag en woensdag  van  12:30 - 14:00 gesloten.;51.188251345482904;3.2107745012418225;06/07/2018
Guilini zwembad;Brugge centrum;Keizer Karelstraat;41;8000;Brugge;x;;x;;x;;0.0;070000.000;174500.000;070000.000;174500.000;070000.000;214500.000;070000.000;154500.000;070000.000;214500.000;070000.000;174500.000;000000.000;000000.000;Gesloten tussen 08.45 en 14.00. Invalidentoilet bereikbaar via de trap.;51.21350464802952;3.2119042852982425;06/07/2018
Urinoir thv.  Stadsschouwburg;Brugge centrum;Kuipersstraat;23;8000;Brugge;x;;;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;Openbaar urinoir 24/24.;51.21057095611598;3.223627954472575;06/07/2018
Dienstencentrum 't Reitje;Brugge centrum;Annuntiatenstraat;34;8000;Brugge;x;;x;;x;;0.0;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;083000.000;180000.000;000000.000;000000.000;000000.000;000000.000;Tijdens het weekend gesloten. In verlofperiodes pas vanaf 09:45 open.;51.21550769022333;3.2243500264165155;06/07/2018
Sportdomein De Watertoren;Sint-Andries;Koning Leopold III-laan;115;8200;Brugge;x;;x;;;;0.0;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;000000.000;24/24;51.1942944467428;3.1860360303068465;06/07/2018
Koude Keuken;Sint-Andries;Zandstraat;284 +;8200;Brugge;x;;x;;x;;0.0;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;220000.000;080000.000;130000.000;;51.20138736052304;3.1798612915991726;06/07/2018
Administratief centrum;Dudzele;Sint-Lenardstraat;28;8380;Brugge;x;;x;;;;0.0;110000.000;123000.000;110000.000;123000.000;110000.000;123000.000;110000.000;123000.000;110000.000;123000.000;000000.000;000000.000;000000.000;000000.000;1 toilet voor 3 doelgroepen, niet toegankelijk voor mensen met een beperking.;51.27365239826061;3.226768471466569;06/07/2018
Bibliotheek De Schorre;Dudzele;Westkapelse Steenweg;58;8380;Brugge;x;;x;;x;;0.0;000000.000;000000.000;000000.000;000000.000;140000.000;180000.000;000000.000;000000.000;000000.000;000000.000;100000.000;120000.000;000000.000;000000.000;Zondag gesloten.;51.275852288209066;3.2286193743613336;06/07/2018
Administratief gebouw;Lissewege;Oude Pastoriestraat;5;8380;Brugge;x;;x;;x;;0.0;000000.000;000000.000;000000.000;000000.000;140000.000;180000.000;000000.000;000000.000;000000.000;000000.000;090000.000;120000.000;000000.000;000000.000;Toilet voor personen met beperking is ook damestoilet.;51.294101341798225;3.1998423250999206;06/07/2018
Sportdomein 'De Landdyk';Zeebrugge;Evendijk-Oost;246;8380;Brugge;x;;x;;x;;0.0;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;230000.000;080000.000;220000.000;080000.000;130000.000;Het sportcomplex kan gesloten zijn wanneer er geen sportactiviteiten werden gepland.;51.33024155954807;3.213486308999456;06/07/2018
