Locatie;Plaats;Opm;SPwerking;latWGS84;loWGS84;Aangemaakt op
P.M. Christinalaan 11;Assebroek;;;51.1958473533314;3.24894356293233;16/03/2017
Jakobinessestraat 45;Centrum;;;51.2033150960041;3.23086742476174;16/03/2017
Ploegstraat 26;Zeebrugge;;;51.3304027969033;3.20929457816583;16/03/2017
Engelendalelaan 18;St.-Kruis;;;51.2056060480075;3.270447935753;16/03/2017
Peterseliestraat 100;Centrum;;;51.2194604331457;3.2323410904173;16/03/2017
St.-Arnolduslaan 26;St.-Michiels;;;51.1816629867126;3.22055898297761;16/03/2017
Kerklaan 37;Assebroek (ver-A);achter een parochiaal centrum;;51.1902360236866;3.27366794798652;16/03/2017
Legeweg 269 (Prangeweide);St.-Andries;;;51.2044359343327;3.17677674090764;16/03/2017
St.-Michielslaan 69;St.-Michiels;;;51.1794514610429;3.21101304770833;16/03/2017
Beisbroek, sterrenwacht;St.-Andries;;;51.1713195121607;3.16449862698651;16/03/2017
Ter Pannestraat 6;Centrum;;;51.2216564957161;3.2222578611501;16/03/2017
Paul Gilsonstraat;St.-Andries;;ja;51.207903843736;3.1975978979251;16/03/2017
Landjuwelenstraat 43;St.-Jozef;;;51.2300362288017;3.23526176099871;16/03/2017
Gulden Kamer;St.-Kruis;;;51.2168327464569;3.24611494248894;16/03/2017
Tempelhof;St.-Pieters;;;51.2260239825291;3.20420229379267;16/03/2017
Binnenweg 4;St.-Jozef;;ja;51.2257467829205;3.22604592468647;16/03/2017
St.-Arnolduslaan 28;St.-Michiels;;;51.1814659263293;3.22031491445266;16/03/2017
St.-Jansdreef;St.-Andries;hoek met P. Benoitlaan;;51.209394098624;3.20805625314726;16/03/2017
K.K. Theodoorstraat 2;St.-Andries;achter een parochiaal centrum;;51.1927052045232;3.1950099557408;16/03/2017
Stationsstraat;Lissewege;;;51.2941361374501;3.19592312687059;16/03/2017
L. Coiseaukaai 11;St.-Jozef;;;51.2339605242854;3.22291710280235;16/03/2017
Amaat Vynckestraat;Dudzele;officieel adres 'Westkapelse stwg 58',onderdeel van een sportpark;;51.2755076648613;3.22875901272686;16/03/2017
Lisseweegse steenweg;Zwankendamme;;;51.3114022222608;3.20129764443259;16/03/2017
Steenkaai 34R;Christus-koning;;;51.2190828613162;3.20224238602928;16/03/2017
L. Coiseaukaai 11d;St.-Jozef;;;51.2348877091051;3.22268942537145;16/03/2017
Weidestraat 85;Assebroek;;;51.1923070218192;3.24551892193925;16/03/2017
PC H. Magdalena, Violierstraat 7;Centrum;onderdeel van een paroch centrum;;51.2059357262341;3.23356884120649;16/03/2017
Venkelstraat;Centrum;;;51.212879090194;3.2330382886968;16/03/2017
Mortierstraat 31;Centrum;;;51.2085564424487;3.21613370016998;16/03/2017
Brieversweg 373 (Maleveld);St.-Kruis (Male);;;51.2121575236757;3.28913673401576;16/03/2017
Paalbos;St.-Kruis;grens Assebroek/St.-Kruis;ja;51.2019508125073;3.26917448005715;16/03/2017
Dekenstraat;St.-Kruis (Male);;ja;51.2165393391656;3.27804917969401;16/03/2017
Antonis De Rooverestraat;Assebroek;;;51.2029716644387;3.26010429480161;16/03/2017
Zandberg 8;Assebroek;;ja;51.1926495584108;3.2469325910123;16/03/2017
Blauwkasteelweg;St.-Kruis;;;51.2164090208999;3.24542581379716;16/03/2017
Legeweg 83;St.-Andries;zolderverdiep van een paroch centrum;;51.2045198245052;3.2053310693447;16/03/2017
Zandstraat 268 (Fazantenlaan);St.-Andries;;ja;51.2030868200484;3.18205747246166;16/03/2017
Kanunnik Decoeneplein 2;St.-Kruis (Male);onderdeel van een paroch centrum;;51.2126435947626;3.28754430756206;16/03/2017
Daverlostraat 140;Assebroek;;;51.1944751494059;3.24721884984491;16/03/2017
Scharphoutstraat;Lissewege;;ja;51.2971504948116;3.18836487999372;16/03/2017
Vaartbekeweg / Over de Vaartbeek;Koolkerke;onderdeel van een sportpark;;51.2319656494323;3.24534277768172;16/03/2017
St.-Trudostraat 1;Assebroek (Steenbrugge);;;51.1815047800324;3.23889586166134;16/03/2017
St.-Michielslaan 75 a+b;St.-Michiels;;;51.1794071117525;3.21003512508367;16/03/2017
