DATUM;SECTIE;GEMEENTEAFDELING;STRAAT;GROENOBJECT;BEHEERSOBJECT;OPPERVLAK;BEREKEND_OPP;EIGENAAR;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
2008;4.2;Sint-Kruis;Geralaan;sportveld;sportveld;51009;49696;;68;51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213,51.2206491919213;3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036,3.25068261205036;16/03/2017
2008;5.3;Sint-Andries;Diksmuidse Heerweg;groenzone/speelbos;groenzone/speelbos;0;4973;;727;51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219,51.1892624816219;3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206,3.19026120731206;16/03/2017
2008;3.1;Sint-Pieters;Duivekeetbos;bos;grote domeinen;0;79470;Stad Brugge;743;51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017,51.238837951017;3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024,3.20756708139024;16/03/2017
2008;5.2;Sint-Michiels;Rijselstraat;groenzone/speelbos;groenzone/speelbos;0;16729;;725;51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016,51.1776737243016;3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831,3.21148301138831;16/03/2017
2008;4.1;Assebroek;Veltemweg;groenzone/speelbos;groenzone/speelbos;0;86506;Stad Brugge-;744;51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315,51.2072921945315;3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093,3.25730268683093;16/03/2017
2008;5.2;Sint-Michiels;t' Speelhof;groenzone/speelbos;groenzone/speelbos;0;10500;;721;51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717,51.1918160605717;3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555,3.20059635007555;16/03/2017
2008;5.2;Assebroek(Paalbos;Rijkeveldestraat;groenzone/speelbos;groenzone/speelbos;0;51573;;723;51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599,51.199885415599;3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025,3.27375881113025;16/03/2017
;;Assebroek;Veltemweg;groenzone/speelbos;groenzone/speelbos;0;10295;Stad Brugge;746;51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517,51.2051761720517;3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754,3.25755231170754;16/03/2017
;;;;;;0;0;;0;51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577,51.1806523851577;3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079,3.18588379849079;16/03/2017
2008;;(Bergjesbos);Weidestraat;groenzone/speelbos;groenzone/speelbos;0;8444;;719;51.1918292930777,51.1918292930777,51.1918292930777,51.1918292930777,51.1918292930777,51.1918292930777,51.1918292930777,51.1918292930777;3.25283164144769,3.25283164144769,3.25283164144769,3.25283164144769,3.25283164144769,3.25283164144769,3.25283164144769,3.25283164144769;16/03/2017
