Sportinfrastructuur;Straatnaam;Huisnr;Postcode;Deelgemeente;Omschrijving;latWGS84;loWGS84;Aangemaakt op
Sportcomplex Koude Keuken;Zandstraat;284;8200;Sint-Andries;Omvat een sporthal, parkdomein en verschillende buitenterreinen;51.2015621004379;3.17983654938096;04/10/2016
Sport Vlaanderen-centrum Julien Saelens;Nijverheidsstraat;112;8310;Assebroek;Biedt een brede waaier aan sportfaciliteiten, zowel indoor als outdoor;51.2051536544509;3.24346088244298;04/10/2016
Sporthal Sint-Lodewijkscollege;Magdalenstraat;30;8200;Sint-Andries;Beschikt over verschillende schoolsportzalen en een buitenterrein. De Stad staat in voor het naschools verhuur van deze schoolsportinfrastr.;51.2002919514475;3.21066022038211;04/10/2016
Sportpark de Watertoren;Koning Leopold III-laan;109;8200;Sint-Andries;Omvat verschillende buitenterreinen;51.1932216846747;3.18618677860361;04/10/2016
Sportzaal Koolkerke De Arend;Arendstraat;16;8000;Koolkerke;Mini-basketbal, gymnastiek, dansen, badminton, yoga, gevechtssporten;51.2417814262618;3.24740108145922;04/10/2016
Sporthal KTA;Rijselstraat;7;8200;Sint-Michiels;Beschikt over een sporthal en een buitenterrein. De Stad staat in voor het naschools verhuur van deze schoolsportinfrastructuur;51.1906333449727;3.21426545300112;04/10/2016
Sporthal De Landdijk;Evendijk-Oost;246;8380;Zeebrugge;Beschikt over een sporthal, speelplein, dierenpark en kinderdagverblijf;51.3301111571037;3.21342295660187;04/10/2016
Wielerpiste Patrick Sercu;Nijverheidsstraat;112;8310;Assebroek;Wielerpiste van 333,33 meter in open lucht, op het binnenplein een skeelerpiste van 250 meter, 2 basket-  en 2 volleterreinen;51.2058274366693;3.24412166426509;04/10/2016
Sportcomplex Tempelhof;Tempelhof;57;8000;Sint-Pieters;Omvat een sporthal, gloednieuwe judozaal en een aantal buitenterreinen. Vaak het toneel voor spektakelrijke boks- en worstelkampen;51.228058762371;3.20400380693725;04/10/2016
Sporthal De Polder;Stokerij;10;8380;Dudzele;Beschikt over een sporthal, skatepark, speelplein en een aantal buitenterreinen. Men kan ook gebruik maken van de bar, keuken en vergaderzal;51.2708023155165;3.22960009379305;04/10/2016
Sportpark Rust Roest;Zuidervaartje;3;8310;Sint-Kruis;Omvat twee buitenterreinen;51.2209351293449;3.23899643185394;04/10/2016
Sportcomplex Gulden Kamer;Geralaan;;8310;Sint-Kruis;Sporthal Albert Plovier, skatepark, speelplein, speelbos en buitenterreinen;51.218750160676;3.24819822040348;04/10/2016
Sportcomplex Daverlo;Dries;2;8310;Assebroek;Omvat een gloednieuwe sporthal, cultuurzaal, repetitieruimtes, speelplein, skatepark, basketbalveld en buitenterreinen;51.1935399510971;3.24800666311843;04/10/2016
Sportcomplex Jan Breydelstadion;Koning Leopold III-laan;50;8200;Sint-Andries;Thuisbasis van Club Brugge en Cercle Brugge. Omvat ook een sport-en judozaal, skeelerpiste buitenterreinen en het zwembad S&R Olympia;51.1932559283606;3.18162497996319;04/10/2016
Sporthal VTI;Zandstraat;138;8200;Sint-Andries;Beschikt over een sporthal en een buitenterrein. De Stad staat in voor het naschools verhuur van deze schoolsportinfrastructuur;51.2031749509191;3.1952372898521;04/10/2016
