Oppervl;Lengte;Oidn;Uidn;Codsec;Niscode;Sec;Secnaam;NAAM;OPPERVLAKTE;DEELGEMEENTE_ID;DEELGEM_CODE;latWGS84;loWGS84;Aangemaakt op
1752714,90;7664,94;5473;5473;31005G349;31005;G349;TILLEGEM;Sint-Michiels;11360590;7;MC;51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988,51.1807178978988;3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372,3.18576594775372;22/06/2016
341944,02;2476,28;5458;5458;31005F322;31005;F322;BRUGSE KERKHOF;Assebroek;8846819;8;AB;51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414,51.1972051266414;3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238,3.24066638554238;22/06/2016
5538041,85;12059,68;5386;5386;31005A2PA;31005;A2PA;BLAUWE TOREN;Sint-Pieters;15838546;4;SPSP;51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237,51.2385765352237;3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592,3.2004864729592;22/06/2016
271684,78;2478,06;5390;5390;31005A334;31005;A334;NOORWEGSE KAAI;Sint-Jozef;2471588;6;SPSJ;51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355,51.2273427311355;3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182,3.2451200281182;22/06/2016
310164,69;2631,43;5487;5487;31005H122;31005;H122;SANDERSKWARTIER;Sint-Andries;19090184;10;AN;51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985,51.2004164103985;3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434,3.21366930320434;22/06/2016
458829,73;4350,69;5448;5448;31005F033;31005;F033;'T LEITJE;Assebroek;8846819;8;AB;51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778,51.1918145558778;3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234,3.27524640738234;22/06/2016
321423,70;3228,87;5377;5377;31005A101;31005;A101;CANADABRUG;Christus-Koning;1037382;11;BRKK;51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962,51.2133286891962;3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503,3.21441425727503;22/06/2016
518188,05;6802,10;5413;5413;31005B480;31005;B480;KANAAL-WEST ( HEIST );Zeebrugge;20302262;1;ZBZB;51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766,51.3386448428766;3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344,3.2184633473344;22/06/2016
144694,45;1742,20;5470;5470;31005G311;31005;G311;DE GALGE;Sint-Michiels;11360590;7;MC;51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941,51.1885507464941;3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458,3.20056922241458;22/06/2016
499536,41;3899,76;5399;5399;31005A60-;31005;A60-;SMEDENPOORT;Brugge-Centrum;4269702;12;BRBR;51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459,51.2099436564459;3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189,3.21322498836189;22/06/2016
