STRAATnummer;STRAATNAAM;huisnr;suffix;busnr;POSTCODE;GEMEENTEAFDELING;SECTOR;dat_beslissing;Aantal_verblijven;in_uitbating;StraatHuisNummer;latWGS84;loWGS84;Aangemaakt op
205;Lane;25;;;8000;Brugge-Centrum;C;20010730000000.000;6;ja;Lane 25;51.2069494420758;3.21515133042854;20/11/2017
5091;Sint-Baafsstraat;37;;;8200;Sint-Andries;W;20141211000000.000;35;ja;Sint-Baafsstraat 37;51.1998804660095;3.19993333833776;20/11/2017
5030;Gistelse Steenweg;205;;;8200;Sint-Andries;W;20160606000000.000;4;ja;Gistelse Steenweg 205;51.2007764590074;3.19889822397739;20/11/2017
388;Zilverstraat;16;;;8000;Brugge-Centrum;C;20160530000000.000;2;ja;Zilverstraat 16;51.2075046061794;3.22195060286872;20/11/2017
7059;Koning Albert I-laan;58;;;8200;Sint-Michiels;W;20151222000000.000;40;ja;Koning Albert I-laan 58;51.1930698763713;3.21266706980609;20/11/2017
118;Hendrik Consciencelaan;24;;;8000;Brugge-Centrum;C;20101209000000.000;8;ja;Hendrik Consciencelaan 24;51.2021956167885;3.21477447421594;20/11/2017
246;Ontvangersstraat;18;;;8000;Brugge-Centrum;C;19970228000000.000;8;ja;Ontvangersstraat 18;51.2086664514108;3.21927463857208;20/11/2017
6028;Dampoortstraat;79;;;8310;Sint-Kruis;O;20160807000000.000;2;ja;Dampoortstraat 79;51.2153870477527;3.2405017136951;20/11/2017
383;Wulfhagestraat;37;;;8000;Brugge-Centrum;C;20140701000000.000;6;ja;Wulfhagestraat 37;51.2073651989036;3.21821639398526;20/11/2017
243;Noordzandstraat;60;;;8000;Brugge-Centrum;C;20160311000000.000;5;ja;Noordzandstraat 60;51.2069132039006;3.21928461809167;20/11/2017
155;Katelijnestraat;38;;;8000;Brugge-Centrum;C;20110107000000.000;6;ja;Katelijnestraat 38;51.2030899136681;3.22499763381802;20/11/2017
293;Schouwvegersstraat;5;;;8000;Brugge-Centrum;C;19970527000000.000;7;neen;Schouwvegersstraat 5;51.2080031403278;3.21494448536526;20/11/2017
5030;Gistelse Steenweg;68;;;8200;Sint-Andries;W;19991206000000.000;3;ja;Gistelse Steenweg 68;51.2036880338537;3.20706180518848;20/11/2017
69;Engelsestraat;10;;;8000;Brugge-Centrum;C;20090626000000.000;5;ja;Engelsestraat 10;51.2113624592248;3.22806602705571;20/11/2017
367;Walweinstraat;17;;;8000;Brugge-Centrum;C;20121231000000.000;7;ja;Walweinstraat 17;51.2206821675741;3.22653163785007;20/11/2017
254;Oude Zak;24;;;8000;Brugge-Centrum;C;20110107000000.000;25;ja;Oude Zak 24;51.2110110590248;3.21906190251894;20/11/2017
383;Wulfhagestraat;10;;;8000;Brugge-Centrum;C;20160628000000.000;6;ja;Wulfhagestraat 10;51.2072584498291;3.2187983028;20/11/2017
355;Violierstraat;29;;;8000;Brugge-Centrum;C;20170808000000.000;4;ja;Violierstraat 29;51.2051517428199;3.23428519251221;20/11/2017
7086;Pitsenbosdreef;11;;;8200;Sint-Michiels;W;20100129000000.000;18;ja;Pitsenbosdreef 11;51.1681252154019;3.19572903245612;20/11/2017
