Nummer;Woonzorgcentra;Straat;Nr;Postcode;Gemeente;RVT;ROB;Totaal;grootte_bol_op_kaart;latWGS84;loWGS84;Aangemaakt op
1;WZC Ter Potterie;Peterseliestraat;21;8000;Brugge;0;0;6;;51.2195648123514;3.23126457589884;20/11/2017
2;WZC Hallenhuis;Pastoriestraat;1;8200;Sint-Andries;0;0;108;;51.1975378122948;3.17913859511462;20/11/2017
16;WZC Prinsenhof;Gebroeders Marreytstraat;50;8000;Sint-Pieters;0;0;117;;51.2247118432502;3.1992355160908;20/11/2017
11;WZC Sint Jozef;Spoorwegstraat;250;8200;Sint-Michiels;0;0;91;;51.1828931401616;3.22420540061638;20/11/2017
4;WZC Zeven Torentjes;Sint-Lucaslaan;50;8310;Assebroek;0;0;126;;51.1855706172407;3.24674126607274;20/11/2017
14;WZC Engelendale vzw;Vlamingdam;34;8000;Brugge;0;0;96;;51.2164318463792;3.22064623124596;20/11/2017
8;WZC Herdershove;Oude Oostendse Steenweg;95;8000;Brugge;0;0;90;;51.2256850094635;3.19138036732508;20/11/2017
6;WZC Minnewater;Prof. Dr. J. Sebrechtstraat;1;8000;Brugge;0;0;145;;51.1999425347128;3.22207926157362;20/11/2017
7;WZC Van Zuylen;Geralaan;50;8310;Sint-Kruis;0;0;173;;51.2194606559979;3.24632296635502;20/11/2017
12;WZC Westerrivier;Speelpleinlaan;44;8310;Assebroek;0;0;40;;51.207362878635;3.24479494943885;20/11/2017
17;Militza;Noorweegse Kaai;24;8000;Brugge;0;0;131;;51.2245084083653;3.2383950274212;20/11/2017
10;WZC Jeruzalem;Stijn Streuvelsstraat;1;8000;Brugge;0;0;70;;51.2123809207044;3.2346223776453;20/11/2017
9;WZC Regina Coeli;Koning Leopold III-laan;4;8200;Sint-Michiels;0;0;82;;51.1964304523405;3.18091901529296;20/11/2017
5;WZC Ten Boomgaarde;Ter Beke;7;8200;Sint-Michiels;0;0;104;;51.1863050231181;3.21433379333434;20/11/2017
13;WZC De Vliedberg;Ruddershove;1;8000;Brugge;0;0;96;;51.2216965039253;3.19911734252782;20/11/2017
