Deelgemeente;Straat;Locatie;element;aantal;latWGS84;loWGS84;Aangemaakt op
Koolkerke;Dorpsmolenstraat;aan petanqueplein;banken met betonsokkel;2;51.2390714423625,51.2390714423625;3.24874745480818,3.24874745480818;22/06/2016
Sint-Andries;Kerkhofstraat;ingang kerkhof;banken met betonsokkel;1;51.1952028313682;3.17961308837639;22/06/2016
Sint-Andries;Chartreuzinnegoed;;houten banken;2;51.1784169134766,51.1784169134766;3.16192612816881,3.16192612816881;22/06/2016
Sint-Kruis;Dampoortstraat;huisnr 155 en 183;banken met betonsokkel;2;51.2186471469394,51.2186471469394;3.2373210003502,3.2373210003502;22/06/2016
Sint-Pieters;Sint-Pietersplein;;banken met betonsokkel;3;51.222945878528,51.222945878528,51.222945878528;3.20866393991961,3.20866393991961,3.20866393991961;22/06/2016
Centrum;Hof de Jonghe;;banken met betonsokkel;7;51.2190706233581,51.2190706233581,51.2190706233581,51.2190706233581,51.2190706233581,51.2190706233581,51.2190706233581;3.22760079924844,3.22760079924844,3.22760079924844,3.22760079924844,3.22760079924844,3.22760079924844,3.22760079924844;22/06/2016
Sint-Andries;Gistelse Steenweg;Kerkhof;banken met betonsokkel;1;51.1969514189142;3.1792531403928;22/06/2016
Sint-Andries;Steentje;Robrecht van Vlaanderenlaan;banken met betonsokkel;2;51.197433579351,51.197433579351;3.18932449199412,3.18932449199412;22/06/2016
Assebroek;Beeweg;op plein thv school;draadbanken;2;51.2022288859042,51.2022288859042;3.27066575421086,3.27066575421086;22/06/2016
Centrum;Sint-Annarei;onder banken;zwanehalsbank;2;51.2129287889046,51.2129287889046;3.22940971007428,3.22940971007428;22/06/2016
Sint-Pieters;Gentele;speelplein;banken met betonsokkel;6;51.2291611510395,51.2291611510395,51.2291611510395,51.2291611510395,51.2291611510395,51.2291611510395;3.19635724125718,3.19635724125718,3.19635724125718,3.19635724125718,3.19635724125718,3.19635724125718;22/06/2016
Sint-Jozef;Landjuwelenstraat;aan buurthuis;banken met betonsokkel;2;51.2299252773367,51.2299252773367;3.23565575021933,3.23565575021933;22/06/2016
Sint-Kruis;Moerkerkse Steenweg;huisnr 140;banken met betonsokkel;1;51.2137632436922;3.2479766751368;22/06/2016
Sint-Michiels;Oudekerkstraat;thv nr 52;banken met betonsokkel;1;51.1909530567134;3.20721830782543;22/06/2016
Centrum;Kalvariebergstraat;;zwanehalsbank;5;51.2186347749601,51.2186347749601,51.2186347749601,51.2186347749601,51.2186347749601;3.22458889456994,3.22458889456994,3.22458889456994,3.22458889456994,3.22458889456994;22/06/2016
Centrum;Hendrik Consciencelaan;;zwanehalsbank;20;51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802,51.2044840489802;3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781,3.21302815294781;22/06/2016
Sint-Michiels;Stokveldewijk;binnenplein;banken met betonsokkel;4;51.1736655687729,51.1736655687729,51.1736655687729,51.1736655687729;3.21270503251891,3.21270503251891,3.21270503251891,3.21270503251891;22/06/2016
Centrum;Sint-Claradreef;Sincfalpark;zwanehalsbank;9;51.2200934263731,51.2200934263731,51.2200934263731,51.2200934263731,51.2200934263731,51.2200934263731,51.2200934263731,51.2200934263731,51.2200934263731;3.22395523182005,3.22395523182005,3.22395523182005,3.22395523182005,3.22395523182005,3.22395523182005,3.22395523182005,3.22395523182005,3.22395523182005;22/06/2016
Centrum;Predikherenrei;;zwanehalsbank;8;51.2068662094687,51.2068662094687,51.2068662094687,51.2068662094687,51.2068662094687,51.2068662094687,51.2068662094687,51.2068662094687;3.23525265528642,3.23525265528642,3.23525265528642,3.23525265528642,3.23525265528642,3.23525265528642,3.23525265528642,3.23525265528642;22/06/2016
Sint-Andries;Steentje;kant Kloosterveld;banken met betonsokkel;1;51.1970134734887;3.18729147084282;22/06/2016
Centrum;Komvest;;bank met arduinen sokkel;1;51.2196728836287;3.22241179169088;22/06/2016
Centrum;Baron Ruzettepark;;zwanehalsbank;8;51.2202281856743,51.2202281856743,51.2202281856743,51.2202281856743,51.2202281856743,51.2202281856743,51.2202281856743,51.2202281856743;3.22207521186366,3.22207521186366,3.22207521186366,3.22207521186366,3.22207521186366,3.22207521186366,3.22207521186366,3.22207521186366;22/06/2016
Sint-Andries;Lange Vesting;speelplein;banken met betonsokkel;6;51.2068325582884,51.2068325582884,51.2068325582884,51.2068325582884,51.2068325582884,51.2068325582884;3.20942609650325,3.20942609650325,3.20942609650325,3.20942609650325,3.20942609650325,3.20942609650325;22/06/2016
Sint-Kruis;Holleweg;in bos Ryckevelde;banken met betonsokkel;15;51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636,51.1969752115636;3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963,3.29392919381963;22/06/2016
Christus-Koning;Werfplein;;zwanehalsbank;6;51.2187786682551,51.2187786682551,51.2187786682551,51.2187786682551,51.2187786682551,51.2187786682551;3.21803829239912,3.21803829239912,3.21803829239912,3.21803829239912,3.21803829239912,3.21803829239912;22/06/2016
