DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
Sint-Kruis;MOERKERKSE STEENWEG;SK047;M;aan toegangsweg naar kerk;;1786;;;30/10/2017
Sint-Kruis;DEKENSTRAAT;SK080;F;in wegel naar Baanderheerstraat;;1585;;;30/10/2017
Assebroek;MISPELBILK;AS116;F;aan trapveld naast speelplein;;1589;;;30/10/2017
Sint-Pieters;SINT-PIETERSGROENESTRAAT;SP002;F;aan banken op hoek met Blankenbergse Steenweg;;1624;;;30/10/2017
Assebroek;EDWARD JOOSSENSPLEIN;AS125;F;aan begin speelplein aan pick-nick-tafel;;1638;;;30/10/2017
Sint-Pieters;SINT-PIETERSMOLENSTRAAT;SP011;F;aan bushalte op hoek Blankenbergse Dijk;;1626;;;30/10/2017
Zwankendamme;DOORNWEG;ZW005;F;tussen onthaalbureau en verhard speelveld;;1644;;;30/10/2017
Sint-Andries;;SA152;F;sportpark Watertoren, langs fietspad thv middenlijn hockeyterrein;;1654;;;30/10/2017
Assebroek;DAVERLOSTRAAT;AS126;F;Daverlopark - tussen basketterrein en skatepark;;1656;;;30/10/2017
Assebroek;DAVERLOSTRAAT;AS129;F;Daverlopark - onderaan trap naar zithoek op skatepark;;1658;;;30/10/2017
Assebroek;DAVERLOSTRAAT;AS128;F;Daverlopark - bovenaan trap naar zithoek op skatepark;;1660;;;30/10/2017
Assebroek;DAVERLOSTRAAT;AS127;F;Daverlopark - boven aan zithoek op skatepark;;1662;;;30/10/2017
Sint-Michiels;;SM082;Lx;Kerkebeekpad tussen Spoorwegstraat en zijingang VHI;;1666;;;30/10/2017
Sint-Michiels;SINT-ARNOLDUSLAAN;SM123;F;aan bushalte t.h.v. nr. 73;;1669;;;30/10/2017
Sint-Andries;ZANDSTRAAT;SA153;F;op hoek met Noordveldstraat;;1671;;;30/10/2017
Assebroek;BARON RUZETTELAAN;AS131;F;op randparking in doorsteek in hoek kant Meulestee;;1674;;;30/10/2017
Sint-Pieters;;SP106;F;park Ter Poele, aan 2 banken langs pad achter prieel;;1681;;;30/10/2017
Sint-Pieters;;SP107;F;park Ter Poele, aan bank langs pad achter prieel;;1683;;;30/10/2017
Sint-Michiels;DORPSSTRAAT;SM125;F;Kerkebeekpad : in midden tussen Dorpsstraat en Ter Groene Poorte;;1700;;;30/10/2017
Sint-Kruis;BOOGSCHUTTERSLAAN;SK050;F;"aan bushalte t.h.v. school ""Mariawende""";;1781;;;30/10/2017
