DEELGEMEENTE;LIGGING;OPMERKINGEN;NR;AANTAL;latWGS84;loWGS84;Aangemaakt op
Christus-Koning;914;aan spoorwegbrug / bovengronds;20;2;51.2168781761283;3.20139944343248;30/10/2017
Brugge;397;aan mobilhomeparking / bovengronds;14;1;51.1964840846267;3.22612143604059;30/10/2017
Sint-Andries;HOGE LANE;aan garagecomplex op hoek met Legeweg / bovengronds;37;1;51.2056260664732;3.20717290603501;30/10/2017
Sint-Andries;5130;op pleintje t.h.v. Gentiaanstraat;40;1;51.1842652165838;3.17916230238784;30/10/2017
Dudzele;2004;t.h.v. gemeentelijke basisschool / bovengronds;21;1;51.2756515897059;3.23292358804373;30/10/2017
Assebroek;1008;aan ingang winkelcomplex/ bovengronds;3;1;51.1947901070608;3.2314222274636;30/10/2017
Sint-Michiels;7097;tegenaan expressweg / bovengronds;58;1;51.1851961329236;3.20201535778136;30/10/2017
Sint-Andries;5030;t.h.v. Bosdreef / bovengronds;34;1;51.1959450493748;3.17402429722238;30/10/2017
Sint-Andries;5075;op parking/pleintje / bovengronds;39;1;51.1918437141407;3.17235487029595;30/10/2017
Assebroek;1029;op parking Daverlopark / bovengronds;6;2;51.193368224257;3.24933055738007;30/10/2017
Sint-Kruis;6096;tegenaan Moerkerkse Steenweg / bovengronds;54;1;51.224092603129;3.28438102223341;30/10/2017
Sint-Pieters;502;op hoek met Goudenregenstraat / bovengronds;68;1;51.2348592594135;3.21124349839761;30/10/2017
Sint-Michiels;7113;bovengronds;65;2;51.1854177643767;3.21341052825054;30/10/2017
Sint-Kruis;6076;t.h.v. Puyenbroeklaan / bovengronds;52;1;51.2073044203708;3.27209000495711;30/10/2017
Sint-Andries;5020;aan Mari?nhovedreef / bovengronds;32;1;51.1791017732581;3.14784897354576;30/10/2017
Assebroek;1141;op parking Daverlopark;12;2;51.1925452336175;3.24547123488559;30/10/2017
Sint-Michiels;7109;t.h.v. uitgang containerpark / bovengronds;64;1;51.1863064353707;3.22704475768206;30/10/2017
Assebroek;1008;op hoek Tragelweg (aan randparking) / bovengronds;5;1;51.1796520521579;3.23405775016472;30/10/2017
Assebroek;1093;r.o. nr. 62 / bovengronds;11;1;51.2010156883351;3.27132580156221;30/10/2017
Sint-Pieters;551;tegenaan rondpunt / bovengronds;72;2;51.2233083638274;3.21374315768477;30/10/2017
Sint-Kruis;6003;in berm langs weide / bovengronds;47;1;51.2091906039471;3.24257833630335;30/10/2017
Zeebrugge;779;Jozef Verschaveweg op containerpark / bovengronds;78;4;51.3276384820537;3.20557070114944;30/10/2017
Lissewege;4003;op hoek met Zeebruggelaan / bovengronds;27;1;51.2923116040899;3.19199956619304;30/10/2017
Sint-Michiels;7109;op containerpark / bovengronds;59;4;51.1869464451603;3.22586601897501;30/10/2017
Brugge;23;aan speelplein / ondergronds;88;1;51.2079886774042;3.23824040694807;30/10/2017
Brugge;367;aan AC Walwein / bovengronds;17;3;51.2216031255544;3.22695980681073;30/10/2017
Brugge;88;bovengronds;15;2;51.2013703062966;3.23153776473616;30/10/2017
Sint-Pieters;585;op containerpark / bovengronds;70;4;51.2501340558649;3.20819520291751;30/10/2017
Christus-Koning;940;langs spoorwegberm / bovengronds;19;1;51.2127879300079;3.20295342374122;30/10/2017
Sint-Kruis;6025;t.h.v. Marinekazerne / bovengronds;50;1;51.2129576242297;3.26110257317519;30/10/2017
Zeebrugge;702;op hoek met Brusselstraat / bovengronds;75;2;51.3290741128021;3.1819311446942;30/10/2017
Sint-Andries;5030;op parking GB (nr. 344) / bovengronds;35;2;51.2005872580761;3.19105381346913;30/10/2017
Sint-Andries;5094;aan bejaardenlokaal en speelplein r.o. Nr. 2 / bovengronds;43;1;51.2069649409825;3.21003223847267;30/10/2017
Sint-Michiels;179;op hoek Witte Molenstraat / bovengronds;62;1;51.1855356547142;3.207751324789;30/10/2017
Sint-Andries;5018;nabij expressweg / bovengronds;30;1;51.197466382134;3.19642933185811;30/10/2017
Sint-Pieters;575;aan ingang wijk / bovengronds;69;1;51.236942025465;3.20200101542371;30/10/2017
Sint-Kruis;6020;op parking Gulden Kamer / bovengronds;48;1;51.2164859874351;3.24661713132621;30/10/2017
Sint-Pieters;556;t.h.v. Rustenburgstraat / bovengronds;73;1;51.2187555452118;3.2074898904402;30/10/2017
Brugge;130;tegenaan Kruisvest / ondergronds;86;1;51.2145435499223;3.23783321385169;30/10/2017
