Datum;PM 1;PM 2,5;PM 10;G;H;I;J;K;L;M;N;O;P;Q;R;Longitude;Latitude;latWGS84;loWGS84;Aangemaakt op
20170324;20.43;22.35;27.55;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170325;11.80;13.34;18.15;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170326;12.19;13.75;16.62;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170327;21.56;24.39;33.95;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170328;22.34;27.19;46.66;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170329;6.77;10.66;23.41;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170330;8.95;12.41;27.74;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170331;8.60;11.62;25.92;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170401;9.17;12.32;19.77;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170402;11.36;14.70;18.96;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170403;23.18;26.38;34.87;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170404;25.88;29.13;35.28;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170405;7.31;11.47;20.52;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170406;5.40;10.99;22.35;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170407;13.86;17.56;26.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170408;23.99;26.01;31.89;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170409;40.13;45.99;59.38;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170410;11.08;14.42;23.25;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170411;9.59;13.15;22.71;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170412;10.42;14.30;25.74;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170413;5.00;8.25;15.55;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170414;8.75;11.46;20.20;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170415;6.06;7.71;11.46;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170416;4.66;7.41;13.14;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170417;4.40;6.32;10.30;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170418;2.11;3.58;7.92;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170419;7.74;8.78;12.82;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170420;20.64;22.79;31.38;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170421;21.72;25.51;36.81;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170422;4.66;7.27;13.06;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170423;2.70;4.58;9.25;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170424;9.84;12.94;24.36;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170425;2.82;4.63;10.10;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170426;1.88;3.83;8.94;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170427;4.67;6.18;10.02;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170428;5.96;7.56;11.75;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170429;14.63;16.99;23.57;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170430;10.36;12.10;20.50;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170501;3.98;5.30;9.90;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170502;14.68;16.86;22.90;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170503;19.39;20.29;22.86;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170504;18.93;20.78;26.36;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170505;13.38;14.76;18.58;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170506;27.06;28.98;32.99;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170507;13.33;16.21;20.72;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170508;5.00;8.67;16.36;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170509;3.59;6.92;15.56;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170510;11.01;14.11;21.97;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170511;22.58;25.71;36.25;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170512;8.79;10.67;18.50;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170513;9.65;12.02;20.39;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170514;7.79;10.45;17.06;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
20170515;4.83;8.15;19.97;;;;;;;;;;;;;3.221186;51.251561;;;22/10/2018
