Datum;PM 1;PM 2,5;PM 10;Longitude;Latitude;latWGS84;loWGS84;Aangemaakt op
20180425;3.78;8.19;20.65;3.219727;51.197827;;;22/10/2018
20180426;3.62;7.79;17.70;3.219727;51.197827;;;22/10/2018
20180427;5.65;9.87;24.32;3.219727;51.197827;;;22/10/2018
20180428;9.53;11.36;15.82;3.219727;51.197827;;;22/10/2018
20180429;14.60;16.01;18.40;3.219727;51.197827;;;22/10/2018
20180430;6.55;7.60;10.64;3.219727;51.197827;;;22/10/2018
20180501;5.23;7.48;13.04;3.219727;51.197827;;;22/10/2018
20180502;6.70;8.34;14.41;3.219727;51.197827;;;22/10/2018
20180503;5.57;7.69;12.68;3.219727;51.197827;;;22/10/2018
20180504;10.29;13.26;19.98;3.219727;51.197827;;;22/10/2018
20180505;15.48;18.95;27.64;3.219727;51.197827;;;22/10/2018
20180506;25.11;29.11;40.74;3.219727;51.197827;;;22/10/2018
20180507;19.58;23.26;39.22;3.219727;51.197827;;;22/10/2018
20180508;30.73;35.74;54.68;3.219727;51.197827;;;22/10/2018
20180509;22.27;26.03;34.67;3.219727;51.197827;;;22/10/2018
20180510;6.99;11.32;18.79;3.219727;51.197827;;;22/10/2018
20180511;10.12;14.18;25.03;3.219727;51.197827;;;22/10/2018
20180512;13.88;17.48;29.83;3.219727;51.197827;;;22/10/2018
20180513;13.98;16.22;19.99;3.219727;51.197827;;;22/10/2018
20180514;19.52;23.85;31.07;3.219727;51.197827;;;22/10/2018
20180515;27.09;32.12;45.08;3.219727;51.197827;;;22/10/2018
20180516;14.90;22.23;40.35;3.219727;51.197827;;;22/10/2018
20180517;6.05;13.69;32.25;3.219727;51.197827;;;22/10/2018
20180518;6.02;11.25;21.87;3.219727;51.197827;;;22/10/2018
20180519;9.39;13.07;19.28;3.219727;51.197827;;;22/10/2018
20180520;31.10;36.32;44.46;3.219727;51.197827;;;22/10/2018
20180521;24.22;27.46;36.05;3.219727;51.197827;;;22/10/2018
20180522;16.22;19.06;28.10;3.219727;51.197827;;;22/10/2018
20180523;20.63;26.09;38.43;3.219727;51.197827;;;22/10/2018
20180524;27.29;29.77;38.96;3.219727;51.197827;;;22/10/2018
20180525;52.33;58.12;64.74;3.219727;51.197827;;;22/10/2018
20180526;30.60;32.85;39.46;3.219727;51.197827;;;22/10/2018
20180527;17.51;20.32;30.82;3.219727;51.197827;;;22/10/2018
20180528;33.66;38.10;50.00;3.219727;51.197827;;;22/10/2018
20180529;45.43;51.51;62.97;3.219727;51.197827;;;22/10/2018
20180530;43.15;49.45;58.97;3.219727;51.197827;;;22/10/2018
20180531;26.20;29.55;37.42;3.219727;51.197827;;;22/10/2018
20180601;17.70;20.22;24.67;3.219727;51.197827;;;22/10/2018
20180602;12.08;13.87;17.91;3.219727;51.197827;;;22/10/2018
20180603;11.56;13.13;17.69;3.219727;51.197827;;;22/10/2018
20180604;16.05;18.24;22.93;3.219727;51.197827;;;22/10/2018
20180605;14.40;19.03;30.01;3.219727;51.197827;;;22/10/2018
20180606;13.23;22.01;37.49;3.219727;51.197827;;;22/10/2018
20180607;20.72;27.98;38.15;3.219727;51.197827;;;22/10/2018
20180608;17.69;23.82;34.44;3.219727;51.197827;;;22/10/2018
20180610;13.94;18.06;26.50;3.219727;51.197827;;;22/10/2018
20180611;9.83;13.12;22.74;3.219727;51.197827;;;22/10/2018
20180612;12.69;15.34;24.30;3.219727;51.197827;;;22/10/2018
20180613;3.60;6.06;14.81;3.219727;51.197827;;;22/10/2018
20180614;7.31;9.45;18.00;3.219727;51.197827;;;22/10/2018
20180620;3.89;4.96;10.16;3.219727;51.197827;;;22/10/2018
20180621;2.89;6.37;21.51;3.219727;51.197827;;;22/10/2018
20180622;3.45;8.24;24.14;3.219727;51.197827;;;22/10/2018
20180623;4.80;8.30;17.50;3.219727;51.197827;;;22/10/2018
20180624;5.07;7.31;12.80;3.219727;51.197827;;;22/10/2018
20180625;4.04;6.00;13.38;3.219727;51.197827;;;22/10/2018
20180626;8.21;11.61;20.91;3.219727;51.197827;;;22/10/2018
20180627;15.21;20.78;33.34;3.219727;51.197827;;;22/10/2018
20180628;11.95;16.45;30.82;3.219727;51.197827;;;22/10/2018
20180629;8.96;13.12;26.18;3.219727;51.197827;;;22/10/2018
20180630;13.18;18.27;32.77;3.219727;51.197827;;;22/10/2018
20180701;3.95;7.07;29.44;3.219727;51.197827;;;22/10/2018
20180702;4.16;7.10;25.66;3.219727;51.197827;;;22/10/2018
20180703;4.36;7.77;23.54;3.219727;51.197827;;;22/10/2018
20180704;8.54;12.27;24.48;3.219727;51.197827;;;22/10/2018
20180705;5.69;7.88;16.84;3.219727;51.197827;;;22/10/2018
20180706;13.83;17.24;31.48;3.219727;51.197827;;;22/10/2018
20180707;7.52;10.54;20.75;3.219727;51.197827;;;22/10/2018
20180708;5.28;7.36;16.42;3.219727;51.197827;;;22/10/2018
20180709;6.03;8.17;16.29;3.219727;51.197827;;;22/10/2018
20180710;4.48;8.31;21.25;3.219727;51.197827;;;22/10/2018
20180711;8.51;13.49;24.15;3.219727;51.197827;;;22/10/2018
20180712;9.21;12.44;22.43;3.219727;51.197827;;;22/10/2018
20180713;6.08;9.16;18.18;3.219727;51.197827;;;22/10/2018
20180714;8.41;10.61;20.29;3.219727;51.197827;;;22/10/2018
20180715;8.28;10.77;26.22;3.219727;51.197827;;;22/10/2018
20180716;13.49;18.13;47.49;3.219727;51.197827;;;22/10/2018
20180717;7.21;9.85;21.67;3.219727;51.197827;;;22/10/2018
20180718;4.86;7.11;15.81;3.219727;51.197827;;;22/10/2018
20180719;7.79;9.99;20.56;3.219727;51.197827;;;22/10/2018
20180720;10.38;12.56;21.22;3.219727;51.197827;;;22/10/2018
20180721;5.41;6.78;13.08;3.219727;51.197827;;;22/10/2018
20180722;18.48;20.54;28.10;3.219727;51.197827;;;22/10/2018
20180723;8.39;10.69;21.33;3.219727;51.197827;;;22/10/2018
20180724;5.55;7.45;17.85;3.219727;51.197827;;;22/10/2018
20180725;8.01;10.34;24.06;3.219727;51.197827;;;22/10/2018
20180726;19.12;22.48;40.77;3.219727;51.197827;;;22/10/2018
