frntype_sh;fietstrace;gemeente;lstrnm;rstrnm;lengte;wegcategor;beheer_shp;bff_datum_;ident8_opl;ident8_afl;latWGS84;loWGS84;Aangemaakt op
functionele fietsroute;31005_Maalse Steenweg_10352;Brugge;Maalse Steenweg;Maalse Steenweg;68,00000000000000000;secundaire weg type 1;AWV - District Brugge;20141231;N0090001;;51.2091574399416,51.2091574399416;3.25952469895008,3.25952469895008;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;54,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1923992818745,51.1923992818745,51.1923992818745,51.1923992818745,51.1923992818745;3.27356292176398,3.27356292176398,3.27356292176398,3.27356292176398,3.27356292176398;23/06/2016
functionele fietsroute;31005_Westkapelse Steenweg_10455;Brugge;Westkapelse Steenweg;Westkapelse Steenweg;92,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3760001;N3760002;51.2930994533323,51.2930994533323,51.2930994533323,51.2930994533323,51.2930994533323,51.2930994533323,51.2930994533323,51.2930994533323;3.25503108775601,3.25503108775601,3.25503108775601,3.25503108775601,3.25503108775601,3.25503108775601,3.25503108775601,3.25503108775601;23/06/2016
hoofdroute: fietssnelweg;31005_Noorweegse Kaai_10367;Brugge;Noorweegse Kaai;Noorweegse Kaai;324,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.2384877107375,51.2384877107375,51.2384877107375,51.2384877107375;3.26164647633906,3.26164647633906,3.26164647633906,3.26164647633906;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;44,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1952643435901,51.1952643435901;3.25949593851181,3.25949593851181;23/06/2016
functionele fietsroute;31005_Astridlaan_10254;Brugge;Astridlaan;Astridlaan;167,00000000000000000;lokale weg type 1;AWV - District Brugge;20141231;N3370001;N3370002;51.1911812238284,51.1911812238284,51.1911812238284,51.1911812238284,51.1911812238284;3.2777845317698,3.2777845317698,3.2777845317698,3.2777845317698,3.2777845317698;23/06/2016
functionele fietsroute;;Zuienkerke;;;36,00000000000000000;primaire weg II;AWV - District Brugge;20141231;;N3710002;51.2525949798436,51.2525949798436,51.2525949798436,51.2525949798436,51.2525949798436,51.2525949798436,51.2525949798436,51.2525949798436;3.19068180222903,3.19068180222903,3.19068180222903,3.19068180222903,3.19068180222903,3.19068180222903,3.19068180222903,3.19068180222903;23/06/2016
functionele fietsroute;;Brugge;;;16,00000000000000000;secundaire weg type 1;Stad Brugge;20141231;;;51.250809553417,51.250809553417,51.250809553417,51.250809553417,51.250809553417,51.250809553417,51.250809553417;3.19205962912171,3.19205962912171,3.19205962912171,3.19205962912171,3.19205962912171,3.19205962912171,3.19205962912171;23/06/2016
functionele fietsroute;31005_Oostendse Steenweg_10376;Brugge;Oostendse Steenweg;Oostendse Steenweg;14,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;;N0090002;51.2231792549477,51.2231792549477;3.20282603662183,3.20282603662183;23/06/2016
hoofdroute: fietssnelweg;31012_Vaartdijk-Zuid_10545;Jabbeke;Vaartdijk-Zuid;Vaartdijk-Zuid;1459,00000000000000000;lokale weg type 1;Gemeente Jabbeke;20141231;;;51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685,51.2089564230685;3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693,3.12438918256693;23/06/2016
functionele fietsroute;31005_Bargeplein_10255;Brugge;Bargeplein;Bargeplein;75,00000000000000000;onbekend;AWV - District Brugge;20141231;R0300191;R0300192;51.1983816176603,51.1983816176603,51.1983816176603,51.1983816176603,51.1983816176603,51.1983816176603,51.1983816176603,51.1983816176603;3.22586144771755,3.22586144771755,3.22586144771755,3.22586144771755,3.22586144771755,3.22586144771755,3.22586144771755,3.22586144771755;23/06/2016
functionele fietsroute;;Brugge;Zandstraat;Zandstraat;84,00000000000000000;lokale weg type 1;Stad Brugge;20141231;;;51.2018384541266,51.2018384541266,51.2018384541266,51.2018384541266,51.2018384541266,51.2018384541266,51.2018384541266;3.18970537857695,3.18970537857695,3.18970537857695,3.18970537857695,3.18970537857695,3.18970537857695,3.18970537857695;23/06/2016
functionele fietsroute;31005_Blankenbergse Steenweg_10269;Brugge;Blankenbergse Steenweg;Blankenbergse Steenweg;273,00000000000000000;secundaire weg type 2;AWV - District Brugge;20141231;N3710001;;51.2479465840003,51.2479465840003,51.2479465840003,51.2479465840003,51.2479465840003,51.2479465840003;3.19371858592118,3.19371858592118,3.19371858592118,3.19371858592118,3.19371858592118,3.19371858592118;23/06/2016
functionele fietsroute;31005_Oostendse Steenweg_10368;Brugge;Oostendse Steenweg;Oostendse Steenweg;242,00000000000000000;primaire weg II;AWV - District Brugge;20141231;N0090001;N0090002;51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984,51.234371853984;3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854,3.18209607789854;23/06/2016
functionele fietsroute;31005_Maalse Steenweg_10362;Brugge;Maalse Steenweg;Maalse Steenweg;79,00000000000000000;secundaire weg type 1;AWV - District Brugge;20141231;N0090001;N0090002;51.2067132731284,51.2067132731284;3.29787321660301,3.29787321660301;23/06/2016
