Opnamenummer;Straatnaam;Huisnummer;Deelgemeente;Inplantingsplaats;Aantalfietsplaaten;AantalDuostaanders;AantalMonostaanders;Typeslotringduostaander;AantalVerwijderbarering;AantalAangelastering;Typebodembevestigingduostaander;aantalmetvloerplaat;aantalingebetonneerd;Kleurduostaander;Fotomeerderefotosmogelijk;Opnamedoor;Registratietoestel;Autofield1;OpnameTijdData;Nauwkeurigheid;Autofield2;Autofield3;Autofield4;Autofield5;longitude;latitude;hae;latWGS84;loWGS84;Aangemaakt op
229;Guido Gezelleplein;-999;Brugge;Plein;12;6;0;Verwijderbare ring (nieuw)|Aangelaste ring (oud);10;2;ingebetonneerd;0;6;Groen;images/insphere/aa8559b3-c972-475f-8842-b6041a9b363e,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-08T16:05:08,784;Autonomous;13556;GNSS;None;Autonomous;322396517;5120531;53816;51.2053100002492;3.22396516979437;22/06/2016
248;Oude Gentweg;-999;Brugge;Andere;4;2;0;Aangelaste ring (oud);0;4;ingebetonneerd;0;2;Groen;images/insphere/123fa09e-30b2-405c-a13b-add7a3b866c4,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-09T10:22:14,17;Autonomous;5713;GNSS;None;Autonomous;3233864;512029839;51411;51.2029838993284;3.23386399926383;22/06/2016
331;Sint-Michielslaan;59;Sint-Michiels;Andere;4;2;0;Aangelaste ring (oud);0;4;ingebetonneerd;0;2;Groen;images/insphere/d31a8bc2-026e-4e09-8ece-424b057701b7,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-16T11:27:45,7;Autonomous;12333;GNSS;None;Autonomous;321310282;511797523;50603;51.1797523000898;3.21310281937789;22/06/2016
410;Vredestraat;57;Sint-Kruis;Voetpad;2;1;0;Aangelaste ring (oud);0;2;ingebetonneerd;0;1;Andere;images/insphere/5a63af38-e22b-40fe-9683-a4c2f341628f,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-22T15:52:15,765;Autonomous;8838;GNSS;None;Autonomous;324833941;512084579;56541;51.208457900432;3.2483394097002;22/06/2016
46;Vlamingstraat;11;Brugge;Voetpad;4;2;0;Aangelaste ring (oud);0;4;ingebetonneerd;0;2;Groen;images/insphere/6a25fdff-90dd-43e1-93e7-b4423cbc3266,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-06T09:45:27,36;Autonomous;12822;GNSS;None;Autonomous;322460318;5120974;76026;51.209739999597;3.2246031796914;22/06/2016
378;Dudzeelse Steenweg;327;Sint-Pieters;Andere;6;3;0;Aangelaste ring (oud);0;6;ingebetonneerd;0;3;Zwart;images/insphere/e15a4987-9682-476c-b025-5d6f3f1deb94,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-20T10:58:21,138;Autonomous;500;GNSS;None;Autonomous;323100924;512459259;50019;51.2459259000821;3.231009240404;22/06/2016
362;Dries;2;Assebroek;Plein;42;21;0;Aangelaste ring (oud);0;42;ingebetonneerd;0;21;Andere;images/insphere/d3e2f63c-ff03-45ff-8f6c-0916f85c390b,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-17T10:54:10,893;Autonomous;5117;GNSS;None;Autonomous;324863076;511936378;5653;51.1936378000743;3.2486307596424;22/06/2016
510;Rederskaai;36;Zeebrugge;Plein;6;3;0;Aangelaste ring (oud);0;6;ingebetonneerd;0;3;Inox;images/insphere/cc4b31d4-d7b3-45f4-9797-635ab8b78b97,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-30T12:32:29,381;Autonomous;6253;GNSS;None;Autonomous;3205823;513346558;49967;51.3346558006537;3.20582300039269;22/06/2016
429;Moerkerkse Steenweg;118;Sint-Kruis;Voetpad;4;2;0;Aangelaste ring (oud);0;4;ingebetonneerd;0;2;Groen;images/insphere/ffb47d7b-3fb2-4759-9e2f-a6e0f2361114,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-23T11:11:29,745;Autonomous;636;GNSS;None;Autonomous;3246874;512135;51218;51.2135000004022;3.24687399930593;22/06/2016
77;Spaanse Loskaai;1;Brugge;Andere;4;2;0;Aangelaste ring (oud);0;4;ingebetonneerd;0;2;Groen;images/insphere/15fe0b4e-2799-417a-b04b-d1e766c19dd6,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-06T12:49:30,939;Autonomous;11614;GNSS;None;Autonomous;32256422;512132378;5641;51.2132378006039;3.22564219936982;22/06/2016
521;Londenstraat;1;Zeebrugge;Parkeerstrook;8;4;0;Verwijderbare ring (nieuw)|Aangelaste ring (oud);2;6;ingebetonneerd;0;4;Groen;images/insphere/93e26347-83e4-487c-822c-6af80a10c970,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-30T10:47:50,847;Autonomous;6422;GNSS;None;Autonomous;317643547;513279572;52755;51.3279571996796;3.17643546904811;22/06/2016
100;Braambergstraat;22;Brugge;Parkeerstrook;18;9;0;Verwijderbare ring (nieuw)|Aangelaste ring (oud);8;10;ingebetonneerd;0;9;Groen;images/insphere/a1875ab0-2a84-46f4-af5f-1b2d1e01502a,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-06T15:19:05,732;Autonomous;926;GNSS;None;Autonomous;3229854;5120608;54364;51.2060799998955;3.22985399942913;22/06/2016
407;Vredestraat;31;Sint-Kruis;Parkeerstrook;4;2;0;Aangelaste ring (oud);0;4;ingebetonneerd;0;2;Andere;images/insphere/aa3b04dd-30ae-4fdd-aaf2-75435357a89c,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-22T15:45:57,237;Autonomous;8204;GNSS;None;Autonomous;324851775;5120906;53553;51.2090600004859;3.24851775081169;22/06/2016
269;Smedenstraat;38;Brugge;Voetpad;20;10;0;Aangelaste ring (oud);0;20;ingebetonneerd;0;10;Groen;images/insphere/a52a2a92-cf1c-47db-8261-e31d837301ef,jpg|images/insphere/02201a21-f230-4fcf-a208-8ac20bc5e706,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-09T14:44:20,171;Autonomous;11706;GNSS;None;Autonomous;321505523;512054176;75607;51.2054175998373;3.21505523041437;22/06/2016
371;Leenweg;4;Koolkerke;Voetpad;6;3;0;Aangelaste ring (oud);0;6;ingebetonneerd;0;3;Groen;images/insphere/95d41be8-b4be-4d37-96c5-6e10998825a2,jpg;tom,boi@brugge,be;Juno 5;GNSS;2015-07-17T14:49:07,163;Autonomous;5049;GNSS;None;Autonomous;324123979;512305222;53922;51.2305222006808;3.24123979031183;22/06/2016
