Id;Type;Indeling;Materiaal;Kleur;Markering;Beheerder;Breedte;Rijrichtng;Lengte;Opp;latWGS84;loWGS84;Aangemaakt op
0;Aanliggend gelijkgronds;Tweerichting;Asfalt;Niet van toepassing;Ja;Gewest;170;Mee;11;0;51.1922254816357,51.1922254816357;3.27206841893203,3.27206841893203;19/10/2017
0;Vrijliggend;Tweerichting;Asfalt;Rood;Nee;Stad;280;;80;0;51.1993124198089,51.1993124198089;3.18708752550206,3.18708752550206;19/10/2017
0;Vrijliggend;Eenrichting;Betonstraatstenen;Rood;Nee;Gewest;135;Tegen;23;0;51.1878154705899,51.1878154705899;3.19244973675876,3.19244973675876;19/10/2017
0;Aanliggend gelijkgronds;Tweerichting;Asfalt;Rood;Ja;Gewest;290;Mee;9;0;51.2394148320825,51.2394148320825,51.2394148320825;3.23255076739361,3.23255076739361,3.23255076739361;19/10/2017
0;Vrijliggend;Eenrichting;Slemlaag;Rood;Ja;Gewest;140;Mee;31;0;51.1992520446165,51.1992520446165,51.1992520446165,51.1992520446165,51.1992520446165,51.1992520446165;3.19102527214367,3.19102527214367,3.19102527214367,3.19102527214367,3.19102527214367,3.19102527214367;19/10/2017
0;Vrijliggend;Eenrichting;Betonstraatstenen;Rood;Nee;Gewest;130;Mee;215;0;51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398,51.1855861518398;3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397,3.22304403058397;19/10/2017
0;Fietssuggestiestrook;Eenrichting;Slemlaag;Rood;Nee;Stad;100;;14;0;51.2020983752362,51.2020983752362;3.25527736806573,3.25527736806573;19/10/2017
0;Vrijliggend;Eenrichting;Asfalt;Niet van toepassing;Ja;Stad;130;Mee;11;0;51.1882482535494,51.1882482535494;3.17584937337638,3.17584937337638;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Stad;180;Mee;88;0;51.2011565344127,51.2011565344127,51.2011565344127,51.2011565344127;3.20995811210374,3.20995811210374,3.20995811210374,3.20995811210374;19/10/2017
0;Fietssuggestiestrook;Tweerichting;Slemlaag;Oker;Nee;Gewest;200;;25;0;51.3390167038266,51.3390167038266;3.22660550017321,3.22660550017321;19/10/2017
0;Vrijliggend;Eenrichting;Mozaïeken;Rood;Nee;Stad;120;Mee;45;0;51.2126706923773,51.2126706923773,51.2126706923773,51.2126706923773;3.21907820591755,3.21907820591755,3.21907820591755,3.21907820591755;19/10/2017
0;Fiets- en Wandelpad;Tweerichting;Asfalt;Rood;Nee;Stad;260;;148;0;51.2333437604002,51.2333437604002,51.2333437604002,51.2333437604002,51.2333437604002;3.2481134023029,3.2481134023029,3.2481134023029,3.2481134023029,3.2481134023029;19/10/2017
0;Vrijliggend;Tweerichting;Slemlaag;Rood;Nee;Gewest;290;;12;0;51.1713985078783,51.1713985078783;3.20446389706397,3.20446389706397;19/10/2017
0;Vrijliggend;Tweerichting;Slemlaag;Rood;Nee;Stad;365;Mee;68;0;51.1927765889355,51.1927765889355,51.1927765889355,51.1927765889355;3.23660724320659,3.23660724320659,3.23660724320659,3.23660724320659;19/10/2017
0;Vrijliggend;Eenrichting;Beton;Niet van toepassing;Ja;Stad;90;Mee;11;0;51.2042925796995,51.2042925796995,51.2042925796995,51.2042925796995;3.26995123342391,3.26995123342391,3.26995123342391,3.26995123342391;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Betonstraatstenen;Niet van toepassing;Ja;Gewest;150;Mee;14;0;51.1960045913344,51.1960045913344;3.2315970770859,3.2315970770859;19/10/2017
0;Aanliggend verhoogd;Tweerichting;Betonstraatstenen;Rood;Nee;Gewest;250;Mee;6;0;51.2102611917585,51.2102611917585;3.21192196871296,3.21192196871296;19/10/2017
0;Vrijliggend;Eenrichting;Asfalt;Niet van toepassing;Ja;Gewest;140;;234;0;51.2227442812084,51.2227442812084,51.2227442812084,51.2227442812084,51.2227442812084,51.2227442812084,51.2227442812084;3.23091573883252,3.23091573883252,3.23091573883252,3.23091573883252,3.23091573883252,3.23091573883252,3.23091573883252;19/10/2017
0;Fiets- en Wandelpad;Tweerichting;Betontegels;Niet van toepassing;Nee;Stad;210;;50;0;51.2176881923617,51.2176881923617,51.2176881923617;3.28357271522291,3.28357271522291,3.28357271522291;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Slemlaag;Rood;Ja;Stad;120;Mee;917;0;51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091,51.214006596091;3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908,3.26441787437908;19/10/2017
0;Vrijliggend;Tweerichting;Asfalt;Rood;Ja;Gewest;290;Mee;622;0;51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808,51.2324050047808;3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262,3.2296556247262;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Stad;220;Mee;164;0;51.203296550197,51.203296550197,51.203296550197,51.203296550197,51.203296550197;3.18894016852542,3.18894016852542,3.18894016852542,3.18894016852542,3.18894016852542;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Betonstraatstenen;Rood;Nee;Stad;130;Mee;55;0;51.1874966213396,51.1874966213396,51.1874966213396;3.21477268523032,3.21477268523032,3.21477268523032;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Betonstraatstenen;Rood;Nee;Gewest;170;Mee;359;0;51.3385040712293,51.3385040712293,51.3385040712293,51.3385040712293,51.3385040712293,51.3385040712293,51.3385040712293,51.3385040712293,51.3385040712293;3.22535635977543,3.22535635977543,3.22535635977543,3.22535635977543,3.22535635977543,3.22535635977543,3.22535635977543,3.22535635977543,3.22535635977543;19/10/2017
0;Vrijliggend;Tweerichting;Betonstraatstenen;Rood;Nee;Gewest;300;Mee;19;0;51.2224649632854,51.2224649632854;3.22394498387544,3.22394498387544;19/10/2017
0;Aanliggend verhoogd;Eenrichting;Betonstraatstenen;Rood;Nee;MBZ;170;Mee;34;0;51.2241788417793,51.2241788417793;3.22621717762549,3.22621717762549;19/10/2017
0;Jaagpad;Tweerichting;Asfalt;Niet van toepassing;Nee;Stad;400;Mee;1982;0;51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221,51.3119732441221;3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299,3.20144045791299;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Rood;Ja;Gewest;150;Mee;375;0;51.2182212004085,51.2182212004085,51.2182212004085,51.2182212004085,51.2182212004085,51.2182212004085,51.2182212004085,51.2182212004085;3.21999322876932,3.21999322876932,3.21999322876932,3.21999322876932,3.21999322876932,3.21999322876932,3.21999322876932,3.21999322876932;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Asfalt;Niet van toepassing;Ja;Stad;130;Mee;19;0;51.2309738055941,51.2309738055941,51.2309738055941;3.22808845353437,3.22808845353437,3.22808845353437;19/10/2017
0;Aanliggend gelijkgronds;Eenrichting;Slemlaag;Rood;Ja;Gewest;145;Mee;116;0;51.2769356875985,51.2769356875985,51.2769356875985,51.2769356875985,51.2769356875985,51.2769356875985;3.22933189934443,3.22933189934443,3.22933189934443,3.22933189934443,3.22933189934443,3.22933189934443;19/10/2017
