Operatie;Dossier_Jaar;Element_Type;Element_Jaar;Feit_Volgnummer;Feit_Type;Feitcodegroep_volgens_vertaalta;Feit;Avoc_Waarde__Zwaarste_;Avoc_Waarde__Som_;Avoc_Aantal_Objecten;Avoc_Aantal_Slachtoffers;Avoc_Aantal_Doden;Avoc_Aantal_Zwaar_gewonden;Avoc_Aantal_Licht_gewonden;Avoc_Aantal_Niet_gewonden;Datum_Laag;Uur_Laag;Datum_Hoog;Uur_Hoog;Datum;Jaar;Maand;Week;Dag;Weekend_volgens_Politie;Uur;Uur__Groep_;Dag_of_Nacht_volgens_Zon;Dag_of_Nacht_volgens_Politie__2;Straat;Huisnummer;Busnummer;Postcode;Gemeente;Land;Kruispunt_met_straat;KmHm_paal;Lokale_plaats;Poging__;Zware_Overtreding__;minderjarig__;Matching;Type_Locatie;Locatie;EL_DATUM_CREATIE;ObjectID;X;Y;latWGS84;loWGS84;Aangemaakt op
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;2;0;2;0;0;2;0;20150211;925;20150211;925;20150211;2015;february;7;wednesday;0;925;9;day;day;Hoogstraat;7;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150211;678;70284,92990562148;211631.89474160125;51.2091432376043;3.22801545841828;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;2;20130617;1930;20130617;1945;20130617;2013;june;25;monday;0;1945;19;day;day;Gentpoortstraat;6;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130619;122;70547,20464845038;211097.14194693483;51.2043733426879;3.23188517421962;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150226;1710;20150226;1710;20150226;2015;february;9;thursday;0;1710;17;day;day;Baron Ruzettelaan;287;-9;8310;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150226;689;70603,12861334390;209397.6741336724;51.1891071939919;3.23305694495219;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140728;1230;20140728;1230;20140728;2014;july;31;monday;0;1230;12;day;day;Odegemstraat;;-9;8310;BRUGGE;België;Kluppelmeers;-99,9;;-9;-9;;AnchorPoints;politiezone;;20140728;504;71239,00800828841;209187.13787079797;51.1873020232325;3.24219688170458;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20151207;700;20151208;1300;20151208;2015;december;50;tuesday;0;1300;13;day;day;Koolkerkse Steenweg;11;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;GrabAddressMatching;politiezone;;20151209;944;70702,02000000000;213169.1;51.2230160613457;3.23364712618456;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150630;1440;20150630;1440;20150630;2015;june;27;tuesday;0;1440;14;day;day;Markt;3;-9;8000;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150630;795;70058,92951557563;211595.59639157527;51.2087857773765;3.22478984812828;10/10/2016
PV;2013;VO;2013;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20130917;1820;20130917;1820;20130917;2013;september;38;tuesday;0;1820;18;day;day;Torhoutse Steenweg;221;-9;8200;BRUGGE;België;Jonkheer Paul Coppietersdreef;-99,9;;-9;-9;;AnchorPoints;politiezone;;20130917;205;68333,75599305735;210247.9641806583;51.1964328135345;3.20040965774461;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150707;1230;20150707;1230;20150707;2015;july;28;tuesday;0;1230;12;day;day;Veltemweg;;-9;8310;BRUGGE;België;Vossensteert;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150708;799;73039,85637539026;211376.2795099173;51.2072195290015;3.26748745601505;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20151023;1705;20151023;1705;20151023;2015;october;43;friday;0;1705;17;day;day;Gistelse Steenweg;535;-9;8200;BRUGGE;België;;-99,9;;-9;-9;;AnchorPoints;politiezone;;20151023;901;66670,11522876719;210267.3132908812;51.1963691648902;3.17660860265111;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140801;1230;20140801;1230;20140801;2014;august;31;friday;0;1230;12;day;day;Buiten de Smedenpoort;;-9;8000;BRUGGE;België;;0,9;;-9;-9;;MultiNetStreetMatching;politiezone;;20140805;510;69152,34973981767;211131.40862836968;51.2044877825829;3.21192207762311;10/10/2016
PV;2015;VO;2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150812;1812;20150812;1812;20150812;2015;august;33;wednesday;0;1812;18;day;day;Langerei;;-9;8000;BRUGGE;België;Genthof;-99,9;;-9;-9;;AnchorPoints;politiezone;;20150812;828;70341,97355576477;212085.52036817683;51.2132280063234;3.22873203862113;10/10/2016
PV;2014;VO;2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;3;20141016;730;20141016;730;20141016;2014;october;42;thursday;0;730;7;night;day;Moerkerkse Steenweg;;-9;8310;BRUGGE;België;Dampoortstraat;-99,9;;-9;-9;;AnchorPoints;politiezone;;20141016;589;71290,94139865038;212026.4132370271;51.2128268877849;3.24232391611045;10/10/2016
