Aard;Do_dossier;Do_dossier_2;El_element;El_element_2;El_element_3;El_element_4;Af_pv_numm;Fe_volgnum;Fe_type;Feitcodegr;Fe_aard;Avoc;Avoc_bet;Avoc_sum_o;Avoc_sum_c;Number_dea;Number_ser;Number_lig;Number_not;Fe_datum_v;Fe_uur_van;Fe_datum_t;Fe_uur_tot;Datum;Year;Month;Week_of_ye;Day_of_wee;Weekend;Hour;Hour_group;Day_night_;Day_night__2;Fe_straat;Fe_huisnum;Fe_busnumm;Fe_postcod;Fe_gemeent;Fe_land;Fe_kruispu;Fe_hm_paal;Fe_lokale_;Fe_poging;Fe_zware_o;Fe_minderj;Geocodetyp;Location;Location_v;El_datum_c;latWGS84;loWGS84;Aangemaakt op
PV;2014;35745;VO;2014;300770;Verzonden;BG.81.L1.300770/2014;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140407;1928;20140407;1928;20140407;2014;april;15;monday;0;1928;19;day;day;Joseph Wautersstraat;;;8200;BRUGGE;België;N31 Richting Zeebrugge;;;;;;AnchorPoints;politiezone;;20140407;51.1924439362698;3.19828266617026;20/11/2017
PV;2016;27955;VO;2016;300556;Verzonden;BG.81.L1.300556/2016;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;0;20160323;0746;20160323;0746;20160323;2016;march;12;wednesday;0;0746;07;day;day;Sint-Jakobsstraat;;;8000;BRUGGE;België;Palmstraat;;;;;;AnchorPoints;politiezone;;20160324;51.209888996268;3.22153777604413;20/11/2017
PV;2015;103707;VO;2015;302367;Verzonden;BG.91.L1.302367/2015;1;Verkeersongeval;stoffelijke schade;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20151114;1920;20151114;1920;20151114;2015;november;46;saturday;1;1920;19;night;day;Jan Breydellaan;;;8200;BRUGGE;België;Peter Benoitlaan;;;;;;MultiNetStreetMatching;politiezone;;20151114;51.2074572752138;3.20854346843165;20/11/2017
PV;2015;23413;VO;2015;300613;Verzonden;BG.81.L1.300613/2015;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;2;20150320;1730;20150320;1730;20150320;2015;march;12;friday;0;1730;17;day;day;Zuidzandstraat;11;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150320;51.2054453551287;3.21992400899207;20/11/2017
PV;2016;38246;VO;2016;300844;Verzonden;BG.81.L1.300844/2016;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20160428;0802;20160428;0802;20160428;2016;april;17;thursday;0;0802;08;day;day;Astridlaan;;;8310;BRUGGE;België;Vooruitgangstraat;;;;;;AnchorPoints;politiezone;;20160428;51.1949488000946;3.25730330887822;20/11/2017
PV;2016;45296;VO;2016;300992;Verzonden;BG.85.L1.300992/2016;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;2;20160522;1315;20160522;1315;20160522;2016;may;20;sunday;1;1315;13;day;day;Maalse Steenweg;;;8310;BRUGGE;België;Prins Albertstraat;;;;;;MultiNetCrossroadMatching;politiezone;;20160522;51.2109721528049;3.24247926040496;20/11/2017
PV;2016;53683;VO;2016;301207;Verzonden;BG.91.L1.301207/2016;1;Verkeersongeval;stoffelijke schade;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20160616;1830;20160616;1845;20160616;2016;june;24;thursday;0;1845;18;day;day;Jezuïetengoed;60;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20160617;51.2363852750747;3.2113477837621;20/11/2017
PV;2015;49653;VO;2015;301204;Verzonden;BG.81.L1.301204/2015;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150608;1652;20150608;1652;20150608;2015;june;24;monday;0;1652;16;day;day;Odegemstraat;;;8310;BRUGGE;België;Canadaring;;;;;;AnchorPoints;politiezone;;20150608;51.1902077394957;3.24356112505561;20/11/2017
PV;2014;57937;VO;2014;301298;Verzonden;BG.81.L1.301298/2014;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140613;1210;20140613;1210;20140613;2014;june;24;friday;0;1210;12;day;day;Dudzeelse Steenweg;;;8000;BRUGGE;België;Bommelbekestraat;;;;;;AnchorPoints;politiezone;;20140613;51.2323653470345;3.2296289059861;20/11/2017
PV;2014;72280;VO;2014;301663;Verzonden;BG.85.L1.301663/2014;1;Verkeersongeval;gewonden;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140728;1230;20140728;1230;20140728;2014;july;31;monday;0;1230;12;day;day;Odegemstraat;;;8310;BRUGGE;België;Kluppelmeers;;;;;;AnchorPoints;politiezone;;20140728;51.1873022390539;3.24219649313465;20/11/2017
