Laadpunt;Gemeente;Status;Bron;latWGS84;loWGS84;Aangemaakt op
Albert Serreynstraat 8;Sint-Andries;Bestaand;Stad  Brugge;51.188202507032976;3.174937543777737;21/09/2018
Rademakersstraat 11;Lissewege;Bestaand;Stad Brugge;51.31700240047098;3.1990826121549945;21/09/2018
Parking Katelijne;Parking Katelijne;Publieke Parking;Stad Brugge;51.202288872819075;3.2265436938666334;21/09/2018
Parking Alfa;Brugge;Publieke Parking;Stad Brugge;51.20872357166317;3.233705694785308;21/09/2018
Parking Centrum Station;Centrum Station;Publieke Parking;Stad Brugge;51.19648376975634;3.2205098985776264;21/09/2018
Dries 2;Assebroek;Toekomstig;Stad Brugge;51.19332037706953;3.257077748245737;21/09/2018
Lodewijk Coiseaukaai 1;Brugge;Bestaand;Stad Brugge;51.20855277470777;3.226771190357061;21/09/2018
Koning Albert-I Laan;Sint-Michiels;Toekomstig;Stad Brugge;51.18087951233557;3.20787594670761;21/09/2018
Parking Pandreitje;Parking Pandreitje;Publieke Parking;Stad Brugge;51.206894874609766;3.228493691815745;21/09/2018
Parking Zilverpand;Parking Zilverpand;Publieke Parking;Stad Brugge;51.2064679725735;3.220020689542119;21/09/2018
Koningin Astridpark 6;Brugge;Bestaand;Stad Brugge;51.20855277470777;3.226771190357061;21/09/2018
Pol Dhondtstraat 8;Lissewege;Bestaand;Stad Brugge;51.31700240047098;3.1990826121549945;21/09/2018
Moerkerkse Steenweg 144;Sint-Kruis;Bestaand;Stad Brugge;51.2183796381022;3.273450546219714;21/09/2018
Parking NMBS (kant Sint-Michiels);Sint-Michiels);Publieke Parking;Stad Brugge;51.18087951233557;3.20787594670761;21/09/2018
Gerard Davidstraat 19;Brugge;Bestaand;Stad Brugge;51.20855277470777;3.226771190357061;21/09/2018
Brusselstraat 8;Zeebrugge;Bestaand;Stad Brugge;51.33138220673029;3.207883314334041;21/09/2018
Boogschutterslaan 23;Sint-Kruis;Toekomstig;Stad Brugge;51.2183796381022;3.273450546219714;21/09/2018
Bargeweg 19;Brugge;Bestaand;Stad Brugge;51.20855277470777;3.226771190357061;21/09/2018
Parking Centrum 't Zand;Centrum 't Zand;Publieke Parking;Stad Brugge;51.204462471430396;3.217561689957571;21/09/2018
Parking Biekorf;Parking Biekorf;Publieke Parking;Stad Brugge;51.21013137418799;3.222412388159778;21/09/2018
Magdalenastraat 27;Sint-Andries;Bestaand;Stad Brugge;51.188202507032976;3.174937543777737;21/09/2018
Zandstraat 284;Sint-Andries;Toekomstig;Stad Brugge;51.188202507032976;3.174937543777737;21/09/2018
Stokerij 8;Dudzele;Bestaand;Stad Brugge;51.29083925137294;3.2374751856754576;21/09/2018
Marguerite Yourcenarstraat 8;Brugge;Bestaand;Stad Brugge;51.20855277470777;3.226771190357061;21/09/2018
