Id;Straat;School;Type;Aant_bord;Inplanting;Foto;Zone30;Datumplaat;Dgemeente;latWGS84;loWGS84;Aangemaakt op
22;Ploegstraat;Onze-Lieve-Vrouw Ter Duinen;Octopus;1;Beplanting;foto/ploegstraat.PNG;ja;20050816;Zeebrugge;51.3289821611392;3.2101826319444;15/09/2016
90;Boogschutterslaan;Instituut Mariawende-Blydhove;Octopus;1;Beplanting;foto/boogschutterslaan.PNG;ja;20050831;Sint-Kruis;51.2147162297404;3.24917706390033;15/09/2016
31;Gistelse Steenweg;Vrije Ges. Gem. Basisschool Sint-Lodewijkscollege;Octopus;2;Zebrapad, rijbaan;foto/gistelse steenweg 2.PNG;ja;20060401;Sint-Andries;51.1981959657693;3.18588183090342;15/09/2016
95;Karel van Manderstraat;Vrije Gesubs. Basisschool-Mozaïek;Octopus;2;Beplanting;foto/karel van manderstraat.PNG;ja;20050831;Sint-Kruis;51.2201778026544;3.24184920403451;15/09/2016
76;Sint-Kristoffelstraat;Onze-Lieve-Vrouwecollege Assebroek;Octopus;1;Voetpad;foto/sint-kristoffelstraat.PNG;ja;20050831;Assebroek;51.2029178885074;3.24989727382049;15/09/2016
69;Vijverhoflaan;Basisschool Sint-Andries-Vijverhof;Octopus;1;Voetpad;foto/vijverhoflaan.PNG;nee;20050824;Sint-Michiels;51.185607935054;3.21563071780436;15/09/2016
89;Ter Lo;Vrije Gesubs. Basisschool Mariawende-Zonnetuin;Octopus;1;Beplanting;foto/ter lo.PNG;ja;20050831;Sint-Kruis;51.2024811214151;3.27180345526993;15/09/2016
99;Polderstraat;Vrij Gesubs. B.L.O.-De Spycker;Octopus;2;Gras;foto/polderstraat.PNG;ja;20060401;Sint-Kruis;51.2200674647153;3.25430044169569;15/09/2016
93;Vijversdreef;Vrije Gesubs. Lagere School OLVA G Male;Octopus;1;Beplanting;foto/vijversdreef.PNG;ja;20050831;Sint-Kruis;51.212106962592;3.28038889383116;15/09/2016
63;Sint-Godelievelaan;Gemeentelijke Basisschool Afdeling B;Octopus;2;Beplanting;foto/sint-godelievelaan.PNG;nee;20060401;Sint-Michiels;51.179462075929;3.22154415577479;15/09/2016
25;Doornstraat;Vrije Gesubs. Basisschool-De Lisblomme;Octopus;1;Voetpad;foto/doornweg 2.PNG;ja;20050816;Zwankendamme;51.3095379295258;3.19843604919959;15/09/2016
71;Astridlaan;Guido Gezelleschool Steinerpedagogie;Octopus;2;Naast fietspad;foto/astridlaan.PNG;ja;20060401;Assebroek;51.1986476822642;3.25015826062047;15/09/2016
65;Spoorwegstraat;Bakkerij-, Slagerij- en Hotelschool Ter Groene Poorte;Octopus;1;Voetpad;foto/spoorwegstraat 2.PNG;nee;20060401;Sint-Michiels;51.1825257446725;3.22485419151654;15/09/2016
70;Vijverhoflaan;Basisschool Sint-Andries-Vijverhof;Octopus;1;Voetpad;foto/vijverhoflaan 2.PNG;nee;20050824;Sint-Michiels;51.1861875329958;3.21564775024068;15/09/2016
29;Doornstraat;Vrije Gesubs. Basisschool Sint-Lodewijkscollege;Octopus;1;Voetpad;foto/doornstraat.PNG;ja;20160708;Sint-Andries;51.1935544703024;3.19574473075453;15/09/2016
60;Ten Boomgaard;Gemeentelijke Basisschool Afdeling A;Octopus;2;Voetpad + beplanting;foto/ten boomgaard.PNG;nee;20050824;Sint-Michiels;51.187754625619;3.21330581104082;15/09/2016
45;Oorlogsvrijwilligerslaan;Basisschool Sint-Andries-Hermitage;Octopus;1;Voetpad;foto/oorlogsvrijwilligerslaan.PNG;ja;20060401;Sint-Andries;51.1848889863064;3.17829363484971;15/09/2016
47;Zandstraat;Vrije Gesubs. Basisschool Sint-Lodewijkscollege;Octopus;2;Voetpad;foto/zandstraat 2.PNG;ja;20050822;Sint-Andries;51.2027856820587;3.20133630707341;15/09/2016
41;Nieuwe St.-Annadreef;Bu.S.O.-De Varens;Octopus;1;Beplanting;foto/nieuwe sint-annadreef.PNG;ja;20050817;Sint-Andries;51.1897944844427;3.17358396299374;15/09/2016
54;Koningin Astridlaan;Vrije Gesubs. Basisschool B.O.-Ter Dreve;Octopus;1;Beplanting;foto/koning astridlaan.PNG;ja;20050831;Sint-Michiels;51.188635386549;3.20928416466135;15/09/2016
11;Karel Ledeganckstraat;Basisschool Brugge Kust-De Regenboog;Octopus;1;Voetpad;foto/Karel Ledeganckstraat.PNG;ja;20060401;Sint-Pieters;51.2264617128822;3.20823318768417;15/09/2016
48;Gistelse Steenweg;Vrije Ges. Gem. Basisschool Sint-Lodewijkscollege;Octopus;1;Voetpad;foto/gistelse steenweg.PNG;ja;20060401;Sint-Andries;51.2016951257931;3.20179891594037;15/09/2016
2;Gerard Davidstraat;Vrije Gesubs. Basisschool Sint-Lodewijkscollege - De wimpel;Octopus;1;voetpad;foto/Gerard Davidstraat 2.PNG;ja;20050811;Christus Koning;51.2163226150283;3.20642984233544;15/09/2016
