Periode;Wijk;Zone;Naam straat / segment;Parkeercapaciteit 2013;bewoner aantal augustus 2013;buitenlander aantal augustus 2013;andere aantal augustus 2013;totaal aantal augustus 2013 ;% bezetting augustus 2013;% bewoner augustus 2013;% buitenlander augustus 2013;% andere augustus 2013;opmerkingen augustus 2013;B: betalend ook bewoners BV: betalend uitgezonderd bewoners;Parkeercapaciteit 2009;bewoner aantal augustus 2009;buitenlander aantal augustus 2009;andere aantalaugustus 2009 ;totaal aantal augustus 2009 ;% bezetting augustus 2009;% bewoner augustus 2009;% buitenlander augustus 2009;% andere augustus 2009;opmerkingen augustus 2009 ;latWGS84;loWGS84;Aangemaakt op
aug/13;1;1;Artoisstraat;3;2;0;1;3;1;0,666666667;0;0,333333333;;;3;1;0;0;1;0.333333333333333;1;0;0;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Bollaardstraat - Korte Lane) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Groenestraat - R30) paar (oost);11;6;0;5;11;1;0,545454545;0;0,454545455;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Korte Lane - Speelmansrei) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Moerstraat - Oude Zak) paar (oost);29;14;0;13;27;0.931034482758621;0,518518519;0;0,481481481;inname OD voor private werken: verlies 4 pp;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Oude Zak - Groenestraat) paar (oost);14;4;0;1;5;0.357142857142857;0,8;0;0,2;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Pater Damiaanstraat - Bollaardstraat) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (R30 - Roompotstraat) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat (Roompotstraat - Pater Damiaanstraat) onpaar (west);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
aug/13;1;1;Beenhouwerstraat totaal;54;24;0;19;43;0.796296296296296;0,558139535;0;0,441860465;;;54;28;2;19;49;0.907407407407407;0,571428571;0,040816327;0,387755102;;;;8/07/2016
aug/13;1;1;Bollaardstraat;0;0;0;0;0;N;0;0;0;;;0;0;0;0;0;N;0;0;0;;;;8/07/2016
aug/13;1;1;Geerwijnstraat;0;1;0;0;1;N;1;0;0;;;0;0;0;0;0;N;0;0;0;;;;8/07/2016
aug/13;1;1;Gieterijstraat (R30 - Rozendal) onpaar (zuid);0;0;0;0;0;N;0;0;0;;;;;;;;;;;;;;;8/07/2016
