Id;Nr;Id_1;Wijk;Naam;Capaciteit;Ingenomen;Beschikbaar;Bewoner;Buitenlander;Andere;Bezet;Bezetgraad;AandBew;AandBuit;AandAnder;latWGS84;loWGS84;Aangemaakt op
0;103205;103205;1;Hoefijzerlaan (Schouwvegerstraat - R30) paar (oost);7;;7;4;0;2;2;0.85714285714286;0.66666666666667;0;0.33333333333333;51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511,51.208361301511;3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407,3.21554628345407;12/08/2016
0;702302;702302;7;Willemijnendreef paar (zuid);14;;14;5;0;7;7;0.85714285714286;0.41666666666667;0;0.58333333333333;51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119,51.2048365533119;3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078,3.23235588853078;12/08/2016
0;701605;701605;7;Predikherenstraat (Zwarteleertouwersstraat - Witteleertouwersstraat) paar (zuid);0;;0;0;0;0;0;0;0;0;0;51.2087964298265,51.2087964298265;3.23127982047449,3.23127982047449;12/08/2016
0;501703;501703;5;Kruisvest (H.Verriesstraat - S.Streuvelsstraat) kant water (oost);0;;0;0;0;0;0;0;0;0;0;51.2146562513501,51.2146562513501,51.2146562513501,51.2146562513501;3.23836244493709,3.23836244493709,3.23836244493709,3.23836244493709;12/08/2016
0;800904;800904;8;Groeninge paar (west) (Kastanjeboomstraat - Nieuwe Gentweg) paar (west);6;;6;3;0;1;1;0.66666666666667;0.75;0;0.25;51.204188337827,51.204188337827,51.204188337827,51.204188337827,51.204188337827,51.204188337827,51.204188337827,51.204188337827,51.204188337827,51.204188337827;3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577,3.22629890259577;12/08/2016
0;800803;800803;8;Gentpoortvest (B.Ravestraat - Oude Gentweg) kant huizen (noord);0;;0;0;0;0;0;0;0;0;0;51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122,51.2029384090122;3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656,3.23380957877656;12/08/2016
0;1204306;1204306;12;Verversdijk (Hoornstraat - Spinolarei) kant huizen (west);0;;0;0;0;0;0;0;0;0;0;51.212603262056,51.212603262056,51.212603262056,51.212603262056,51.212603262056,51.212603262056;3.22935489611887,3.22935489611887,3.22935489611887,3.22935489611887,3.22935489611887,3.22935489611887;12/08/2016
0;501707;501707;5;Kruisvest (S.Streuvelsstraat - Bapaumestraat) kant huizen (west);13;;13;1;0;4;4;0.38461538461538;0.2;0;0.8;51.2138324113622,51.2138324113622,51.2138324113622,51.2138324113622,51.2138324113622,51.2138324113622;3.23873665965937,3.23873665965937,3.23873665965937,3.23873665965937,3.23873665965937,3.23873665965937;12/08/2016
0;202811;202811;2;Vlamingstraat (Grauwwerksstraat - P.Pourbusstraat) onpaar (west);13;;13;5;1;6;6;0.92307692307692;0.41666666666667;0.083333333333333;0.5;51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411,51.2121335599411;3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695,3.22307853466695;12/08/2016
0;300905;300905;3;James Wealestraat west paar;10;;10;1;1;1;1;0.3;0.33333333333333;0.33333333333333;0.33333333333333;51.2181367098504,51.2181367098504;3.22346993387435,3.22346993387435;12/08/2016
0;800804;800804;8;Gentpoortvest (Katelijnestraat - Sentillenhof) kant water (zuid);0;;0;0;0;0;0;0;0;0;0;51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716;3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005;12/08/2016
0;400602;400602;4;Haarakkerstraat paar (zuid);23;;23;6;0;7;7;0.56521739130435;0.46153846153846;0;0.53846153846154;51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734,51.2196493226734;3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398,3.23179208987398;12/08/2016
0;702204;702204;7;Waalsestraat (Zwarteleertouwersstraat - Witteleertouwersstraat) onpaar (noord);0;;0;0;0;0;0;0;0;0;0;51.2085393502532,51.2085393502532;3.23166059688723,3.23166059688723;12/08/2016
0;801502;801502;8;Nieuwe Gentweg (Groeninge - Werkhuisstraat) onpaar (noord);0;;0;0;0;0;0;0;0;0;0;51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088,51.2035219527088;3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774,3.22713425341774;12/08/2016
0;502602;502602;5;Sint-Annarei;6;;6;3;0;2;2;0.83333333333333;0.6;0;0.4;51.2129670830165,51.2129670830165;3.22958955884838,3.22958955884838;12/08/2016
0;1002304;1002304;10;Smedenstraat (Kammakersstraat - Paalstraat) paar (noord);0;;0;0;0;0;0;0;0;0;0;51.2057137803465,51.2057137803465;3.21583123526569,3.21583123526569;12/08/2016
0;600812;600812;6;Kazernevest (Ganzenstraat - Bilkske) kant huizen (west);8;;8;4;0;2;2;0.75;0.66666666666667;0;0.33333333333333;51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451,51.2075942876451;3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005,3.23885266489005;12/08/2016
0;101403;101403;1;Moerstraat (Ontvangerstraat - Geerwijnstraat) onpaar (oost);5;3;2;2;0;0;0;1;1;0;0;51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223,51.2097081676223;3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823,3.21986149323823;12/08/2016
0;100206;100206;1;Beenhouwerstraat (Pater Damiaanstraat - Bollaardstraat) onpaar (west);0;;0;0;0;0;0;0;0;0;0;51.2093481280242,51.2093481280242,51.2093481280242,51.2093481280242,51.2093481280242;3.21668234686532,3.21668234686532,3.21668234686532,3.21668234686532,3.21668234686532;12/08/2016
0;1204501;1204501;12;Wapenmakersstraat Sint-Jansplein - Sint-Walburgastraat;0;;0;0;0;0;0;0;0;0;0;51.2100634651922,51.2100634651922,51.2100634651922;3.22651297913854,3.22651297913854,3.22651297913854;12/08/2016
0;1001502;1001502;10;Klokstraat (Maagdenstraat - Boeveriestraat) paar (noord);9;;9;1;0;0;0;0.11111111111111;1;0;0;51.2031915112311,51.2031915112311,51.2031915112311,51.2031915112311,51.2031915112311;3.21493800560843,3.21493800560843,3.21493800560843,3.21493800560843,3.21493800560843;12/08/2016
0;600507;600507;6;Ganzenstraat (Moerkerkestraat - Hoogstuk) paar (zuid);12;;12;9;0;0;0;0.75;1;0;0;51.2075820805367,51.2075820805367,51.2075820805367,51.2075820805367,51.2075820805367,51.2075820805367;3.23709114177549,3.23709114177549,3.23709114177549,3.23709114177549,3.23709114177549,3.23709114177549;12/08/2016
0;901002;901002;9;Katelijnevest paar (zuid);6;;6;1;0;0;0;0.16666666666667;1;0;0;51.1997754572538,51.1997754572538,51.1997754572538,51.1997754572538,51.1997754572538,51.1997754572538,51.1997754572538,51.1997754572538,51.1997754572538;3.22918478412936,3.22918478412936,3.22918478412936,3.22918478412936,3.22918478412936,3.22918478412936,3.22918478412936,3.22918478412936,3.22918478412936;12/08/2016
0;100706;100706;1;Gulden Vlieslaan (Pater Damiaanstraat - Roompotstraat) kant ring (oost);7;;7;4;0;4;4;1.1428571428571;0.5;0;0.5;51.2097884458617,51.2097884458617;3.21430073788933,3.21430073788933;12/08/2016
0;1203702;1203702;12;Sint-Maartensplein kant huizen (west);0;;0;0;0;0;0;0;0;0;0;51.2113730897968,51.2113730897968,51.2113730897968,51.2113730897968,51.2113730897968,51.2113730897968,51.2113730897968;3.22856760444573,3.22856760444573,3.22856760444573,3.22856760444573,3.22856760444573,3.22856760444573,3.22856760444573;12/08/2016
0;202603;202603;2;Sint-Jorisstraat (Sint-Clarastraat - Kapelstraat) paar (oost);19;;19;9;0;5;5;0.73684210526316;0.64285714285714;0;0.35714285714286;51.2152102860692,51.2152102860692,51.2152102860692,51.2152102860692,51.2152102860692;3.22128331139532,3.22128331139532,3.22128331139532,3.22128331139532,3.22128331139532;12/08/2016
0;303401;303401;3;Sint-Gilliskerkstraat paar (oost);0;;0;1;0;1;1;20;0.5;0;0.5;51.2145227101781,51.2145227101781,51.2145227101781;3.22699240435297,3.22699240435297,3.22699240435297;12/08/2016
