Nr;Id_1;Wijk;Zone;Naam_straa;Proc_bezet;Proc_bewon;Proc_buite;Proc__ande;latWGS84;loWGS84;Aangemaakt op
102201;102201;1;1;Pater Damiaanstraat paar (noord);100;88.888889;0;11.111111;51.2095565677329,51.2095565677329,51.2095565677329,51.2095565677329,51.2095565677329;3.21464594051002,3.21464594051002,3.21464594051002,3.21464594051002,3.21464594051002;07/07/2016
700204;700204;7;1;Boninvest (Gapaardstraat - Violierstraat) paar (west);33.333333;100;0;0;51.2056839520796,51.2056839520796,51.2056839520796,51.2056839520796,51.2056839520796,51.2056839520796;3.23552484840607,3.23552484840607,3.23552484840607,3.23552484840607,3.23552484840607,3.23552484840607;07/07/2016
700401;700401;7;1;Coupure (Predikherenstraat - Hooistraat) onpaar (oost);79.487179;35.483871;9.677419;54.83871;51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345,51.207191940345;3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766,3.23434997354766;07/07/2016
401616;401616;4;1;Potterierei (Haarakkerstraat - R30) kant water (west);100;20;0;80;51.221136547808,51.221136547808,51.221136547808,51.221136547808,51.221136547808,51.221136547808,51.221136547808;3.23449253463265,3.23449253463265,3.23449253463265,3.23449253463265,3.23449253463265,3.23449253463265,3.23449253463265;07/07/2016
800504;800504;8;1;Eekhoutstraat (Eekhoutpoort - Willemstraat) onpaar (zuid);0;0;0;0;51.2062542589425,51.2062542589425;3.22806728739163,3.22806728739163;07/07/2016
800302;800302;8;1;Drie Kroezenstraat paar (west);0;0;0;0;51.2033507691017,51.2033507691017,51.2033507691017,51.2033507691017,51.2033507691017,51.2033507691017,51.2033507691017,51.2033507691017,51.2033507691017;3.22704805187362,3.22704805187362,3.22704805187362,3.22704805187362,3.22704805187362,3.22704805187362,3.22704805187362,3.22704805187362,3.22704805187362;07/07/2016
800804;800804;8;1;Gentpoortvest (Katelijnestraat - Sentillenhof) kant water (zuid);0;0;0;0;51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716,51.1998943043716;3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005,3.22937186954005;07/07/2016
502101;502101;5;1;Peperstraat (Balstraat - S.Streuvelsstraat) onpaar (noord);0;0;0;0;51.2122951840656,51.2122951840656,51.2122951840656,51.2122951840656,51.2122951840656,51.2122951840656;3.23383291501379,3.23383291501379,3.23383291501379,3.23383291501379,3.23383291501379,3.23383291501379;07/07/2016
202505;202505;2;1;Sint-Jakobsstraat (Palmstraat - Moerstraat) onpaar (west);0;0;0;0;51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623,51.2108873779623;3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439,3.22088409416439;07/07/2016
303101;303101;3;1;Sint-Clarastraat (Baliestraat - J.Wealestraat) paar (oost);42.857143;100;0;0;51.2183941794098,51.2183941794098,51.2183941794098,51.2183941794098;3.22456892979438,3.22456892979438,3.22456892979438,3.22456892979438;07/07/2016
