Id;Id_1;Naam_straa;Parkeercap;Bewoner_aa;Buitenland;Andere_aan;Totaal_aan;Vrije_park;Proc_bezet;Proc_bewon;Proc_buite;Proc_ander;latWGS84;loWGS84;Aangemaakt op
0;6;Wijk 6: Gerechtshofwijk;553;245;17;149;411;142;0.743219;0.596107;0.041363;0.36253;51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824,51.2101978841824;3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524,3.2409842017524;07/07/2016
0;11;Wijk 11: Wijk Steenstraat;116;51;14;47;112;4;0.965517;0.455357;0.125;0.419643;51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257,51.2048192065257;3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754,3.22299986500754;07/07/2016
0;2;Wijk 2 Ezelstraat  - Vlamingdam;416;162;13;123;298;118;0.716346;0.543624;0.043624;0.412752;51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644,51.2098638845644;3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937,3.22482217011937;07/07/2016
0;10;Wijk 10: West-Brugge;587;155;13;103;271;316;0.46167;0.571956;0.04797;0.380074;51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576,51.1995820220576;3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978,3.21809677459978;07/07/2016
0;12;Wijk 12: Wijk Burg;254;114;31;67;212;42;0.834646;0.537736;0.146226;0.316038;51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092,51.2083111420092;3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716,3.22952246905716;07/07/2016
0;7;Wijk 7: Magdalenawijk;535;208;55;200;463;72;0.865421;0.449244;0.11879;0.431965;51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183,51.2040965993183;3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386,3.23646880091386;07/07/2016
0;4;Wijk 4: Seminariewijk;646;181;17;146;344;302;0.532508;0.526163;0.049419;0.424419;51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957,51.2209690670957;3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916,3.2290599474916;07/07/2016
0;9;Wijk 9: Begijnhofwijk;259;112;4;28;144;115;0.555985;0.777778;0.027778;0.194444;51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923,51.1995180386923;3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957,3.22908336043957;07/07/2016
0;5;wijk 5: Sint-Annawijk;561;246;9;122;377;184;0.672014;0.65252;0.023873;0.323607;51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773,51.2098240501773;3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196,3.2335617938196;07/07/2016
0;1;Wijk 1 Beenhouwersstraat;376;204;11;114;329;47;0.875;0.620061;0.033435;0.346505;51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534,51.2094758623534;3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279,3.21393887103279;07/07/2016
