Id;Id_tritel;Id_techn;Aanbod;Segment;Bezet;Waarvbuit;Beschikbr;Regime;Deelgem;latWGS84;loWGS84;Aangemaakt op
0;4116;411602;0;Legeweg (Vier Uitersten - Hogeweg) paar (noord);0;0;0;beurtelings;15;51.2048259800297,51.2048259800297,51.2048259800297;3.20305252961118,3.20305252961118,3.20305252961118;12/08/2016
0;0;400103;17;De Klokke-Noord onpaar (zuid);5;0;17;;15;51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298,51.1970565463298;3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456,3.2033609235456;12/08/2016
0;7040;704003;16;Oudekerkstraat (Veldstraat - Koning Albert I-laan) onpaar (zuid);17;0;16;;14;51.1906400214225,51.1906400214225,51.1906400214225,51.1906400214225,51.1906400214225,51.1906400214225;3.20926388129496,3.20926388129496,3.20926388129496,3.20926388129496,3.20926388129496,3.20926388129496;12/08/2016
0;1062;106201;18; Nijverheidsstraat ( Speelpleinlaan- Kerrebroeckstraat) paar (oost);8;0;18;;19;51.2053722125878,51.2053722125878,51.2053722125878,51.2053722125878;3.23927910379668,3.23927910379668,3.23927910379668,3.23927910379668;12/08/2016
0;4205;420501;44;Zandstraat paar (noord);30;0;44;;15;51.2029045686177,51.2029045686177,51.2029045686177,51.2029045686177;3.20081867149392,3.20081867149392,3.20081867149392,3.20081867149392;12/08/2016
0;7008;700802;23;Barrièrestraat (Emiel Vanderveldestraat - Abdijbekestraat) paar (noord);9;1;23;;14;51.1939483690319,51.1939483690319,51.1939483690319,51.1939483690319;3.20735399290042,3.20735399290042,3.20735399290042,3.20735399290042;12/08/2016
0;0;699302;15; Sint Godelieverdreef ( bocht- Van Manderstraat) onpaar ( zuid);0;0;15;;18;51.2217055521871,51.2217055521871;3.24128267200026,3.24128267200026;12/08/2016
0;1023;102304;12;Cesar Gezellestraat (Van Steenestraat - Evert van Het Padstraat) paar (zuid);9;0;12;;19;51.2004411653341,51.2004411653341,51.2004411653341,51.2004411653341;3.24011412050534,3.24011412050534,3.24011412050534,3.24011412050534;12/08/2016
0;0;699101;19;parkeerplein ( hoek Moerkerkse Steenweg - Delaplacestraat);17;0;19;blauwe zone;18;51.2138886249873,51.2138886249873,51.2138886249873;3.24830021216384,3.24830021216384,3.24830021216384;12/08/2016
0;3020;302001;12; Gouden Boomstraat ( Lauwerstraat- Karel de Stoutelaan) paar ( west);12;0;12;;16;51.2139107976906,51.2139107976906;3.21065800031945,3.21065800031945;12/08/2016
0;3038;303804;7;Kardinaal Mercierstraat ( Fochstraat- Werfplein ) paar (zuid);6;0;7;;16;51.2185906787088,51.2185906787088;3.21711287658083,3.21711287658083;12/08/2016
0;4172;4172;0;;0;0;0;;15;51.2096917450647,51.2096917450647;3.20856355330332,3.20856355330332;12/08/2016
0;3060;306003;11;Kolenkaai ( Gomberstraat- Diksmuidestraat) (noord);10;2;11;;16;51.2206599179439,51.2206599179439;3.21861374454978,3.21861374454978;12/08/2016
0;0;501104;0;R30 (Noorweegse Kaai - Koolkerkse Steenweg) onpaar (noord);0;0;0;;17;51.2225055257514,51.2225055257514,51.2225055257514,51.2225055257514,51.2225055257514;3.23356606195352,3.23356606195352,3.23356606195352,3.23356606195352,3.23356606195352;12/08/2016
0;4176;4176;0;;0;0;0;;15;51.2035031419288,51.2035031419288,51.2035031419288,51.2035031419288,51.2035031419288;3.20971353243718,3.20971353243718,3.20971353243718,3.20971353243718,3.20971353243718;12/08/2016
