SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;20/4/2012;A;11:15;11:30;71;;;08/07/2016
RUZ01;20/4/2012;A;11:30;11:45;188;;;08/07/2016
RUZ01;20/4/2012;A;11:45;12:0;163;;;08/07/2016
RUZ01;20/4/2012;A;12:0;12:15;215;;;08/07/2016
RUZ01;20/4/2012;A;12:15;12:30;174;;;08/07/2016
RUZ01;20/4/2012;A;12:30;12:45;186;;;08/07/2016
RUZ01;20/4/2012;A;12:45;13:0;158;;;08/07/2016
RUZ01;20/4/2012;A;13:0;13:15;158;;;08/07/2016
RUZ01;20/4/2012;A;13:15;13:30;160;;;08/07/2016
RUZ01;20/4/2012;A;13:30;13:45;203;;;08/07/2016
RUZ01;20/4/2012;A;13:45;14:0;194;;;08/07/2016
RUZ01;20/4/2012;A;14:0;14:15;201;;;08/07/2016
RUZ01;20/4/2012;A;14:15;14:30;173;;;08/07/2016
RUZ01;20/4/2012;A;14:30;14:45;182;;;08/07/2016
RUZ01;20/4/2012;A;14:45;15:0;203;;;08/07/2016
RUZ01;20/4/2012;A;15:0;15:15;168;;;08/07/2016
RUZ01;20/4/2012;A;15:15;15:30;207;;;08/07/2016
RUZ01;20/4/2012;A;15:30;15:45;197;;;08/07/2016
RUZ01;20/4/2012;A;15:45;16:0;191;;;08/07/2016
RUZ01;20/4/2012;A;16:0;16:15;214;;;08/07/2016
RUZ01;20/4/2012;A;16:15;16:30;218;;;08/07/2016
RUZ01;20/4/2012;A;16:30;16:45;211;;;08/07/2016
RUZ01;20/4/2012;A;16:45;17:0;197;;;08/07/2016
RUZ01;20/4/2012;A;17:0;17:15;204;;;08/07/2016
RUZ01;20/4/2012;A;17:15;17:30;201;;;08/07/2016
RUZ01;20/4/2012;A;17:30;17:45;201;;;08/07/2016
RUZ01;20/4/2012;A;17:45;18:0;208;;;08/07/2016
RUZ01;20/4/2012;A;18:0;18:15;180;;;08/07/2016
RUZ01;20/4/2012;A;18:15;18:30;199;;;08/07/2016
RUZ01;20/4/2012;A;18:30;18:45;183;;;08/07/2016
RUZ01;20/4/2012;A;18:45;19:0;156;;;08/07/2016
RUZ01;20/4/2012;A;19:0;19:15;182;;;08/07/2016
RUZ01;20/4/2012;A;19:15;19:30;192;;;08/07/2016
RUZ01;20/4/2012;A;19:30;19:45;167;;;08/07/2016
RUZ01;20/4/2012;A;19:45;20:0;169;;;08/07/2016
RUZ01;20/4/2012;A;20:0;20:15;132;;;08/07/2016
