SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
RUZ01;20/4/2012;A;11:0;12:0;422;;;08/07/2016
RUZ01;20/4/2012;A;12:0;13:0;733;;;08/07/2016
RUZ01;20/4/2012;A;13:0;14:0;715;;;08/07/2016
RUZ01;20/4/2012;A;14:0;15:0;759;;;08/07/2016
RUZ01;20/4/2012;A;15:0;16:0;763;;;08/07/2016
RUZ01;20/4/2012;A;16:0;17:0;840;;;08/07/2016
RUZ01;20/4/2012;A;17:0;18:0;814;;;08/07/2016
RUZ01;20/4/2012;A;18:0;19:0;718;;;08/07/2016
RUZ01;20/4/2012;A;19:0;20:0;710;;;08/07/2016
RUZ01;20/4/2012;A;20:0;21:0;418;;;08/07/2016
RUZ01;20/4/2012;A;21:0;22:0;290;;;08/07/2016
RUZ01;20/4/2012;A;22:0;23:0;228;;;08/07/2016
RUZ01;20/4/2012;A;23:0;0:0;206;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;12:0;13:0;1;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;13:0;14:0;1;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;14:0;15:0;1;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;15:0;16:0;1;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;19:0;20:0;1;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;20:0;21:0;7;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;21:0;22:0;1;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;22:0;23:0;4;;;08/07/2016
RUZ01;20/4/2012;Lic >60kmu;23:0;0:0;9;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;11:0;12:0;8;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;12:0;13:0;16;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;13:0;14:0;11;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;14:0;15:0;7;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;15:0;16:0;10;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;16:0;17:0;9;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;17:0;18:0;16;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;18:0;19:0;32;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;19:0;20:0;28;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;20:0;21:0;43;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;21:0;22:0;39;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;22:0;23:0;34;;;08/07/2016
RUZ01;20/4/2012;Lic 50-60;23:0;0:0;32;;;08/07/2016
RUZ01;20/4/2012;Lic 40-50;11:0;12:0;164;;;08/07/2016
RUZ01;20/4/2012;Lic 40-50;12:0;13:0;245;;;08/07/2016
RUZ01;20/4/2012;Lic 40-50;13:0;14:0;177;;;08/07/2016
