A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20150121;Licht;00-30;2;0;0;0;0;0;3;161;291;87;124;269;180;63;152;113;100;144;57;5;6;3;8;12;1758;1780;;;08/07/2016
20150121;Licht;30-50;44;13;1;2;5;41;180;334;283;407;391;256;283;533;455;533;493;476;369;348;173;87;218;83;5601;6008;;;08/07/2016
20150121;Licht;50-70;46;25;2;8;28;42;39;25;0;13;11;7;11;16;13;8;8;4;26;22;45;46;40;60;294;545;;;08/07/2016
20150121;Licht;70-90;3;1;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;3;18;;;08/07/2016
20150121;Licht;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;;;08/07/2016
20150121;Medium;00-30;0;0;0;0;0;0;1;15;14;7;6;24;22;1;6;9;2;5;2;0;1;0;0;2;115;117;;;08/07/2016
20150121;Medium;30-50;2;0;0;0;1;7;34;35;25;38;27;24;23;25;28;21;28;18;18;20;10;1;2;1;375;388;;;08/07/2016
20150121;Medium;50-70;0;0;0;0;1;4;4;2;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;10;16;;;08/07/2016
20150121;Medium;70-90;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;;;08/07/2016
20150121;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150121;Zwaar;00-30;0;0;0;0;0;0;0;1;5;1;0;2;0;0;1;3;4;2;0;0;0;0;0;0;19;19;;;08/07/2016
20150121;Zwaar;30-50;0;0;0;1;0;0;3;7;3;8;1;2;5;0;4;2;2;4;5;0;0;0;0;0;46;47;;;08/07/2016
20150121;Zwaar;50-70;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;08/07/2016
