A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20150121;Licht;00-30;2;0;0;1;0;2;0;46;207;36;47;243;177;18;106;107;131;167;73;19;9;1;1;1;1387;1394;;;08/07/2016
20150121;Licht;30-50;19;5;2;2;2;8;65;190;236;349;357;322;348;432;482;482;480;492;563;495;231;147;97;46;5671;5852;;;08/07/2016
20150121;Licht;50-70;21;9;8;1;3;10;23;27;4;15;8;4;15;36;13;17;8;4;20;39;62;38;54;29;333;468;;;08/07/2016
20150121;Licht;70-90;5;2;0;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;5;17;;;08/07/2016
20150121;Licht;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150121;Medium;00-30;0;0;0;0;0;0;1;6;21;2;5;18;7;5;8;7;8;12;2;1;2;0;0;0;105;105;;;08/07/2016
20150121;Medium;30-50;0;0;0;0;2;4;11;24;22;31;35;21;22;35;24;25;21;25;30;19;8;3;0;1;356;363;;;08/07/2016
20150121;Medium;50-70;0;0;0;2;3;1;1;1;1;0;0;0;0;1;0;0;0;0;0;2;1;1;3;2;8;19;;;08/07/2016
20150121;Medium;70-90;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20150121;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150121;Zwaar;00-30;0;0;0;0;0;0;0;2;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;8;8;;;08/07/2016
20150121;Zwaar;30-50;0;0;0;0;0;0;1;3;4;4;1;2;4;2;5;2;7;5;4;5;0;2;0;0;51;51;;;08/07/2016
20150121;Zwaar;50-70;0;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;5;;;08/07/2016
20150121;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150121;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150122;Licht;00-30;0;0;1;0;0;4;2;57;215;34;44;123;104;84;89;145;333;203;42;10;2;4;2;0;1491;1498;;;08/07/2016
20150122;Licht;30-50;16;9;4;6;5;11;53;180;227;340;362;315;327;291;411;369;279;460;525;357;236;157;137;44;4889;5121;;;08/07/2016
20150122;Licht;50-70;22;11;1;6;6;11;24;11;6;24;12;14;18;23;16;6;0;4;26;47;55;54;51;40;340;488;;;08/07/2016
20150122;Licht;70-90;3;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;3;16;;;08/07/2016
20150122;Licht;90-..;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20150122;Medium;00-30;0;0;0;0;0;1;0;2;26;5;3;7;5;2;7;7;27;13;4;0;0;0;0;0;108;109;;;08/07/2016
20150122;Medium;30-50;0;0;0;0;1;3;20;19;16;44;30;35;27;26;25;20;15;23;39;17;6;4;2;0;366;372;;;08/07/2016
20150122;Medium;50-70;0;0;2;1;2;3;4;1;0;3;0;2;0;2;0;0;0;0;1;2;1;0;0;0;16;24;;;08/07/2016
20150122;Medium;70-90;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;08/07/2016
20150122;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150122;Zwaar;00-30;0;0;0;0;0;0;0;0;4;1;0;0;1;0;1;2;6;0;0;0;0;0;0;0;15;15;;;08/07/2016
20150122;Zwaar;30-50;0;0;0;0;1;1;1;3;2;4;0;4;1;2;2;3;1;7;3;3;1;0;0;0;37;39;;;08/07/2016
20150122;Zwaar;50-70;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3;3;;;08/07/2016
20150122;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150122;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150123;Licht;00-30;0;0;0;1;0;3;1;44;181;49;55;191;137;105;68;346;285;139;43;13;2;0;3;1;1659;1667;;;08/07/2016
20150123;Licht;30-50;20;6;1;7;4;10;54;181;256;335;377;291;320;344;437;247;364;503;602;408;237;156;116;111;5112;5387;;;08/07/2016
20150123;Licht;50-70;20;10;7;6;9;12;26;18;5;19;6;16;16;15;8;5;2;4;18;47;54;54;48;53;313;478;;;08/07/2016
20150123;Licht;70-90;3;1;1;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;2;5;18;;;08/07/2016
20150123;Licht;90-..;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
