SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
MAA01;5/11/2012;A;11:15;11:30;134;;;08/07/2016
MAA01;5/11/2012;A;11:30;11:45;127;;;08/07/2016
MAA01;5/11/2012;A;11:45;12:0;123;;;08/07/2016
MAA01;5/11/2012;A;12:0;12:15;128;;;08/07/2016
MAA01;5/11/2012;A;12:15;12:30;116;;;08/07/2016
MAA01;5/11/2012;A;12:30;12:45;144;;;08/07/2016
MAA01;5/11/2012;A;12:45;13:0;138;;;08/07/2016
MAA01;5/11/2012;A;13:0;13:15;143;;;08/07/2016
MAA01;5/11/2012;A;13:15;13:30;196;;;08/07/2016
MAA01;5/11/2012;A;13:30;13:45;173;;;08/07/2016
MAA01;5/11/2012;A;13:45;14:0;169;;;08/07/2016
MAA01;5/11/2012;A;14:0;14:15;136;;;08/07/2016
MAA01;5/11/2012;A;14:15;14:30;133;;;08/07/2016
MAA01;5/11/2012;A;14:30;14:45;172;;;08/07/2016
MAA01;5/11/2012;A;14:45;15:0;158;;;08/07/2016
MAA01;5/11/2012;A;15:0;15:15;151;;;08/07/2016
MAA01;5/11/2012;A;15:15;15:30;201;;;08/07/2016
MAA01;5/11/2012;A;15:30;15:45;147;;;08/07/2016
MAA01;5/11/2012;A;15:45;16:0;176;;;08/07/2016
MAA01;5/11/2012;A;16:0;16:15;169;;;08/07/2016
MAA01;5/11/2012;A;16:15;16:30;159;;;08/07/2016
MAA01;5/11/2012;A;16:30;16:45;145;;;08/07/2016
MAA01;5/11/2012;A;16:45;17:0;161;;;08/07/2016
MAA01;5/11/2012;A;17:0;17:15;154;;;08/07/2016
MAA01;5/11/2012;A;17:15;17:30;176;;;08/07/2016
MAA01;5/11/2012;A;17:30;17:45;193;;;08/07/2016
MAA01;5/11/2012;A;17:45;18:0;162;;;08/07/2016
MAA01;5/11/2012;A;18:0;18:15;149;;;08/07/2016
MAA01;5/11/2012;A;18:15;18:30;144;;;08/07/2016
MAA01;5/11/2012;A;18:30;18:45;133;;;08/07/2016
MAA01;5/11/2012;A;18:45;19:0;149;;;08/07/2016
MAA01;5/11/2012;A;19:0;19:15;115;;;08/07/2016
MAA01;5/11/2012;A;19:15;19:30;91;;;08/07/2016
MAA01;5/11/2012;A;19:30;19:45;110;;;08/07/2016
MAA01;5/11/2012;A;19:45;20:0;73;;;08/07/2016
MAA01;5/11/2012;A;20:0;20:15;78;;;08/07/2016
MAA01;5/11/2012;A;20:15;20:30;58;;;08/07/2016
MAA01;5/11/2012;A;20:30;20:45;58;;;08/07/2016
MAA01;5/11/2012;A;20:45;21:0;35;;;08/07/2016
MAA01;5/11/2012;A;21:0;21:15;42;;;08/07/2016
MAA01;5/11/2012;A;21:15;21:30;48;;;08/07/2016
MAA01;5/11/2012;A;21:30;21:45;30;;;08/07/2016
MAA01;5/11/2012;A;21:45;22:0;29;;;08/07/2016
MAA01;5/11/2012;A;22:0;22:15;28;;;08/07/2016
MAA01;5/11/2012;A;22:15;22:30;18;;;08/07/2016
MAA01;5/11/2012;A;22:30;22:45;22;;;08/07/2016
MAA01;5/11/2012;A;22:45;23:0;20;;;08/07/2016
MAA01;5/11/2012;A;23:0;23:15;24;;;08/07/2016
MAA01;5/11/2012;A;23:15;23:30;14;;;08/07/2016
MAA01;5/11/2012;A;23:30;23:45;10;;;08/07/2016
MAA01;5/11/2012;A;23:45;0:0;12;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;11:15;11:30;17;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;11:30;11:45;11;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;11:45;12:0;17;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:0;12:15;15;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:15;12:30;21;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:30;12:45;13;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:45;13:0;26;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;13:0;13:15;23;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;13:15;13:30;17;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;13:30;13:45;22;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;13:45;14:0;20;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;14:0;14:15;9;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;14:15;14:30;15;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;14:30;14:45;10;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;14:45;15:0;9;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;15:0;15:15;11;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;15:15;15:30;21;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;15:30;15:45;17;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;15:45;16:0;26;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;16:0;16:15;17;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;16:15;16:30;17;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;16:30;16:45;11;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;16:45;17:0;20;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;17:0;17:15;13;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;17:15;17:30;15;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;17:30;17:45;21;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;17:45;18:0;22;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;18:0;18:15;19;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;18:15;18:30;25;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;18:30;18:45;20;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;18:45;19:0;24;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:0;19:15;19;;;08/07/2016
