SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
MAA02;5/11/2012;A;11:30;11:45;52;;;08/07/2016
MAA02;5/11/2012;A;11:45;12:0;39;;;08/07/2016
MAA02;5/11/2012;A;12:0;12:15;56;;;08/07/2016
MAA02;5/11/2012;A;12:15;12:30;47;;;08/07/2016
MAA02;5/11/2012;A;12:30;12:45;35;;;08/07/2016
MAA02;5/11/2012;A;12:45;13:0;35;;;08/07/2016
MAA02;5/11/2012;A;13:0;13:15;46;;;08/07/2016
MAA02;5/11/2012;A;13:15;13:30;33;;;08/07/2016
MAA02;5/11/2012;A;13:30;13:45;33;;;08/07/2016
MAA02;5/11/2012;A;13:45;14:0;41;;;08/07/2016
MAA02;5/11/2012;A;14:0;14:15;38;;;08/07/2016
MAA02;5/11/2012;A;14:15;14:30;36;;;08/07/2016
MAA02;5/11/2012;A;14:30;14:45;42;;;08/07/2016
MAA02;5/11/2012;A;14:45;15:0;50;;;08/07/2016
MAA02;5/11/2012;A;15:0;15:15;40;;;08/07/2016
MAA02;5/11/2012;A;15:15;15:30;42;;;08/07/2016
MAA02;5/11/2012;A;15:30;15:45;42;;;08/07/2016
MAA02;5/11/2012;A;15:45;16:0;54;;;08/07/2016
MAA02;5/11/2012;A;16:0;16:15;58;;;08/07/2016
MAA02;5/11/2012;A;16:15;16:30;64;;;08/07/2016
MAA02;5/11/2012;A;16:30;16:45;69;;;08/07/2016
MAA02;5/11/2012;A;16:45;17:0;51;;;08/07/2016
MAA02;5/11/2012;A;17:0;17:15;71;;;08/07/2016
MAA02;5/11/2012;A;17:15;17:30;73;;;08/07/2016
MAA02;5/11/2012;A;17:30;17:45;71;;;08/07/2016
MAA02;5/11/2012;A;17:45;18:0;66;;;08/07/2016
MAA02;5/11/2012;A;18:0;18:15;79;;;08/07/2016
MAA02;5/11/2012;A;18:15;18:30;84;;;08/07/2016
MAA02;5/11/2012;A;18:30;18:45;56;;;08/07/2016
MAA02;5/11/2012;A;18:45;19:0;53;;;08/07/2016
MAA02;5/11/2012;A;19:0;19:15;53;;;08/07/2016
MAA02;5/11/2012;A;19:15;19:30;53;;;08/07/2016
MAA02;5/11/2012;A;19:30;19:45;41;;;08/07/2016
MAA02;5/11/2012;A;19:45;20:0;33;;;08/07/2016
MAA02;5/11/2012;A;20:0;20:15;26;;;08/07/2016
MAA02;5/11/2012;A;20:15;20:30;39;;;08/07/2016
MAA02;5/11/2012;A;20:30;20:45;34;;;08/07/2016
MAA02;5/11/2012;A;20:45;21:0;28;;;08/07/2016
MAA02;5/11/2012;A;21:0;21:15;30;;;08/07/2016
MAA02;5/11/2012;A;21:15;21:30;24;;;08/07/2016
MAA02;5/11/2012;A;21:30;21:45;22;;;08/07/2016
MAA02;5/11/2012;A;21:45;22:0;23;;;08/07/2016
MAA02;5/11/2012;A;22:0;22:15;29;;;08/07/2016
MAA02;5/11/2012;A;22:15;22:30;27;;;08/07/2016
MAA02;5/11/2012;A;22:30;22:45;24;;;08/07/2016
MAA02;5/11/2012;A;22:45;23:0;16;;;08/07/2016
MAA02;5/11/2012;A;23:0;23:15;13;;;08/07/2016
MAA02;5/11/2012;A;23:15;23:30;8;;;08/07/2016
MAA02;5/11/2012;A;23:30;23:45;7;;;08/07/2016
MAA02;5/11/2012;A;23:45;0:0;5;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;12:0;12:15;1;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;19:30;19:45;1;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;20:30;20:45;1;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;21:0;21:15;2;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;22:0;22:15;1;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;22:15;22:30;1;;;08/07/2016
MAA02;5/11/2012;Lic >60kmu;23:45;0:0;1;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;11:30;11:45;1;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;11:45;12:0;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;12:0;12:15;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;12:15;12:30;7;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;12:30;12:45;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;12:45;13:0;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;13:0;13:15;4;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;13:30;13:45;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;13:45;14:0;1;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;14:0;14:15;1;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;14:15;14:30;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;14:30;14:45;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;15:0;15:15;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;15:15;15:30;3;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;15:30;15:45;4;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;15:45;16:0;2;;;08/07/2016
MAA02;5/11/2012;Lic 50-60;16:0;16:15;2;;;08/07/2016
