SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
MAA01;5/11/2012;A;11:30;11:45;47;;;08/07/2016
MAA01;5/11/2012;A;11:45;12:0;89;;;08/07/2016
MAA01;5/11/2012;A;12:0;12:15;69;;;08/07/2016
MAA01;5/11/2012;A;12:15;12:30;58;;;08/07/2016
MAA01;5/11/2012;A;12:30;12:45;77;;;08/07/2016
MAA01;5/11/2012;A;12:45;13:0;67;;;08/07/2016
MAA01;5/11/2012;A;13:0;13:15;85;;;08/07/2016
MAA01;5/11/2012;A;13:15;13:30;76;;;08/07/2016
MAA01;5/11/2012;A;13:30;13:45;72;;;08/07/2016
MAA01;5/11/2012;A;13:45;14:0;82;;;08/07/2016
MAA01;5/11/2012;A;14:0;14:15;70;;;08/07/2016
MAA01;5/11/2012;A;14:15;14:30;63;;;08/07/2016
MAA01;5/11/2012;A;14:30;14:45;70;;;08/07/2016
MAA01;5/11/2012;A;14:45;15:0;75;;;08/07/2016
MAA01;5/11/2012;A;15:0;15:15;62;;;08/07/2016
MAA01;5/11/2012;A;15:15;15:30;58;;;08/07/2016
MAA01;5/11/2012;A;15:30;15:45;75;;;08/07/2016
MAA01;5/11/2012;A;15:45;16:0;76;;;08/07/2016
MAA01;5/11/2012;A;16:0;16:15;66;;;08/07/2016
MAA01;5/11/2012;A;16:15;16:30;80;;;08/07/2016
MAA01;5/11/2012;A;16:30;16:45;75;;;08/07/2016
MAA01;5/11/2012;A;16:45;17:0;87;;;08/07/2016
MAA01;5/11/2012;A;17:0;17:15;82;;;08/07/2016
MAA01;5/11/2012;A;17:15;17:30;79;;;08/07/2016
MAA01;5/11/2012;A;17:30;17:45;75;;;08/07/2016
MAA01;5/11/2012;A;17:45;18:0;70;;;08/07/2016
MAA01;5/11/2012;A;18:0;18:15;83;;;08/07/2016
MAA01;5/11/2012;A;18:15;18:30;58;;;08/07/2016
MAA01;5/11/2012;A;18:30;18:45;64;;;08/07/2016
MAA01;5/11/2012;A;18:45;19:0;62;;;08/07/2016
MAA01;5/11/2012;A;19:0;19:15;55;;;08/07/2016
MAA01;5/11/2012;A;19:15;19:30;55;;;08/07/2016
MAA01;5/11/2012;A;19:30;19:45;50;;;08/07/2016
MAA01;5/11/2012;A;19:45;20:0;54;;;08/07/2016
MAA01;5/11/2012;A;20:0;20:15;56;;;08/07/2016
MAA01;5/11/2012;A;20:15;20:30;35;;;08/07/2016
MAA01;5/11/2012;A;20:30;20:45;29;;;08/07/2016
MAA01;5/11/2012;A;20:45;21:0;36;;;08/07/2016
MAA01;5/11/2012;A;21:0;21:15;23;;;08/07/2016
MAA01;5/11/2012;A;21:15;21:30;33;;;08/07/2016
MAA01;5/11/2012;A;21:30;21:45;27;;;08/07/2016
MAA01;5/11/2012;A;21:45;22:0;23;;;08/07/2016
MAA01;5/11/2012;A;22:0;22:15;13;;;08/07/2016
MAA01;5/11/2012;A;22:15;22:30;34;;;08/07/2016
MAA01;5/11/2012;A;22:30;22:45;15;;;08/07/2016
MAA01;5/11/2012;A;22:45;23:0;10;;;08/07/2016
MAA01;5/11/2012;A;23:0;23:15;14;;;08/07/2016
MAA01;5/11/2012;A;23:15;23:30;5;;;08/07/2016
MAA01;5/11/2012;A;23:30;23:45;9;;;08/07/2016
MAA01;5/11/2012;A;23:45;0:0;7;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;11:45;12:0;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:15;12:30;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:30;12:45;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;12:45;13:0;3;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;15:30;15:45;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;18:30;18:45;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;18:45;19:0;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:0;19:15;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:15;19:30;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:30;19:45;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;19:45;20:0;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:15;20:30;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:30;20:45;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;20:45;21:0;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:0;21:15;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:15;21:30;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;21:45;22:0;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:0;22:15;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:15;22:30;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:30;22:45;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;22:45;23:0;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;23:15;23:30;1;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;23:30;23:45;2;;;08/07/2016
MAA01;5/11/2012;Lic >60kmu;23:45;0:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;11:30;11:45;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;11:45;12:0;2;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:0;12:15;2;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:15;12:30;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:30;12:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;12:45;13:0;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:0;13:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:15;13:30;2;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;13:45;14:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;14:30;14:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;14:45;15:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:0;15:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:15;15:30;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:30;15:45;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;15:45;16:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;16:0;16:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:0;17:15;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:15;17:30;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:30;17:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;17:45;18:0;1;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:0;18:15;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:30;18:45;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;18:45;19:0;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:0;19:15;5;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:15;19:30;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:30;19:45;3;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;19:45;20:0;6;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:0;20:15;5;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:15;20:30;2;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:30;20:45;6;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;20:45;21:0;7;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;21:0;21:15;4;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;21:15;21:30;5;;;08/07/2016
MAA01;5/11/2012;Lic 50-60;21:30;21:45;2;;;08/07/2016
