A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20150207;Licht;00-30;0;0;0;0;0;1;0;0;3;2;21;21;15;6;21;20;65;29;7;10;1;3;4;0;224;229;;;08/07/2016
20150207;Licht;30-50;43;11;9;4;4;3;13;34;109;173;348;479;412;354;459;488;540;567;366;231;104;80;99;69;4757;4999;;;08/07/2016
20150207;Licht;50-70;72;32;23;9;10;9;23;31;78;120;92;98;109;107;95;71;48;103;128;103;72;67;81;67;1345;1648;;;08/07/2016
20150207;Licht;70-90;1;4;4;1;1;0;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;2;1;2;9;23;;;08/07/2016
20150207;Licht;90-..;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;08/07/2016
20150207;Medium;00-30;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;0;1;3;0;0;0;0;0;0;8;8;;;08/07/2016
20150207;Medium;30-50;0;0;1;0;1;1;0;4;5;4;9;5;13;7;3;5;7;3;5;4;4;1;0;2;79;84;;;08/07/2016
20150207;Medium;50-70;0;1;1;1;0;1;0;3;4;2;1;6;2;3;1;0;1;2;2;0;0;0;1;0;27;32;;;08/07/2016
20150207;Medium;70-90;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;08/07/2016
20150207;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150207;Zwaar;00-30;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;;;08/07/2016
20150207;Zwaar;30-50;0;0;0;0;0;1;1;1;2;2;2;6;2;0;3;0;2;0;3;0;2;0;0;1;26;28;;;08/07/2016
20150207;Zwaar;50-70;0;0;0;0;1;0;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;9;;;08/07/2016
20150207;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
