A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20150207;Licht;00-30;0;0;0;3;0;1;1;2;11;22;54;64;77;58;98;101;53;61;36;14;4;2;0;1;658;663;;;08/07/2016
20150207;Licht;30-50;3;5;2;1;0;2;6;7;79;203;419;401;242;323;465;375;375;299;131;61;21;23;14;21;3430;3478;;;08/07/2016
20150207;Licht;50-70;52;14;17;10;6;22;40;89;219;316;180;195;223;215;150;145;155;172;242;234;124;82;84;95;2781;3081;;;08/07/2016
20150207;Licht;70-90;13;6;9;2;6;6;14;5;5;1;2;1;1;2;1;0;0;2;7;6;10;5;5;11;62;120;;;08/07/2016
20150207;Licht;90-..;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;6;;;08/07/2016
20150207;Medium;00-30;0;0;0;0;0;0;1;1;0;1;5;2;3;2;4;1;5;1;3;1;0;1;0;1;31;32;;;08/07/2016
20150207;Medium;30-50;0;0;0;0;0;1;1;3;5;3;15;10;5;6;9;9;8;9;6;3;0;0;1;1;92;95;;;08/07/2016
20150207;Medium;50-70;1;0;0;2;2;1;9;11;10;11;7;2;10;6;4;3;1;2;5;4;2;0;1;2;87;96;;;08/07/2016
20150207;Medium;70-90;0;0;2;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;;;08/07/2016
20150207;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20150207;Zwaar;00-30;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;2;1;0;0;0;0;0;7;7;;;08/07/2016
20150207;Zwaar;30-50;0;0;0;0;0;0;2;3;2;4;3;2;0;3;2;1;1;0;1;1;0;1;0;0;26;26;;;08/07/2016
20150207;Zwaar;50-70;1;0;0;1;0;0;2;3;0;0;1;0;1;0;1;0;0;2;1;0;0;0;0;1;11;14;;;08/07/2016
