A;B;C;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;24:00;T16;T24;latWGS84;loWGS84;Aangemaakt op
20140909;Licht;00-30;0;0;0;0;0;0;0;3;18;22;15;15;7;5;11;12;21;31;13;9;3;1;0;0;186;186;;;08/07/2016
20140909;Licht;30-50;4;1;4;4;2;3;28;141;273;187;223;259;198;182;201;299;420;549;267;124;67;61;37;16;3479;3550;;;08/07/2016
20140909;Licht;50-70;16;9;2;2;9;16;43;93;71;53;61;58;104;101;94;75;103;94;150;155;76;59;49;20;1390;1513;;;08/07/2016
20140909;Licht;70-90;2;0;0;2;6;4;4;5;2;0;0;1;1;3;0;0;3;0;1;2;7;6;1;3;35;53;;;08/07/2016
20140909;Licht;90-..;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140909;Medium;00-30;0;0;0;0;0;0;2;2;4;7;2;1;1;1;1;1;4;1;0;0;0;1;0;0;28;28;;;08/07/2016
20140909;Medium;30-50;0;0;0;0;0;1;2;4;20;10;15;11;13;7;13;14;25;25;15;4;1;2;3;0;181;185;;;08/07/2016
20140909;Medium;50-70;0;0;1;1;1;0;3;3;4;2;4;0;2;4;8;3;2;4;2;5;3;0;1;0;49;53;;;08/07/2016
20140909;Medium;70-90;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140909;Medium;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140909;Zwaar;00-30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;;;08/07/2016
20140909;Zwaar;30-50;0;0;0;1;0;0;0;1;1;0;2;3;0;4;0;4;3;7;0;1;1;0;0;0;27;28;;;08/07/2016
20140909;Zwaar;50-70;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;6;6;;;08/07/2016
20140909;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140909;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140910;Licht;00-30;0;0;0;0;1;1;2;10;13;9;18;17;15;12;0;3;25;15;10;8;4;0;0;0;161;163;;;08/07/2016
20140910;Licht;30-50;5;3;0;0;5;7;31;168;251;172;214;273;360;130;0;89;384;439;269;117;92;68;40;14;3057;3131;;;08/07/2016
20140910;Licht;50-70;12;4;4;4;9;15;36;82;69;49;38;77;117;66;0;19;88;100;173;105;66;51;50;29;1136;1263;;;08/07/2016
20140910;Licht;70-90;2;3;0;0;2;2;5;1;1;1;0;0;1;1;0;0;1;1;4;1;4;1;2;1;22;34;;;08/07/2016
20140910;Licht;90-..;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;08/07/2016
20140910;Medium;00-30;0;0;0;0;0;0;1;1;0;2;5;1;0;0;0;0;1;1;0;1;0;0;0;0;13;13;;;08/07/2016
20140910;Medium;30-50;0;0;0;0;0;1;4;9;16;13;10;14;10;8;0;4;14;18;7;4;3;4;2;0;138;141;;;08/07/2016
20140910;Medium;50-70;0;0;0;1;1;2;2;1;2;3;2;1;6;2;0;1;3;4;0;3;1;1;1;0;32;37;;;08/07/2016
20140910;Medium;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140910;Medium;90-..;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;08/07/2016
20140910;Zwaar;00-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;;;08/07/2016
20140910;Zwaar;30-50;0;0;0;0;0;0;2;3;2;4;2;1;4;1;0;1;6;1;0;0;1;0;0;0;28;28;;;08/07/2016
20140910;Zwaar;50-70;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;4;4;;;08/07/2016
20140910;Zwaar;70-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140910;Zwaar;90-..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;08/07/2016
20140911;Licht;00-30;0;0;0;0;1;2;1;3;11;11;18;11;10;9;10;11;76;16;23;6;1;2;1;1;219;224;;;08/07/2016
20140911;Licht;30-50;1;1;0;0;5;3;35;160;286;172;207;207;260;193;226;236;459;499;291;122;124;87;54;16;3564;3644;;;08/07/2016
20140911;Licht;50-70;14;3;7;5;12;21;49;85;61;44;37;75;98;83;71;108;70;103;141;118;69;62;56;37;1274;1429;;;08/07/2016
20140911;Licht;70-90;8;0;2;0;2;0;2;0;0;0;0;0;1;1;1;0;1;0;0;4;3;1;1;4;14;31;;;08/07/2016
20140911;Licht;90-..;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;3;;;08/07/2016
