SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
VES01;20/4/2012;A;10:45;11:0;8;;;08/07/2016
VES01;20/4/2012;A;11:0;11:15;5;;;08/07/2016
VES01;20/4/2012;A;11:15;11:30;15;;;08/07/2016
VES01;20/4/2012;A;11:30;11:45;31;;;08/07/2016
VES01;20/4/2012;A;11:45;12:0;40;;;08/07/2016
VES01;20/4/2012;A;12:0;12:15;36;;;08/07/2016
VES01;20/4/2012;A;12:15;12:30;39;;;08/07/2016
VES01;20/4/2012;A;12:30;12:45;39;;;08/07/2016
VES01;20/4/2012;A;12:45;13:0;44;;;08/07/2016
VES01;20/4/2012;A;13:0;13:15;29;;;08/07/2016
VES01;20/4/2012;A;13:15;13:30;33;;;08/07/2016
VES01;20/4/2012;A;13:30;13:45;46;;;08/07/2016
VES01;20/4/2012;A;13:45;14:0;46;;;08/07/2016
VES01;20/4/2012;A;14:0;14:15;32;;;08/07/2016
VES01;20/4/2012;A;14:15;14:30;41;;;08/07/2016
VES01;20/4/2012;A;14:30;14:45;38;;;08/07/2016
VES01;20/4/2012;A;14:45;15:0;41;;;08/07/2016
VES01;20/4/2012;A;15:0;15:15;41;;;08/07/2016
VES01;20/4/2012;A;15:15;15:30;38;;;08/07/2016
VES01;20/4/2012;A;15:30;15:45;50;;;08/07/2016
VES01;20/4/2012;A;15:45;16:0;49;;;08/07/2016
VES01;20/4/2012;A;16:0;16:15;45;;;08/07/2016
VES01;20/4/2012;A;16:15;16:30;44;;;08/07/2016
VES01;20/4/2012;A;16:30;16:45;54;;;08/07/2016
VES01;20/4/2012;A;16:45;17:0;43;;;08/07/2016
VES01;20/4/2012;A;17:0;17:15;35;;;08/07/2016
VES01;20/4/2012;A;17:15;17:30;36;;;08/07/2016
VES01;20/4/2012;A;17:30;17:45;43;;;08/07/2016
VES01;20/4/2012;A;17:45;18:0;47;;;08/07/2016
VES01;20/4/2012;A;18:0;18:15;38;;;08/07/2016
VES01;20/4/2012;A;18:15;18:30;36;;;08/07/2016
VES01;20/4/2012;A;18:30;18:45;51;;;08/07/2016
VES01;20/4/2012;A;18:45;19:0;33;;;08/07/2016
VES01;20/4/2012;A;19:0;19:15;32;;;08/07/2016
VES01;20/4/2012;A;19:15;19:30;32;;;08/07/2016
VES01;20/4/2012;A;19:30;19:45;35;;;08/07/2016
VES01;20/4/2012;A;19:45;20:0;37;;;08/07/2016
VES01;20/4/2012;A;20:0;20:15;25;;;08/07/2016
VES01;20/4/2012;A;20:15;20:30;13;;;08/07/2016
VES01;20/4/2012;A;20:30;20:45;26;;;08/07/2016
VES01;20/4/2012;A;20:45;21:0;16;;;08/07/2016
VES01;20/4/2012;A;21:0;21:15;13;;;08/07/2016
VES01;20/4/2012;A;21:15;21:30;8;;;08/07/2016
VES01;20/4/2012;A;21:30;21:45;20;;;08/07/2016
VES01;20/4/2012;A;21:45;22:0;15;;;08/07/2016
VES01;20/4/2012;A;22:0;22:15;16;;;08/07/2016
VES01;20/4/2012;A;22:15;22:30;19;;;08/07/2016
VES01;20/4/2012;A;22:30;22:45;10;;;08/07/2016
VES01;20/4/2012;A;22:45;23:0;8;;;08/07/2016
VES01;20/4/2012;A;23:0;23:15;8;;;08/07/2016
VES01;20/4/2012;A;23:15;23:30;5;;;08/07/2016
VES01;20/4/2012;A;23:30;23:45;3;;;08/07/2016
VES01;20/4/2012;A;23:45;0:0;6;;;08/07/2016
VES01;20/4/2012;Lic 50-60;20:30;20:45;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;11:15;11:30;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;11:30;11:45;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;11:45;12:0;3;;;08/07/2016
VES01;20/4/2012;Lic 40-50;12:0;12:15;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;12:15;12:30;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;12:45;13:0;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;13:0;13:15;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;13:15;13:30;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;13:30;13:45;4;;;08/07/2016
VES01;20/4/2012;Lic 40-50;14:15;14:30;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;14:45;15:0;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;16:0;16:15;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;16:15;16:30;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;16:45;17:0;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;17:0;17:15;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;17:45;18:0;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;18:15;18:30;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;18:30;18:45;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;18:45;19:0;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;19:15;19:30;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;19:30;19:45;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;19:45;20:0;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;20:15;20:30;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;20:30;20:45;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;21:30;21:45;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;21:45;22:0;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;22:0;22:15;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;22:15;22:30;1;;;08/07/2016
VES01;20/4/2012;Lic 40-50;22:45;23:0;2;;;08/07/2016
VES01;20/4/2012;Lic 30-40;11:0;11:15;1;;;08/07/2016
VES01;20/4/2012;Lic 30-40;11:15;11:30;4;;;08/07/2016
VES01;20/4/2012;Lic 30-40;11:30;11:45;10;;;08/07/2016
VES01;20/4/2012;Lic 30-40;11:45;12:0;18;;;08/07/2016
VES01;20/4/2012;Lic 30-40;12:0;12:15;21;;;08/07/2016
VES01;20/4/2012;Lic 30-40;12:15;12:30;17;;;08/07/2016
VES01;20/4/2012;Lic 30-40;12:30;12:45;16;;;08/07/2016
VES01;20/4/2012;Lic 30-40;12:45;13:0;19;;;08/07/2016
VES01;20/4/2012;Lic 30-40;13:0;13:15;18;;;08/07/2016
VES01;20/4/2012;Lic 30-40;13:15;13:30;17;;;08/07/2016
VES01;20/4/2012;Lic 30-40;13:30;13:45;16;;;08/07/2016
VES01;20/4/2012;Lic 30-40;13:45;14:0;20;;;08/07/2016
