SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
VES01;20/4/2012;A;10:0;11:0;8;;;08/07/2016
VES01;20/4/2012;A;11:0;12:0;91;;;08/07/2016
VES01;20/4/2012;A;12:0;13:0;158;;;08/07/2016
VES01;20/4/2012;A;13:0;14:0;154;;;08/07/2016
VES01;20/4/2012;A;14:0;15:0;152;;;08/07/2016
VES01;20/4/2012;A;15:0;16:0;178;;;08/07/2016
VES01;20/4/2012;A;16:0;17:0;186;;;08/07/2016
VES01;20/4/2012;A;17:0;18:0;161;;;08/07/2016
VES01;20/4/2012;A;18:0;19:0;158;;;08/07/2016
VES01;20/4/2012;A;19:0;20:0;136;;;08/07/2016
VES01;20/4/2012;A;20:0;21:0;80;;;08/07/2016
VES01;20/4/2012;A;21:0;22:0;56;;;08/07/2016
VES01;20/4/2012;A;22:0;23:0;53;;;08/07/2016
VES01;20/4/2012;A;23:0;0:0;22;;;08/07/2016
VES01;20/4/2012;Lic 50-60;20:0;21:0;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;11:0;12:0;7;;;08/07/2016
VES01;20/4/2012;Lic 40-50;12:0;13:0;3;;;08/07/2016
VES01;20/4/2012;Lic 40-50;13:0;14:0;8;;;08/07/2016
VES01;20/4/2012;Lic 40-50;14:0;15:0;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;16:0;17:0;4;;;08/07/2016
VES01;20/4/2012;Lic 40-50;17:0;18:0;4;;;08/07/2016
VES01;20/4/2012;Lic 40-50;18:0;19:0;5;;;08/07/2016
VES01;20/4/2012;Lic 40-50;19:0;20:0;4;;;08/07/2016
VES01;20/4/2012;Lic 40-50;20:0;21:0;2;;;08/07/2016
VES01;20/4/2012;Lic 40-50;21:0;22:0;3;;;08/07/2016
VES01;20/4/2012;Lic 40-50;22:0;23:0;4;;;08/07/2016
VES01;20/4/2012;Lic 30-40;11:0;12:0;33;;;08/07/2016
VES01;20/4/2012;Lic 30-40;12:0;13:0;73;;;08/07/2016
VES01;20/4/2012;Lic 30-40;13:0;14:0;71;;;08/07/2016
VES01;20/4/2012;Lic 30-40;14:0;15:0;51;;;08/07/2016
VES01;20/4/2012;Lic 30-40;15:0;16:0;67;;;08/07/2016
VES01;20/4/2012;Lic 30-40;16:0;17:0;62;;;08/07/2016
