SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
VES02;20/4/2012;A;10:45;11:0;3;;;08/07/2016
VES02;20/4/2012;A;11:0;11:15;27;;;08/07/2016
VES02;20/4/2012;A;11:15;11:30;26;;;08/07/2016
VES02;20/4/2012;A;11:30;11:45;9;;;08/07/2016
VES02;20/4/2012;A;11:45;12:0;7;;;08/07/2016
VES02;20/4/2012;A;12:0;12:15;9;;;08/07/2016
VES02;20/4/2012;A;12:15;12:30;12;;;08/07/2016
VES02;20/4/2012;A;12:30;12:45;2;;;08/07/2016
VES02;20/4/2012;A;12:45;13:0;10;;;08/07/2016
VES02;20/4/2012;A;13:0;13:15;6;;;08/07/2016
VES02;20/4/2012;A;13:15;13:30;4;;;08/07/2016
VES02;20/4/2012;A;13:30;13:45;3;;;08/07/2016
VES02;20/4/2012;A;13:45;14:0;7;;;08/07/2016
VES02;20/4/2012;A;14:0;14:15;3;;;08/07/2016
VES02;20/4/2012;A;14:15;14:30;6;;;08/07/2016
VES02;20/4/2012;A;14:30;14:45;4;;;08/07/2016
VES02;20/4/2012;A;14:45;15:0;6;;;08/07/2016
VES02;20/4/2012;A;15:0;15:15;7;;;08/07/2016
VES02;20/4/2012;A;15:15;15:30;11;;;08/07/2016
VES02;20/4/2012;A;15:30;15:45;11;;;08/07/2016
VES02;20/4/2012;A;15:45;16:0;9;;;08/07/2016
VES02;20/4/2012;A;16:0;16:15;3;;;08/07/2016
VES02;20/4/2012;A;16:15;16:30;7;;;08/07/2016
VES02;20/4/2012;A;16:30;16:45;10;;;08/07/2016
VES02;20/4/2012;A;16:45;17:0;13;;;08/07/2016
VES02;20/4/2012;A;17:0;17:15;8;;;08/07/2016
VES02;20/4/2012;A;17:15;17:30;11;;;08/07/2016
VES02;20/4/2012;A;17:30;17:45;12;;;08/07/2016
VES02;20/4/2012;A;17:45;18:0;12;;;08/07/2016
VES02;20/4/2012;A;18:0;18:15;7;;;08/07/2016
VES02;20/4/2012;A;18:15;18:30;6;;;08/07/2016
VES02;20/4/2012;A;18:30;18:45;6;;;08/07/2016
VES02;20/4/2012;A;18:45;19:0;8;;;08/07/2016
VES02;20/4/2012;A;19:0;19:15;6;;;08/07/2016
VES02;20/4/2012;A;19:15;19:30;5;;;08/07/2016
VES02;20/4/2012;A;19:30;19:45;6;;;08/07/2016
VES02;20/4/2012;A;19:45;20:0;5;;;08/07/2016
VES02;20/4/2012;A;20:0;20:15;3;;;08/07/2016
VES02;20/4/2012;A;20:15;20:30;1;;;08/07/2016
VES02;20/4/2012;A;20:30;20:45;5;;;08/07/2016
VES02;20/4/2012;A;20:45;21:0;4;;;08/07/2016
VES02;20/4/2012;A;21:0;21:15;5;;;08/07/2016
VES02;20/4/2012;A;21:30;21:45;4;;;08/07/2016
VES02;20/4/2012;A;21:45;22:0;1;;;08/07/2016
VES02;20/4/2012;A;22:15;22:30;3;;;08/07/2016
VES02;20/4/2012;A;22:30;22:45;4;;;08/07/2016
VES02;20/4/2012;A;22:45;23:0;2;;;08/07/2016
VES02;20/4/2012;A;23:0;23:15;4;;;08/07/2016
VES02;20/4/2012;A;23:15;23:30;2;;;08/07/2016
VES02;20/4/2012;A;23:30;23:45;4;;;08/07/2016
VES02;20/4/2012;Lic 40-50;11:0;11:15;1;;;08/07/2016
VES02;20/4/2012;Lic 40-50;11:15;11:30;2;;;08/07/2016
VES02;20/4/2012;Lic 40-50;16:30;16:45;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;11:0;11:15;13;;;08/07/2016
VES02;20/4/2012;Lic 30-40;11:15;11:30;7;;;08/07/2016
VES02;20/4/2012;Lic 30-40;11:30;11:45;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;11:45;12:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;12:0;12:15;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;12:45;13:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;15:15;15:30;3;;;08/07/2016
VES02;20/4/2012;Lic 30-40;15:45;16:0;3;;;08/07/2016
VES02;20/4/2012;Lic 30-40;16:30;16:45;2;;;08/07/2016
VES02;20/4/2012;Lic 30-40;16:45;17:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;17:15;17:30;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;17:30;17:45;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;17:45;18:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;18:0;18:15;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;18:45;19:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;19:15;19:30;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;20:45;21:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;21:0;21:15;1;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;10:45;11:0;3;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;11:0;11:15;11;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;11:15;11:30;15;;;08/07/2016
