SITE;DATE;ZONE;FROM;TO;VALUE;latWGS84;loWGS84;Aangemaakt op
VES02;20/4/2012;A;10:0;11:0;3;;;08/07/2016
VES02;20/4/2012;A;11:0;12:0;69;;;08/07/2016
VES02;20/4/2012;A;12:0;13:0;33;;;08/07/2016
VES02;20/4/2012;A;13:0;14:0;20;;;08/07/2016
VES02;20/4/2012;A;14:0;15:0;19;;;08/07/2016
VES02;20/4/2012;A;15:0;16:0;38;;;08/07/2016
VES02;20/4/2012;A;16:0;17:0;33;;;08/07/2016
VES02;20/4/2012;A;17:0;18:0;43;;;08/07/2016
VES02;20/4/2012;A;18:0;19:0;27;;;08/07/2016
VES02;20/4/2012;A;19:0;20:0;22;;;08/07/2016
VES02;20/4/2012;A;20:0;21:0;13;;;08/07/2016
VES02;20/4/2012;A;21:0;22:0;10;;;08/07/2016
VES02;20/4/2012;A;22:0;23:0;9;;;08/07/2016
VES02;20/4/2012;A;23:0;0:0;10;;;08/07/2016
VES02;20/4/2012;Lic 40-50;11:0;12:0;3;;;08/07/2016
VES02;20/4/2012;Lic 40-50;16:0;17:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;11:0;12:0;22;;;08/07/2016
VES02;20/4/2012;Lic 30-40;12:0;13:0;2;;;08/07/2016
VES02;20/4/2012;Lic 30-40;15:0;16:0;6;;;08/07/2016
VES02;20/4/2012;Lic 30-40;16:0;17:0;3;;;08/07/2016
VES02;20/4/2012;Lic 30-40;17:0;18:0;3;;;08/07/2016
VES02;20/4/2012;Lic 30-40;18:0;19:0;2;;;08/07/2016
VES02;20/4/2012;Lic 30-40;19:0;20:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;20:0;21:0;1;;;08/07/2016
VES02;20/4/2012;Lic 30-40;21:0;22:0;1;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;10:0;11:0;3;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;11:0;12:0;37;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;12:0;13:0;29;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;13:0;14:0;20;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;14:0;15:0;19;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;15:0;16:0;30;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;16:0;17:0;28;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;17:0;18:0;36;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;18:0;19:0;24;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;19:0;20:0;20;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;20:0;21:0;12;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;21:0;22:0;10;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;22:0;23:0;8;;;08/07/2016
VES02;20/4/2012;Lic <=30kmu ;23:0;0:0;10;;;08/07/2016
VES02;20/4/2012;Med 30-40;11:0;12:0;1;;;08/07/2016
VES02;20/4/2012;Med <=30kmu ;11:0;12:0;1;;;08/07/2016
VES02;20/4/2012;Med <=30kmu ;12:0;13:0;1;;;08/07/2016
VES02;20/4/2012;Med <=30kmu ;15:0;16:0;2;;;08/07/2016
VES02;20/4/2012;Med <=30kmu ;17:0;18:0;1;;;08/07/2016
VES02;20/4/2012;Med <=30kmu ;19:0;20:0;1;;;08/07/2016
VES02;20/4/2012;Zwa 30-40;11:0;12:0;1;;;08/07/2016
VES02;20/4/2012;V85;10:0;11:0;30;;;08/07/2016
VES02;20/4/2012;V85;11:0;12:0;36;;;08/07/2016
VES02;20/4/2012;V85;12:0;13:0;28;;;08/07/2016
VES02;20/4/2012;V85;13:0;14:0;27;;;08/07/2016
VES02;20/4/2012;V85;14:0;15:0;25;;;08/07/2016
VES02;20/4/2012;V85;15:0;16:0;28;;;08/07/2016
VES02;20/4/2012;V85;16:0;17:0;29;;;08/07/2016
VES02;20/4/2012;V85;17:0;18:0;28;;;08/07/2016
VES02;20/4/2012;V85;18:0;19:0;27;;;08/07/2016
VES02;20/4/2012;V85;19:0;20:0;29;;;08/07/2016
VES02;20/4/2012;V85;20:0;21:0;27;;;08/07/2016
VES02;20/4/2012;V85;21:0;22:0;27;;;08/07/2016
VES02;20/4/2012;V85;22:0;23:0;24;;;08/07/2016
VES02;20/4/2012;V85;23:0;0:0;26;;;08/07/2016
VES02;20/4/2012;V50;10:0;11:0;26;;;08/07/2016
VES02;20/4/2012;V50;11:0;12:0;29;;;08/07/2016
VES02;20/4/2012;V50;12:0;13:0;25;;;08/07/2016
VES02;20/4/2012;V50;13:0;14:0;25;;;08/07/2016
VES02;20/4/2012;V50;14:0;15:0;21;;;08/07/2016
VES02;20/4/2012;V50;15:0;16:0;24;;;08/07/2016
VES02;20/4/2012;V50;16:0;17:0;23;;;08/07/2016
VES02;20/4/2012;V50;17:0;18:0;24;;;08/07/2016
VES02;20/4/2012;V50;18:0;19:0;23;;;08/07/2016
VES02;20/4/2012;V50;19:0;20:0;24;;;08/07/2016
VES02;20/4/2012;V50;20:0;21:0;22;;;08/07/2016
VES02;20/4/2012;V50;21:0;22:0;24;;;08/07/2016
VES02;20/4/2012;V50;22:0;23:0;22;;;08/07/2016
VES02;20/4/2012;V50;23:0;0:0;22;;;08/07/2016
VES02;21/4/2012;A;0:0;1:0;6;;;08/07/2016
VES02;21/4/2012;A;1:0;2:0;2;;;08/07/2016
VES02;21/4/2012;A;2:0;3:0;1;;;08/07/2016
VES02;21/4/2012;A;3:0;4:0;2;;;08/07/2016
VES02;21/4/2012;A;4:0;5:0;5;;;08/07/2016
VES02;21/4/2012;A;5:0;6:0;3;;;08/07/2016
VES02;21/4/2012;A;7:0;8:0;2;;;08/07/2016
VES02;21/4/2012;A;8:0;9:0;11;;;08/07/2016
VES02;21/4/2012;A;9:0;10:0;11;;;08/07/2016
VES02;21/4/2012;A;10:0;11:0;22;;;08/07/2016
VES02;21/4/2012;A;11:0;12:0;19;;;08/07/2016
VES02;21/4/2012;A;12:0;13:0;21;;;08/07/2016
VES02;21/4/2012;A;13:0;14:0;13;;;08/07/2016
VES02;21/4/2012;A;14:0;15:0;20;;;08/07/2016
VES02;21/4/2012;A;15:0;16:0;17;;;08/07/2016
VES02;21/4/2012;A;16:0;17:0;13;;;08/07/2016
VES02;21/4/2012;A;17:0;18:0;24;;;08/07/2016
VES02;21/4/2012;A;18:0;19:0;17;;;08/07/2016
VES02;21/4/2012;A;19:0;20:0;13;;;08/07/2016
VES02;21/4/2012;A;20:0;21:0;11;;;08/07/2016
VES02;21/4/2012;A;21:0;22:0;9;;;08/07/2016
VES02;21/4/2012;A;22:0;23:0;8;;;08/07/2016
VES02;21/4/2012;A;23:0;0:0;4;;;08/07/2016
VES02;21/4/2012;Lic 30-40;3:0;4:0;1;;;08/07/2016
VES02;21/4/2012;Lic 30-40;4:0;5:0;1;;;08/07/2016
VES02;21/4/2012;Lic 30-40;12:0;13:0;2;;;08/07/2016
VES02;21/4/2012;Lic 30-40;16:0;17:0;2;;;08/07/2016
VES02;21/4/2012;Lic 30-40;17:0;18:0;1;;;08/07/2016
VES02;21/4/2012;Lic 30-40;19:0;20:0;1;;;08/07/2016
VES02;21/4/2012;Lic 30-40;20:0;21:0;1;;;08/07/2016
VES02;21/4/2012;Lic 30-40;22:0;23:0;1;;;08/07/2016
VES02;21/4/2012;Lic <=30kmu ;0:0;1:0;6;;;08/07/2016
VES02;21/4/2012;Lic <=30kmu ;1:0;2:0;2;;;08/07/2016
VES02;21/4/2012;Lic <=30kmu ;2:0;3:0;1;;;08/07/2016
