Link_id;Railway_nm;Lang_code;Bridge;Tunnel;latWGS84;loWGS84;Aangemaakt op
60864836;;;N;N;51.3116913586607,51.3116913586607,51.3116913586607,51.3116913586607,51.3116913586607,51.3116913586607,51.3116913586607,51.3116913586607;3.19028523454231,3.19028523454231,3.19028523454231,3.19028523454231,3.19028523454231,3.19028523454231,3.19028523454231,3.19028523454231;22/06/2016
60827309;;;N;N;51.2048258272448,51.2048258272448;3.20881181044859,3.20881181044859;22/06/2016
53676096;;;N;N;51.3247200967464,51.3247200967464,51.3247200967464;3.22907397225074,3.22907397225074,3.22907397225074;22/06/2016
53975483;;;N;N;51.2078156051298,51.2078156051298,51.2078156051298;3.1673645537842,3.1673645537842,3.1673645537842;22/06/2016
53681301;;;N;N;51.2237852770454,51.2237852770454,51.2237852770454,51.2237852770454;3.20239235890775,3.20239235890775,3.20239235890775,3.20239235890775;22/06/2016
53974847;;;N;N;51.2166255964742,51.2166255964742,51.2166255964742;3.20189231083132,3.20189231083132,3.20189231083132;22/06/2016
53975535;;;N;N;51.2050253024368,51.2050253024368,51.2050253024368,51.2050253024368;3.20859101706804,3.20859101706804,3.20859101706804,3.20859101706804;22/06/2016
53974774;;;N;N;51.2170755147894,51.2170755147894,51.2170755147894;3.20180355869736,3.20180355869736,3.20180355869736;22/06/2016
68160079;;;N;N;51.2916619717288,51.2916619717288,51.2916619717288;3.24560148864584,3.24560148864584,3.24560148864584;22/06/2016
53681371;;;N;N;51.2229353101743,51.2229353101743;3.20210357368895,3.20210357368895;22/06/2016
60853833;;;N;N;51.2465338999716,51.2465338999716,51.2465338999716,51.2465338999716;3.20680300365244,3.20680300365244,3.20680300365244,3.20680300365244;22/06/2016
60853431;;;N;N;51.195506243373,51.195506243373,51.195506243373,51.195506243373,51.195506243373;3.2191302536611,3.2191302536611,3.2191302536611,3.2191302536611,3.2191302536611;22/06/2016
567215523;;;N;N;51.2502932960697,51.2502932960697,51.2502932960697,51.2502932960697,51.2502932960697,51.2502932960697,51.2502932960697;3.20469288634563,3.20469288634563,3.20469288634563,3.20469288634563,3.20469288634563,3.20469288634563,3.20469288634563;22/06/2016
60853896;;;N;N;51.325799470029,51.325799470029,51.325799470029;3.19281516028159,3.19281516028159,3.19281516028159;22/06/2016
53686015;;;N;N;51.1772762225396,51.1772762225396;3.23111105384592,3.23111105384592;22/06/2016
53683794;;;N;N;51.1991264188827,51.1991264188827;3.21543137928307,3.21543137928307;22/06/2016
53975478;;;N;N;51.2068156630536,51.2068156630536;3.15783589470699,3.15783589470699;22/06/2016
79533590;;;N;N;51.3186809440418,51.3186809440418,51.3186809440418,51.3186809440418,51.3186809440418;3.23444223591216,3.23444223591216,3.23444223591216,3.23444223591216,3.23444223591216;22/06/2016
567225634;;;N;N;51.3266499537169,51.3266499537169,51.3266499537169;3.19960380436019,3.19960380436019,3.19960380436019;22/06/2016
53676061;;;N;N;51.3264299824151,51.3264299824151;3.19821475841503,3.19821475841503;22/06/2016
53677999;;;N;N;51.2741215319071,51.2741215319071;3.21182380057527,3.21182380057527;22/06/2016
53964685;;;N;N;51.2562235892983,51.2562235892983,51.2562235892983,51.2562235892983,51.2562235892983;3.20439336142891,3.20439336142891,3.20439336142891,3.20439336142891,3.20439336142891;22/06/2016
60853690;;;N;N;51.211945629005,51.211945629005,51.211945629005,51.211945629005;3.20313296456696,3.20313296456696,3.20313296456696,3.20313296456696;22/06/2016
60853834;;;N;N;51.2502330602875,51.2502330602875;3.2058743277521,3.2058743277521;22/06/2016
79516739;;;N;N;51.2785924226964,51.2785924226964,51.2785924226964;3.19874404599576,3.19874404599576,3.19874404599576;22/06/2016
60827308;;;N;N;51.2042458097399,51.2042458097399;3.20946080891683,3.20946080891683;22/06/2016
53964970;;;N;N;51.2740319886124,51.2740319886124;3.2115544444428,3.2115544444428;22/06/2016
68160083;;;N;N;51.2925816667576,51.2925816667576;3.24776203804492,3.24776203804492;22/06/2016
53683704;;;N;N;51.2002256053797,51.2002256053797,51.2002256053797;3.21371091647788,3.21371091647788,3.21371091647788;22/06/2016
60863920;;;N;N;51.1759370028287,51.1759370028287,51.1759370028287;3.22959137828189,3.22959137828189,3.22959137828189;22/06/2016
721182283;;;N;N;51.2116350825501,51.2116350825501;3.20325326789361,3.20325326789361;22/06/2016
53676056;;;N;N;51.3265400248343,51.3265400248343;3.19891482707615,3.19891482707615;22/06/2016
53683833;;;N;N;51.1986368764677,51.1986368764677;3.21526087128704,3.21526087128704;22/06/2016
53975477;;;N;N;51.2059262510524,51.2059262510524;3.149435599481,3.149435599481;22/06/2016
580423678;;;N;N;51.208435920398,51.208435920398,51.208435920398,51.208435920398,51.208435920398,51.208435920398,51.208435920398;3.17311388455146,3.17311388455146,3.17311388455146,3.17311388455146,3.17311388455146,3.17311388455146,3.17311388455146;22/06/2016
53964688;;;N;N;51.2437745327887,51.2437745327887,51.2437745327887;3.20749396270644,3.20749396270644,3.20749396270644;22/06/2016
60864835;;;N;N;51.3047813279735,51.3047813279735,51.3047813279735;3.1919150454661,3.1919150454661,3.1919150454661;22/06/2016
60853429;;;N;N;51.1905670100172,51.1905670100172,51.1905670100172,51.1905670100172;3.22341049262603,3.22341049262603,3.22341049262603,3.22341049262603;22/06/2016
53681344;;;N;N;51.2234060206415,51.2234060206415;3.20224313057097,3.20224313057097;22/06/2016
79516738;;;N;N;51.2687527625647,51.2687527625647,51.2687527625647;3.20120411762487,3.20120411762487,3.20120411762487;22/06/2016
53962914;;;N;N;51.2919722386853,51.2919722386853,51.2919722386853;3.1952346057835,3.1952346057835,3.1952346057835;22/06/2016
53683350;;;N;N;51.2034957648917,51.2034957648917;3.21026158721797,3.21026158721797;22/06/2016
53975536;;;N;N;51.2085958874118,51.2085958874118,51.2085958874118,51.2085958874118;3.20530320834949,3.20530320834949,3.20530320834949,3.20530320834949;22/06/2016
79533575;;;N;N;51.2993807940528,51.2993807940528;3.25370203158349,3.25370203158349;22/06/2016
53962906;;;N;N;51.2963719568654,51.2963719568654,51.2963719568654;3.1940332073986,3.1940332073986,3.1940332073986;22/06/2016
53961345;;;N;N;51.3263196253398,51.3263196253398;3.19748325835105,3.19748325835105;22/06/2016
53678326;;;N;N;51.2675336487963,51.2675336487963;3.20155422972263,3.20155422972263;22/06/2016
60853430;;;N;N;51.1855768027179,51.1855768027179,51.1855768027179,51.1855768027179;3.22459135229335,3.22459135229335,3.22459135229335,3.22459135229335;22/06/2016
60853691;;;N;N;51.2163153369734,51.2163153369734;3.20192405797141,3.20192405797141;22/06/2016
53970016;;;N;N;51.2050253024368,51.2050253024368,51.2050253024368,51.2050253024368;3.20859101706804,3.20859101706804,3.20859101706804,3.20859101706804;22/06/2016
53677980;;;N;N;51.2744218105899,51.2744218105899;3.21326293261936,3.21326293261936;22/06/2016
79533596;;;N;N;51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657,51.3007605436657;3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437,3.25329189761437;22/06/2016
53962915;;;N;N;51.2941519175896,51.2941519175896,51.2941519175896;3.1946436851712,3.1946436851712,3.1946436851712;22/06/2016
53680624;;;N;N;51.2323048291797,51.2323048291797,51.2323048291797,51.2323048291797;3.20483360271429,3.20483360271429,3.20483360271429,3.20483360271429;22/06/2016
60853434;;;N;N;51.1844664147786,51.1844664147786,51.1844664147786;3.22481033204816,3.22481033204816,3.22481033204816;22/06/2016
53683872;;;N;N;51.1983860944883,51.1983860944883;3.2153316258595,3.2153316258595;22/06/2016
53676114;;;N;N;51.3242099310799,51.3242099310799;3.22928435618547,3.22928435618547;22/06/2016
53964686;;;N;N;51.2666529972888,51.2666529972888;3.20238350732282,3.20238350732282;22/06/2016
60867783;;;N;N;51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757,51.2745819980757;3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531,3.21400350266531;22/06/2016
567225635;;;N;N;51.3271694759838,51.3271694759838,51.3271694759838,51.3271694759838;3.20317341521836,3.20317341521836,3.20317341521836,3.20317341521836;22/06/2016
53683773;;;N;N;51.1995762776325,51.1995762776325;3.21474147653641,3.21474147653641;22/06/2016
53685186;;;N;N;51.1854567481638,51.1854567481638,51.1854567481638,51.1854567481638,51.1854567481638,51.1854567481638;3.22404110438798,3.22404110438798,3.22404110438798,3.22404110438798,3.22404110438798,3.22404110438798;22/06/2016
60853819;;;N;N;51.2375844927832,51.2375844927832,51.2375844927832;3.20636326289261,3.20636326289261,3.20636326289261;22/06/2016
53683306;;;N;N;51.2038251137238,51.2038251137238;3.2099305893291,3.2099305893291;22/06/2016
53974094;;;N;N;51.2658534549784,51.2658534549784;3.19231433072197,3.19231433072197;22/06/2016
580423679;;;N;N;51.2101552879639,51.2101552879639;3.19109323978209,3.19109323978209;22/06/2016
53680656;;;N;N;51.2319044358395,51.2319044358395;3.20477345385884,3.20477345385884;22/06/2016
60853433;;;N;N;51.1780167427754,51.1780167427754,51.1780167427754,51.1780167427754,51.1780167427754,51.1780167427754;3.2306302513415,3.2306302513415,3.2306302513415,3.2306302513415,3.2306302513415,3.2306302513415;22/06/2016
60849793;;;N;N;51.2078060418089,51.2078060418089,51.2078060418089,51.2078060418089,51.2078060418089,51.2078060418089,51.2078060418089,51.2078060418089,51.2078060418089;3.20382303141022,3.20382303141022,3.20382303141022,3.20382303141022,3.20382303141022,3.20382303141022,3.20382303141022,3.20382303141022,3.20382303141022;22/06/2016
79516763;;;N;N;51.2926622656145,51.2926622656145,51.2926622656145,51.2926622656145,51.2926622656145,51.2926622656145;3.24795231154751,3.24795231154751,3.24795231154751,3.24795231154751,3.24795231154751,3.24795231154751;22/06/2016
53678120;;;N;N;51.2715134366726,51.2715134366726,51.2715134366726,51.2715134366726;3.18675305269219,3.18675305269219,3.18675305269219,3.18675305269219;22/06/2016
