ID;Straat;Aantal;Type;Opmerking;latWGS84;loWGS84;Aangemaakt op
0;Sint-Jakobsstraat;0;LaLo;;51.2099929351831,51.2099929351831;3.22156661615635,3.22156661615635;22/06/2016
0;Garsoenstraat;6;L;;51.2013208901066,51.2013208901066,51.2013208901066,51.2013208901066;3.22069515327339,3.22069515327339,3.22069515327339,3.22069515327339;22/06/2016
0;Spanjaardstraat;4;L;;51.212617273618,51.212617273618,51.212617273618,51.212617273618,51.212617273618,51.212617273618,51.212617273618,51.212617273618,51.212617273618;3.22522907695021,3.22522907695021,3.22522907695021,3.22522907695021,3.22522907695021,3.22522907695021,3.22522907695021,3.22522907695021,3.22522907695021;22/06/2016
0;Calvariebergstraat;14;H;;51.2205286961102,51.2205286961102,51.2205286961102,51.2205286961102,51.2205286961102,51.2205286961102,51.2205286961102,51.2205286961102,51.2205286961102;3.22750608229816,3.22750608229816,3.22750608229816,3.22750608229816,3.22750608229816,3.22750608229816,3.22750608229816,3.22750608229816,3.22750608229816;22/06/2016
0;Schaarstraat;8;L;;51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361,51.2065899715361;3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016,3.23375769907016;22/06/2016
0;Stokersstraat;22;L;;51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598,51.2200964957598;3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822,3.2284725386822;22/06/2016
0;Biddersstraat;20;L;;51.2152426392952,51.2152426392952;3.22373105494451,3.22373105494451;22/06/2016
0;Zakske;1;L;;51.2112795199517,51.2112795199517;3.21884868064771,3.21884868064771;22/06/2016
0;Wulfhagestraat;5;L;;51.2069547752362,51.2069547752362,51.2069547752362,51.2069547752362,51.2069547752362,51.2069547752362;3.21897738581006,3.21897738581006,3.21897738581006,3.21897738581006,3.21897738581006,3.21897738581006;22/06/2016
0;Nieuwe Gentweg;6;L;;51.203235116217,51.203235116217,51.203235116217,51.203235116217,51.203235116217,51.203235116217,51.203235116217,51.203235116217;3.22653809465136,3.22653809465136,3.22653809465136,3.22653809465136,3.22653809465136,3.22653809465136,3.22653809465136,3.22653809465136;22/06/2016
0;Boomgaardstraat;4;L;;51.2101597361107,51.2101597361107,51.2101597361107;3.23007323676349,3.23007323676349,3.23007323676349;22/06/2016
0;Kwekersstraat;10;L;;51.2096444206725,51.2096444206725,51.2096444206725,51.2096444206725;3.23784185248127,3.23784185248127,3.23784185248127,3.23784185248127;22/06/2016
0;Vuldersstraat;13;L;;51.209118469002,51.209118469002,51.209118469002,51.209118469002;3.23846525987942,3.23846525987942,3.23846525987942,3.23846525987942;22/06/2016
0;Kapelstraat;9;L;;51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848,51.2153205137848;3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566,3.22172162257566;22/06/2016
