AARD;DO_DOSSIERJ;DO_DOSSIERN;EL_ELEMENT_;EL_ELEMENT1;EL_ELEMENT2;EL_ELEMENT3;AF_PV_NUMME;FE_VOLGNUMM;FE_TYPE;FEITCODEGRO;FE_AARD;AVOC;AVOC_BET;AVOC_SUM_OB;AVOC_SUM_CA;NUMBER_DEAD;NUMBER_SERV;NUMBER_LIGH;NUMBER_NOT_;FE_DATUM_VA;FE_UUR_VAN;FE_DATUM_TO;FE_UUR_TOT;DATUM;YEAR;MONTH;WEEK_OF_YEA;DAY_OF_WEEK;WEEKEND;HOUR;HOUR_GROUP;DAY_NIGHT_S;DAY_NIGHT_P;FE_STRAAT;FE_HUISNUMM;FE_BUSNUMME;FE_POSTCODE;FE_GEMEENTE;FE_LAND;FE_KRUISPUN;FE_HM_PAAL;FE_LOKALE_P;FE_POGING;FE_ZWARE_OV;FE_MINDERJA;GEOCODETYPE;LOCATION;LOCATION_VA;EL_DATUM_CR;latWGS84;loWGS84;Aangemaakt op
PV;2013;20426;VO;2013;300554;Niet verzonden;BG.81.L1.300554/2013;2;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;0;20130306;1100;20130306;1100;20130306;2013;march;10;wednesday;0;1100;11;day;day;Markt;;;8000;BRUGGE;België;;;;;;;MultiNetStreetMatching;politiezone;;20130307;51.20861806346;3.22486770339098;28/06/2016
PV;2014;4039;VO;2014;300139;Verzonden;BG.81.L1.300139/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140115;0809;20140115;0809;20140115;2014;january;3;wednesday;0;0809;08;night;day;R30 Buitenring;;;8200;BRUGGE;België;Baron Ruzettelaan;;;;;;AnchorPoints;politiezone;;20140115;51.1989654418374;3.23057689921526;28/06/2016
PV;2015;50277;VO;2015;301218;Verzonden;BG.81.L1.301218/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150610;1215;20150610;1215;20150610;2015;june;24;wednesday;0;1215;12;day;day;Veldstraat;;;8200;BRUGGE;België;Canadastraat;;;;;;AnchorPoints;politiezone;;20150610;51.1930283279945;3.21097324572171;28/06/2016
PV;2013;113411;VO;2013;302822;Verzonden;BG.81.L1.302822/2013;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20131123;0857;20131123;0857;20131123;2013;november;47;saturday;1;0857;08;day;day;Moerkerkse Steenweg;234;;8310;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20131123;51.2141981056344;3.25413991096304;28/06/2016
PV;2015;103869;VO;2015;302377;Verzonden;BG.81.L1.302377/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20151116;0831;20151116;0831;20151116;2015;november;47;monday;0;0831;08;day;day;R30 Buitenring;;;8000;BRUGGE;België;Katelijnestraat;;;;;;AnchorPoints;politiezone;;20151116;51.1994001360033;3.23071017107918;28/06/2016
PV;2015;37712;VO;2015;300942;Verzonden;BG.81.L1.300942/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20150505;1935;20150505;1935;20150505;2015;may;19;tuesday;0;1935;19;day;day;Buiten Kruisvest;;;8000;BRUGGE;België;Damse Vaart-Zuid;;;;;;AnchorPoints;politiezone;;20150505;51.2215413048607;3.23471339845504;28/06/2016
PV;2013;76608;VO;2013;301916;Verzonden;BG.81.L1.301916/2013;1;Verkeersongeval;VO;Verkeersongeval met zwaargewonden;3;3;0;1;0;1;0;0;20130816;2003;20130816;2003;20130816;2013;august;33;friday;0;2003;20;day;day;Bommelbekestraat;18;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20130816;51.2321080314796;3.2323411785882;28/06/2016
PV;2014;9236;VO;2014;300251;Verzonden;BG.81.L1.300251/2014;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20140128;0810;20140128;0810;20140128;2014;january;5;tuesday;0;0810;08;night;day;Torhoutse Steenweg;;;8200;BRUGGE;België;Zeeweg;5.7;;;;;AnchorPoints;politiezone;;20140128;51.1692718451245;3.17466956920884;28/06/2016
PV;2014;110865;VO;2014;302527;Verzonden;BG.81.L1.302527/2014;1;Verkeersongeval;VO;Verkeersongeval met zwaargewonden;3;3;0;1;0;1;0;1;20141119;1052;20141119;1052;20141119;2014;november;47;wednesday;0;1052;10;day;day;Sint-Annarei;;;8000;BRUGGE;België;Blekersstraat;;;;;;AnchorPoints;politiezone;;20141119;51.2128444223967;3.22955383880001;28/06/2016
PV;2015;108731;VO;2015;302496;Verzonden;BG.81.L1.302496/2015;1;Verkeersongeval;VO;Verkeersongeval met lichtgewonden;1;1;0;1;0;0;1;1;20151201;1225;20151201;1225;20151201;2015;december;49;tuesday;0;1225;12;day;day;Blankenbergse Steenweg;;;8000;BRUGGE;België;Tempelhof;;FK 62 BRUGSE OMMELAND - FIETSK;;;;AnchorPoints;politiezone;;20151201;51.2259789728391;3.20622432407977;28/06/2016
