Aard;Do_dossier;Do_dossier_2;El_element;El_element_2;El_element_3;El_element_4;Af_pv_numm;Fe_volgnum;Fe_type;Feitcodegr;Fe_aard;Avoc;Avoc_bet;Avoc_sum_o;Avoc_sum_c;Number_dea;Number_ser;Number_lig;Number_not;Fe_datum_v;Fe_uur_van;Fe_datum_t;Fe_uur_tot;Datum;Year;Month;Week_of_ye;Day_of_wee;Weekend;Hour;Hour_group;Day_night_;Day_night__2;Fe_straat;Fe_huisnum;Fe_busnumm;Fe_postcod;Fe_gemeent;Fe_land;Fe_kruispu;Fe_hm_paal;Fe_lokale_;Fe_poging;Fe_zware_o;Fe_minderj;Geocodetyp;Location;Location_v;El_datum_c;latWGS84;loWGS84;Aangemaakt op
PV;2016;91736;VO;2016;302133;Verzonden;BG.81.L1.302133/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20161019;1115;20161019;1115;20161019;2016;october;42;wednesday;0;1115;11;day;day;Gistelse Steenweg;15A;;8200;BRUGGE;België;Korte Vesting;;;;;;AnchorPoints;politiezone;;20161019;51.204072407835;3.2103321292828;31/10/2017
PV;2016;69144;VO;2016;301555;Verzonden;BG.91.L1.301555/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20160806;1315;20160808;0505;20160808;2016;august;32;monday;1;0505;05;night;night;Burggraaf de Nieulantlaan;15;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20160808;51.1984450076908;3.19249171869891;31/10/2017
PV;2015;75876;VO;2015;301736;Verzonden;BG.91.L1.301736/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20150825;0753;20150825;0753;20150825;2015;august;35;tuesday;0;0753;07;day;day;Karel de Stoutelaan;;;8000;BRUGGE;België;Leopold I-laan;;;;;;AnchorPoints;politiezone;;20150825;51.2133603974601;3.20759038463955;31/10/2017
PV;2015;54964;VO;2015;301317;Verzonden;BG.81.L1.301317/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150623;1534;20150623;1534;20150623;2015;june;26;tuesday;0;1534;15;day;day;Gistelse Steenweg;1;;8200;BRUGGE;België;;0.0;;;;;AnchorPoints;politiezone;;20150623;51.2043067030728;3.21141838604459;31/10/2017
PV;2016;106760;VO;2016;302494;Verzonden;BG.85.L1.302494/2016;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20161207;1532;20161207;1532;20161207;2016;december;49;wednesday;0;1532;15;day;day;Veldstraat;13;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20161207;51.1896795285504;3.20810379982275;31/10/2017
PV;2014;54425;VO;2014;301212;Verzonden;BG.91.L1.301212/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140531;1400;20140531;1600;20140531;2014;may;22;saturday;1;1600;16;day;day;Beeweg;30;;8310;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20140602;51.2028616040087;3.27034647229751;31/10/2017
PV;2014;14847;VO;2014;300356;Verzonden;BG.81.L1.300356/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20140211;1917;20140211;1917;20140211;2014;february;7;tuesday;0;1917;19;night;day;Blankenbergse Steenweg;;;8000;BRUGGE;België;Monnikenwerve;;;;;;AnchorPoints;politiezone;;20140211;51.2475936366989;3.1948800152236;31/10/2017
PV;2014;55178;VO;2014;301227;Verzonden;BG.91.L1.301227/2014;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20140604;1930;20140604;1935;20140604;2014;june;23;wednesday;0;1935;19;day;day;Ten Briele;3;;8200;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20140604;51.1884232399256;3.22509878945264;31/10/2017
PV;2016;20761;VO;2016;300406;Verzonden;BG.91.L1.300406/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;3;20160301;2045;20160302;0800;20160302;2016;march;9;wednesday;0;0800;08;day;day;Vlamingdam;62;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20160302;51.2175050828382;3.22047586069211;31/10/2017
PV;2015;101327;VO;2015;302302;Verzonden;BG.91.L1.302302/2015;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;2;20151106;1734;20151106;1734;20151106;2015;november;45;friday;0;1734;17;night;day;Carmersstraat;21;;8000;BRUGGE;België;;;;;;;GrabAddressMatching;politiezone;;20151106;51.2137673754377;3.23134683580035;31/10/2017
PV;2016;32281;VO;2016;300699;Verzonden;BG.90.L1.300699/2016;1;Verkeersongeval;VO;Verkeersongeval met stoffelijke schade;0;0;0;0;0;0;0;1;20160409;0757;20160409;0758;20160409;2016;april;14;saturday;1;0758;07;day;day;Walweinstraat;20;;8000;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20160409;51.2212692757148;3.22684758640082;31/10/2017
PV;2015;57869;VO;2015;301414;Verzonden;BG.81.L1.301414/2015;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;1;20150701;2252;20150701;2252;20150701;2015;july;27;wednesday;0;2252;22;night;night;Brusselstraat;27;;8380;BRUGGE;België;;;;;;;AnchorPoints;politiezone;;20150706;51.328565434432;3.18025270947625;31/10/2017
PV;2014;96313;VO;2014;302217;Verzonden;BG.81.L1.302217/2014;1;Verkeersongeval;VO;Verkeersongeval met gewonden;1;1;0;1;0;0;1;0;20141007;0855;20141007;0855;20141007;2014;october;41;tuesday;0;0855;08;day;day;Oostendse Steenweg;;;8000;BRUGGE;België;;96.8;;;;;AnchorPoints;politiezone;;20141007;51.2235427680412;3.20189091497586;31/10/2017
