Naam;Formule;Straat;HuisNr;HuisNrToev;Postcode;Deelgemeente;Gemeente;Branche;Wvo;Check_dat;Winkelgebied;Subcentrum;StrnmEnHuisnr;latWGS84;loWGS84;Aangemaakt op
La Bodega;(Zelfst/nvt);Kuipersstraat;23;;8000;Brugge;Brugge;59.210.430-Café-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Kuipersstraat 23;51.2102867615976;3.22264234623451;05/07/2016
De Republiek;(Zelfst/nvt);Sint-Jakobsstraat;36;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Sint-Jakobsstraat 36;51.2100536391758;3.22154664283525;05/07/2016
Rustenburg;(Zelfst/nvt);Slachthuisstraat;7;;8000;Brugge;Brugge;59.210.465-Partycentrum;;20090119;Verspreide bewinkeling Brugge;Overig_Brugge;Slachthuisstraat 7;51.2201919229703;3.21067369437159;05/07/2016
Assisenhof;(Zelfst/nvt);Sasplein;11;;8000;Brugge;Brugge;59.210.123-Café;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Sasplein 11;51.2210370497678;3.23293930661535;05/07/2016
Simon Stevin;(Zelfst/nvt);Simon Stevinplein;8;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Simon Stevinplein 8;51.2062956391205;3.22323661539049;05/07/2016
Salons Lodewijk Van Male;(Zelfst/nvt);Maalse Steenweg;488;;8310;Sint-Kruis;Brugge;59.210.235-Hotel-Rest;;20080123;Verspreide bewinkeling Sint-Kruis;Overig_Sint-Kruis;Maalse Steenweg 488;51.2088573399521;3.28465253873607;05/07/2016
Adornes;(Zelfst/nvt);Sint-Annarei;26;;8000;Brugge;Brugge;59.210.234-Hotel;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Sint-Annarei 26;51.2132833423628;3.22945821823438;05/07/2016
Zandwegemolen;(Zelfst/nvt);Oude Oostendse Steenweg;91;;8000;Brugge;Brugge;59.210.434-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Oude Oostendse Steenweg 91;51.22543479751;3.19342414901612;05/07/2016
De Kavijaks;(Zelfst/nvt);Lisseweegse Steenweg;50;;8380;Zeebrugge;Brugge;59.210.430-Café-Restaurant;;20080109;Verspreide bewinkeling Zeebrugge;Overig_Zeebrugge;Lisseweegse Steenweg 50;51.3103516330502;3.19740238484065;05/07/2016
The Green;(Zelfst/nvt);'t Zand;25;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;'t Zand 25;51.2045695305774;3.21875941141142;05/07/2016
Grand café du Theatre;(Zelfst/nvt);Kuipersstraat;14;;8000;Brugge;Brugge;59.210.123-Café;;20090119;Centrum Brugge;Centrum Brugge;Kuipersstraat 14;51.2101625815691;3.22346086157969;05/07/2016
Pro Deo;(Zelfst/nvt);Langestraat;161;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090115;Langestraat;Langestraat;Langestraat 161;51.2124210631515;3.2381435298748;05/07/2016
Shang Hai;(Zelfst/nvt);Katelijnestraat;70;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Katelijnestraat 70;51.2023438271113;3.22597881702083;05/07/2016
Maximiliaan van Oostenrijk;(Zelfst/nvt);Wijngaardplein;16;;8000;Brugge;Brugge;59.210.434-Restaurant;;20080122;Verspreide bewinkeling Brugge;Overig_Brugge;Wijngaardplein 16;51.2017507478374;3.22420775586905;05/07/2016
Frituur Peter;(Zelfst/nvt);Gaston Roelandtsplein;2;;8310;Assebroek;Brugge;59.210.171-Fastfood;;20090115;Assebroek;Assebroek;Gaston Roelandtsplein 2;51.2009921610941;3.24613624160115;05/07/2016
Spinola;(Zelfst/nvt);Spinolarei;1;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Spinolarei 1;51.2114860901548;3.22634715957009;05/07/2016
Hotel Aragon;(Zelfst/nvt);Naaldenstraat;22;;8000;Brugge;Brugge;59.210.234-Hotel;;20090119;Centrum Brugge;Centrum Brugge;Naaldenstraat 22;51.2106599018862;3.22228263804139;05/07/2016
Quick;Quick;Markt;14;;8000;Brugge;Brugge;59.210.171-Fastfood;;20090119;Centrum Brugge;Centrum Brugge;Markt 14;51.2084214072024;3.22376003313468;05/07/2016
Maxim's et Voila;(Zelfst/nvt);Noordzandstraat;67;;8000;Brugge;Brugge;59.210.180-Bezorg/Halen;;20090119;Centrum Brugge;Centrum Brugge;Noordzandstraat 67;51.2065501684645;3.21913306244673;05/07/2016
Polydor;(Zelfst/nvt);Kustlaan;108;;8380;Zeebrugge;Brugge;59.210.123-Café;;20090113;Kustlaan;Kustlaan;Kustlaan 108;51.331535651764;3.20563338586755;05/07/2016
Marabout;(Zelfst/nvt);Spoorwegstraat;326;;8200;Sint-Michiels;Brugge;59.210.123-Café;;20080204;Verspreide bewinkeling Sint-Michiels;Overig_Sint-Michiels;Spoorwegstraat 326;51.1802386408238;3.22574360113464;05/07/2016
Patritius;(Zelfst/nvt);Riddersstraat;11;;8000;Brugge;Brugge;59.210.234-Hotel;;20090119;Centrum Brugge;Centrum Brugge;Riddersstraat 11;51.2103049057399;3.22907708139305;05/07/2016
De Visscherie;(Zelfst/nvt);Vismarkt;8;;8000;Brugge;Brugge;59.210.434-Restaurant;;20090119;Centrum Brugge;Centrum Brugge;Vismarkt 8;51.2076886141377;3.22803591573823;05/07/2016
New Corner;(Zelfst/nvt);Tijdokstraat;1;;8380;Zeebrugge;Brugge;59.210.434-Restaurant;;20090113;Verspreide bewinkeling Zeebrugge;Overig_Zeebrugge;Tijdokstraat 1;51.3294509296821;3.20256137267169;05/07/2016
Passion for Food;(Zelfst/nvt);Philipstockstraat;39;;8000;Brugge;Brugge;59.210.333-Lunchroom;;20090119;Centrum Brugge;Centrum Brugge;Philipstockstraat 39;51.2097304514659;3.2269491535152;05/07/2016
