Dossier_ID;Administratieve_ligging;Adres;Nr;Postcode;Gemeente;Aard_van_het_gebouw;Behandeld;latWGS84;loWGS84;Aangemaakt op
31005_0573;Marcus Gerardstraat  9 ,8380 Brugge;Marcus Gerardstraat 9;9;8380;Brugge;Nijverheidsgebouw;Ja;51.3204260433548;3.19596900714889;07/07/2016
31005_0539;Legeweg 160 ,8200 BRUGGE;Legeweg 160;160;8200;Brugge;Handelruimte;Ja;51.208187915069;3.19276084878396;07/07/2016
31005_0571;Dudzeelse Steenweg  23 ,8000 Brugge;Dudzeelse Steenweg 23;23;8000;Brugge;Groot warenhuis;Ja;51.2241161552605;3.22872858551841;07/07/2016
31005_0560;Lieven Bauwensstraat 16 ,8200 BRUGGE;Lieven Bauwensstraat 16;16;8200;Brugge;Administratieve bedrijfsruimte;Ja;51.2144150018098;3.19701927622577;07/07/2016
31005_0341;Brugse Steenweg 91 ,8000 BRUGGE;Brugse Steenweg 91;91;8000;Brugge;Hoevegebouwen;Ja;51.2340684972137;3.24303458082225;07/07/2016
31005_0487;Dudzeelse Steenweg 307 ,8000 BRUGGE;Dudzeelse Steenweg 307;307;8000;Brugge;Hoevegebouwen;Ja;51.23914267325;3.23160297106489;07/07/2016
31005_0565;Marcus Gerardstraat  3 ,8380 BRUGGE;Marcus Gerardstraat 3;3;8380;Brugge;Werkplaats;Ja;51.3195739397731;3.19300571517737;07/07/2016
31005_0561;Sint-Pieterskaai  32 ,8000 BRUGGE;Sint-Pieterskaai 32;32;8000;Brugge;Toonzaal, winkelruimte;Ja;51.2206993584024;3.21504753016149;07/07/2016
31005_0014;Peterseliestraat +124 ,8000 BRUGGE;Peterseliestraat 124;124;8000;Brugge;Serres;Ja;51.2189081978541;3.23269219812486;07/07/2016
31005_0508;Lisseweegs Vaartje 277 ,8380 BRUGGE;Lisseweegs Vaartje 277;277;8380;Brugge;Hoevegebouwen;Ja;51.3039059367383;3.19408532507137;07/07/2016
31005_0534;Blankenbergse Steenweg +7 ,8000 BRUGGE;Blankenbergse Steenweg 7;7;8000;Brugge;Warenhuis;Ja;51.2197335030336;3.2085943174234;07/07/2016
